timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1783363450,llama3.1:8b,28.0,1090,16.72,9.48,1.374991,73.894683
1783363552,llama3.1:8b,34.0,6513,230.80,9.73,.099652,59.794061
1783363613,llama3.1:8b,34.0,6515,244.27,9.52,.094156,67.736102
1783363681,llama3.1:8b,36.0,6511,226.40,9.54,.101586,54.266353
1783363736,llama3.1:8b,37.0,6510,227.03,9.58,.101306,56.011192
1783363792,llama3.1:8b,36.0,6492,236.91,9.66,.097082,68.361038
1783363861,llama3.1:8b,36.0,6513,237.83,9.57,.096704,73.496404
1783363936,llama3.1:8b,34.0,6532,238.59,9.52,.096396,70.444054
1783364007,llama3.1:8b,34.0,6523,242.48,9.56,.094849,78.700628
1783364086,llama3.1:8b,36.0,6526,233.60,9.55,.098456,62.913546
1783364149,llama3.1:8b,34.0,6524,233.33,9.43,.098572,67.854369
1783364218,llama3.1:8b,36.0,6535,225.36,9.59,.102054,50.871714
1783364269,llama3.1:8b,34.0,6528,238.82,9.60,.096302,59.130498
1783364329,llama3.1:8b,36.0,6523,226.31,9.75,.101630,46.231941
1783364376,llama3.1:8b,36.0,6531,239.36,9.47,.096086,65.241167
1783364442,llama3.1:8b,36.0,6562,216.96,9.40,.106007,72.696681
1783364515,llama3.1:8b,36.0,6557,242.59,9.41,.094808,69.470061
1783364585,llama3.1:8b,36.0,6544,242.44,9.49,.094867,68.808586
1783364654,llama3.1:8b,34.0,6542,235.29,9.47,.097750,64.779071
1783364720,llama3.1:8b,34.0,6541,232.06,9.57,.099109,51.173542
1783364771,llama3.1:8b,34.0,6537,229.06,9.56,.100408,57.494464
1783364830,llama3.1:8b,34.0,6533,239.60,9.48,.095992,62.935936
1783364893,llama3.1:8b,36.0,6543,199.77,9.42,.115128,74.410317
1783364968,llama3.1:8b,34.0,6532,233.94,9.44,.098313,72.560801
1783365041,llama3.1:8b,34.0,6540,224.50,9.53,.102445,60.707753
1783365103,llama3.1:8b,36.0,6532,231.83,9.64,.099210,60.061604
1783365163,llama3.1:8b,34.0,6541,236.41,9.46,.097287,74.899133
1783365239,llama3.1:8b,36.0,6539,240.75,9.59,.095534,54.824596
1783365294,llama3.1:8b,36.0,6541,235.37,9.44,.097716,77.068192
1783365372,llama3.1:8b,34.0,6551,245.62,9.55,.093638,66.748450
1783365439,llama3.1:8b,37.0,6556,247.22,9.72,.093032,54.163750
1783365494,llama3.1:8b,34.0,6553,234.51,9.42,.098074,78.396135
1783365573,llama3.1:8b,34.0,6555,241.82,9.48,.095109,60.379638
1783365634,llama3.1:8b,36.0,6551,238.26,9.54,.096531,52.305510
1783365687,llama3.1:8b,31.0,6552,232.64,9.63,.098862,49.295270
1783365736,llama3.1:8b,31.0,6551,241.37,9.45,.095288,72.059056
1783365809,llama3.1:8b,36.0,6540,237.23,9.56,.096948,72.259104
1783365882,llama3.1:8b,34.0,6535,238.73,9.46,.096340,72.353061
1783365955,llama3.1:8b,34.0,6544,237.21,9.59,.096957,70.137854
1783366026,llama3.1:8b,34.0,6551,221.15,9.67,.103999,57.457535
1783366084,llama3.1:8b,34.0,6554,241.41,9.45,.095270,72.373378
1783366157,llama3.1:8b,36.0,6550,216.06,9.54,.106447,62.530134
1783366220,llama3.1:8b,36.0,6554,226.96,9.57,.101335,62.795630
1783366283,llama3.1:8b,36.0,6557,229.56,9.54,.100189,77.400578
1783366361,llama3.1:8b,34.0,6561,219.37,9.62,.104842,52.765721
1783366415,llama3.1:8b,34.0,6555,239.51,9.46,.096025,75.141121
1783366490,llama3.1:8b,36.0,6556,242.31,9.46,.094917,72.140838
1783366563,llama3.1:8b,34.0,6559,222.80,9.47,.103228,65.433877
1783366629,llama3.1:8b,34.0,6563,224.78,9.58,.102318,55.728017
1783366685,llama3.1:8b,31.0,6553,236.77,9.48,.097138,67.260562
1783366753,llama3.1:8b,34.0,6545,243.27,9.52,.094541,70.902101
1783366825,llama3.1:8b,34.0,6551,235.83,9.43,.097524,71.349344
1783366897,llama3.1:8b,34.0,6558,224.61,9.40,.102395,68.292801
1783366966,llama3.1:8b,36.0,6559,240.18,9.50,.095757,67.683399
1783367034,llama3.1:8b,34.0,6551,246.12,9.44,.093449,71.231257
1783367106,llama3.1:8b,34.0,6550,231.58,9.45,.099314,71.728931
1783367178,llama3.1:8b,36.0,6549,230.30,9.46,.099869,61.923442
1783367241,llama3.1:8b,34.0,6546,236.40,9.57,.097289,58.800666
1783367300,llama3.1:8b,33.0,6550,215.83,9.58,.106562,52.359364
1783367353,llama3.1:8b,32.0,6550,220.54,9.59,.104289,53.360269
1783367407,llama3.1:8b,36.0,6546,241.49,9.54,.095240,68.195090
1783367476,llama3.1:8b,34.0,6538,214.61,9.59,.107166,53.859446
1783367530,llama3.1:8b,36.0,6546,246.03,9.41,.093482,71.602399
1783367602,llama3.1:8b,34.0,6541,231.08,9.49,.099531,67.845073
1783367671,llama3.1:8b,34.0,6552,219.17,9.53,.104940,73.124155
1783367744,llama3.1:8b,34.0,6549,223.09,9.54,.103094,61.917095
1783367807,llama3.1:8b,33.0,6556,238.07,9.44,.096607,77.699780
1783367885,llama3.1:8b,33.0,6551,231.24,9.49,.099461,68.435323
1783367954,llama3.1:8b,36.0,6533,235.74,9.61,.097561,53.979932
1783368009,llama3.1:8b,34.0,6540,221.26,9.41,.103948,77.882858
1783368087,llama3.1:8b,36.0,6554,237.33,9.50,.096910,64.887658
1783368153,llama3.1:8b,36.0,6547,225.27,9.35,.102096,77.711205
1783368231,llama3.1:8b,34.0,6555,233.09,9.51,.098673,70.904152
1783368303,llama3.1:8b,37.0,6549,223.82,9.53,.102757,70.367668
1783368374,llama3.1:8b,36.0,6550,233.24,9.49,.098607,63.056136
1783368437,llama3.1:8b,34.0,6548,229.85,9.47,.100061,71.663476
1783368510,llama3.1:8b,34.0,6548,231.41,9.44,.099390,69.169863
1783368579,llama3.1:8b,37.0,6556,226.50,9.49,.101544,69.092595
1783368649,llama3.1:8b,36.0,6553,231.83,9.58,.099209,57.669129
1783368707,llama3.1:8b,36.0,6561,229.95,9.53,.100017,62.687832
1783368771,llama3.1:8b,37.0,6562,240.18,9.56,.095759,52.927360
1783368824,llama3.1:8b,34.0,6551,233.28,9.36,.098591,71.996863
1783368897,llama3.1:8b,34.0,6542,231.26,9.39,.099452,70.349291
1783368968,llama3.1:8b,31.0,6545,231.26,9.44,.099451,72.970001
1783369041,llama3.1:8b,34.0,6546,243.38,9.44,.094501,71.570730
1783369113,llama3.1:8b,34.0,6558,234.65,9.50,.098014,66.165788
1783369180,llama3.1:8b,36.0,6551,232.60,9.57,.098881,62.427404
1783369243,llama3.1:8b,36.0,6563,231.79,9.48,.099224,70.608883
1783369314,llama3.1:8b,34.0,6561,233.87,9.59,.098341,57.433556
1783369372,llama3.1:8b,34.0,6563,220.19,9.44,.104454,78.901802
1783369452,llama3.1:8b,36.0,6553,232.88,9.53,.098761,57.588288
1783369510,llama3.1:8b,36.0,6556,240.26,9.42,.095728,74.466283
1783369585,llama3.1:8b,34.0,6556,232.60,9.43,.098880,76.507412
1783369662,llama3.1:8b,36.0,6564,243.69,9.53,.094381,64.370411
1783369727,llama3.1:8b,34.0,6558,243.72,9.60,.094368,63.485274
1783369791,llama3.1:8b,34.0,6562,238.62,9.53,.096386,57.183647
1783369849,llama3.1:8b,33.0,6553,235.19,9.56,.097790,54.887057
1783369904,llama3.1:8b,36.0,6549,239.95,9.56,.095851,61.592559
1783369967,llama3.1:8b,36.0,6551,233.37,9.44,.098552,65.627107
1783370033,llama3.1:8b,33.0,6557,232.25,9.40,.099027,73.993174
1783370107,llama3.1:8b,36.0,6550,235.09,9.42,.097831,74.707805
1783370183,llama3.1:8b,31.0,6550,233.28,9.52,.098593,64.700152
1783370248,llama3.1:8b,34.0,6565,228.86,9.41,.100495,74.994117
1783370324,llama3.1:8b,34.0,6555,236.81,9.49,.097120,69.816012
1783370394,llama3.1:8b,34.0,6542,234.20,9.57,.098202,52.628636
1783370447,llama3.1:8b,34.0,6545,224.92,9.44,.102258,72.916117
1783370521,llama3.1:8b,33.0,6552,228.89,9.45,.100481,74.975459
1783370596,llama3.1:8b,31.0,6554,233.91,9.43,.098325,69.733551
1783370667,llama3.1:8b,36.0,6568,237.44,9.56,.096863,63.352089
1783370731,llama3.1:8b,34.0,6548,231.06,9.60,.099538,62.288893
1783370793,llama3.1:8b,37.0,6556,245.48,9.55,.093693,70.097490
1783370864,llama3.1:8b,36.0,6554,242.98,9.67,.094654,51.585417
1783370916,llama3.1:8b,34.0,6546,229.06,9.34,.100406,83.670539
1783371001,llama3.1:8b,33.0,6548,236.26,9.46,.097350,69.762487
1783371071,llama3.1:8b,30.0,6546,214.60,9.48,.107173,70.107213
1783371142,llama3.1:8b,33.0,6538,234.95,9.51,.097889,63.186318
1783371205,llama3.1:8b,34.0,6543,232.73,9.69,.098825,57.975285
1783371264,llama3.1:8b,36.0,6547,230.66,9.57,.099712,66.611230
1783371331,llama3.1:8b,34.0,6547,236.85,9.53,.097107,59.261938
1783371391,llama3.1:8b,34.0,6547,238.88,9.46,.096281,66.157413
1783371458,llama3.1:8b,34.0,6538,240.80,9.52,.095513,66.268669
1783371525,llama3.1:8b,34.0,6557,244.22,9.48,.094175,69.720431
1783371595,llama3.1:8b,33.0,6558,239.85,9.50,.095893,68.054898
1783371664,llama3.1:8b,34.0,6602,230.67,9.40,.099707,74.315821
1783371739,llama3.1:8b,34.0,6577,224.49,9.57,.102452,58.504539
1783371798,llama3.1:8b,34.0,6570,235.74,9.48,.097562,67.355537
1783371866,llama3.1:8b,34.0,6542,235.30,9.69,.097745,48.673719
1783371915,llama3.1:8b,34.0,6552,247.33,9.52,.092990,65.639709
1783371981,llama3.1:8b,34.0,6553,239.59,9.37,.095994,77.762758
1783372059,llama3.1:8b,34.0,6560,237.17,9.53,.096974,59.599488
1783372120,llama3.1:8b,34.0,6554,205.09,9.65,.112142,49.322580
1783372169,llama3.1:8b,36.0,6560,246.66,9.34,.093243,76.205743
1783372246,llama3.1:8b,34.0,6555,245.35,9.52,.093742,59.120627
1783372306,llama3.1:8b,36.0,6549,248.58,9.39,.092521,72.701487
1783372379,llama3.1:8b,31.0,6554,237.78,9.44,.096727,73.465878
1783372453,llama3.1:8b,34.0,6566,234.07,9.56,.098257,62.409232
1783372516,llama3.1:8b,34.0,6557,235.63,9.58,.097607,64.774577
1783372582,llama3.1:8b,37.0,6563,238.83,9.50,.096300,63.562615
1783372646,llama3.1:8b,36.0,6553,248.08,9.54,.092711,61.807106
1783372708,llama3.1:8b,34.0,6551,222.82,9.51,.103221,70.634298
1783372779,llama3.1:8b,34.0,6561,228.95,9.51,.100458,57.156201
1783372837,llama3.1:8b,34.0,6569,230.48,9.49,.099789,64.548405
1783372902,llama3.1:8b,34.0,6565,236.78,9.37,.097133,76.775150
1783372980,llama3.1:8b,36.0,6558,237.03,9.45,.097032,73.590446
1783373054,llama3.1:8b,36.0,6566,218.55,9.56,.105238,67.978176
1783373122,llama3.1:8b,34.0,6556,235.64,9.50,.097602,64.832834
1783373188,llama3.1:8b,34.0,6559,245.81,9.46,.093565,74.100666
1783373263,llama3.1:8b,34.0,6556,234.96,9.54,.097887,60.970278
1783373324,llama3.1:8b,31.0,6555,230.69,9.48,.099697,67.262724
1783373392,llama3.1:8b,34.0,6555,234.99,9.49,.097873,69.965659
1783373463,llama3.1:8b,34.0,6556,236.00,9.46,.097455,70.157405
1783373533,llama3.1:8b,36.0,6546,232.30,9.44,.099006,66.093356
1783373600,llama3.1:8b,31.0,6557,222.24,9.51,.103488,63.066001
1783373664,llama3.1:8b,34.0,6544,236.30,9.62,.097332,56.699406
1783373721,llama3.1:8b,33.0,6551,241.27,9.62,.095326,47.899478
1783373769,llama3.1:8b,33.0,6563,227.88,9.53,.100929,66.420879
1783373836,llama3.1:8b,34.0,6548,231.69,9.47,.099267,67.002926
1783373904,llama3.1:8b,34.0,6557,233.70,9.38,.098415,80.660656
1783373985,llama3.1:8b,34.0,6560,233.62,9.55,.098450,63.019705
1783374049,llama3.1:8b,34.0,6550,226.01,9.40,.101762,70.694897
1783374120,llama3.1:8b,34.0,6551,226.99,9.56,.101325,64.950019
1783374186,llama3.1:8b,34.0,6559,238.07,9.54,.096607,53.002752
1783374239,llama3.1:8b,36.0,6561,233.14,9.41,.098651,72.879322
