Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
05:48:41,14408536796,3216789599,20,355,32.65
05:48:57,16117012261,55460390,20,512,32.10
05:49:07,9290882478,63105787,20,303,33.15
05:49:10,2960660714,74901535,20,97,34.27
05:49:22,12053635641,63823731,20,393,33.05
05:49:42,20040100326,65972932,20,629,31.70
05:49:58,16110659717,60540639,20,513,32.20
05:50:10,12403065511,77405006,20,400,32.70
05:50:25,14703679258,58979595,20,465,32.00
05:50:42,17099685855,51611569,20,542,32.01
05:50:56,14106182094,53503257,20,453,32.47
05:51:11,14760997995,65008560,20,474,32.48
05:51:26,15122037553,83482650,20,481,32.21
05:51:40,13313012085,76268314,20,426,32.44
05:51:55,14939018935,57028218,20,475,32.15
05:52:13,18902438521,56758360,20,579,30.92
05:52:28,14911809033,74734714,20,460,31.22
05:52:44,15705857356,66549034,20,487,31.35
05:53:00,16229434140,67818929,20,501,31.23
05:53:15,15026316886,55429067,20,470,31.62
05:53:31,15289853311,57999489,20,474,31.34
05:53:51,19955013725,75165389,20,608,30.78
05:54:07,15755374776,55228327,20,488,31.30
05:54:20,13616623326,61486370,20,423,31.44
05:54:31,11179839754,76433246,20,352,31.97
05:54:42,10408967087,58376124,20,326,31.77
05:54:59,17307731902,60718223,20,531,30.99
05:55:16,16876234422,76725127,20,520,31.17
05:55:28,12334342761,67518899,20,388,31.88
05:55:47,18958115230,67109327,20,578,30.81
05:56:00,12929342348,59677584,20,406,31.79
05:56:16,15836064425,84677276,20,489,31.28
05:56:29,12598506559,58700285,20,396,31.83
05:56:32,3642134672,81453545,20,116,33.14
05:56:47,14203706660,51886215,20,443,31.53
05:57:00,13522046444,56564395,20,424,31.73
05:57:09,8263957667,56830758,20,263,32.34
05:57:23,14740005570,61378898,20,460,31.57
05:57:43,19802058603,69559433,20,606,30.91
05:57:56,12729854963,52451693,20,397,31.55
05:58:09,12738656699,67537866,20,396,31.50
05:58:23,13942276794,58635522,20,438,31.78
05:58:40,17296113772,63826094,20,536,31.32
05:58:49,9297508129,74473257,20,296,32.38
05:59:05,15820648221,56345503,20,493,31.50
05:59:19,14318337829,57024129,20,447,31.59
05:59:33,13634901626,60048451,20,428,31.77
05:59:49,16183202202,77899506,20,504,31.51
06:00:03,13843454697,59391184,20,433,31.65
06:00:12,9236273361,49956667,20,296,32.49
06:00:26,13704807981,75081890,20,427,31.55
06:00:41,14731786023,53255573,20,457,31.36
06:00:56,14611195167,79230122,20,454,31.46
06:01:13,17694870821,59893857,20,546,31.18
06:01:24,10990965601,77016222,20,346,31.97
06:01:34,9757252127,64607120,20,305,31.73
06:01:46,11760392834,92439449,20,366,31.60
06:01:59,12991887607,61340439,20,408,31.80
06:02:19,20400795851,51813755,20,623,30.82
06:02:31,11263911138,67036940,20,348,31.32
06:02:45,14400117715,50517775,20,447,31.39
06:02:58,13292519297,64535747,20,413,31.47
