Time,Watts
12:14:36,61
12:14:37,61
12:14:38,66
12:14:39,64
12:14:40,64
12:14:41,112
12:14:42,146
12:14:43,146
12:14:44,146
12:14:45,143
12:14:46,143
12:14:47,147
12:14:48,143
12:14:49,143
12:14:50,144
12:14:51,145
12:14:52,145
12:14:53,144
12:14:54,142
12:14:56,142
12:14:57,147
12:14:58,150
12:14:59,150
12:15:00,147
12:15:01,148
12:15:02,148
12:15:03,147
12:15:04,148
12:15:05,148
12:15:06,149
12:15:07,135
12:15:08,148
12:15:09,148
12:15:10,148
12:15:11,151
12:15:12,151
12:15:13,147
12:15:14,149
12:15:15,149
12:15:16,149
12:15:17,139
12:15:18,139
12:15:19,149
12:15:20,147
12:15:21,147
12:15:22,146
12:15:23,147
12:15:24,147
12:15:25,148
12:15:26,149
12:15:27,149
12:15:28,147
12:15:29,148
12:15:30,148
12:15:31,149
12:15:32,140
12:15:33,140
12:15:34,150
12:15:35,147
12:15:36,147
12:15:37,153
12:15:38,149
12:15:39,149
12:15:40,150
12:15:41,147
12:15:42,147
12:15:43,148
12:15:44,150
12:15:45,150
12:15:46,147
12:15:47,147
12:15:48,147
12:15:49,152
12:15:50,151
12:15:51,149
12:15:52,149
12:15:53,150
12:15:54,150
12:15:55,150
12:15:56,148
12:15:57,148
12:15:58,148
12:15:59,150
12:16:00,150
12:16:01,150
12:16:02,151
12:16:03,151
12:16:04,151
12:16:05,153
12:16:06,149
12:16:07,149
12:16:08,151
12:16:09,151
12:16:10,151
12:16:11,149
12:16:12,149
12:16:13,149
12:16:14,137
12:16:15,150
12:16:16,150
12:16:17,151
12:16:18,148
12:16:19,148
12:16:20,150
12:16:21,150
12:16:23,150
12:16:24,151
12:16:25,151
12:16:26,151
12:16:27,141
12:16:28,150
12:16:29,150
12:16:30,151
12:16:31,150
12:16:32,150
12:16:33,150
12:16:34,150
12:16:35,150
12:16:36,151
12:16:37,143
12:16:38,143
12:16:39,150
12:16:40,150
12:16:41,148
12:16:42,148
12:16:43,149
12:16:44,147
12:16:45,147
12:16:46,150
12:16:47,152
12:16:48,152
12:16:49,150
12:16:50,144
12:16:51,144
12:16:52,149
12:16:53,151
12:16:54,151
12:16:55,150
12:16:56,150
12:16:57,150
12:16:58,149
12:16:59,148
12:17:00,148
12:17:01,150
12:17:02,151
12:17:03,151
12:17:04,143
12:17:05,150
12:17:06,150
12:17:07,149
12:17:08,151
12:17:09,151
12:17:10,150
12:17:11,146
12:17:12,146
12:17:13,151
12:17:14,149
12:17:15,149
12:17:16,145
12:17:17,150
12:17:18,150
12:17:19,150
12:17:20,151
12:17:21,151
12:17:22,153
12:17:23,151
12:17:24,151
12:17:25,151
12:17:26,149
12:17:27,151
12:17:28,151
12:17:29,144
12:17:30,149
12:17:31,149
12:17:32,153
12:17:33,152
12:17:34,152
12:17:35,149
12:17:36,149
12:17:37,149
12:17:38,149
12:17:39,154
12:17:40,154
12:17:41,145
12:17:42,148
12:17:43,148
12:17:44,150
12:17:45,151
12:17:46,151
12:17:47,152
12:17:48,150
12:17:49,150
12:17:50,153
12:17:52,151
12:17:53,151
12:17:54,152
12:17:55,152
12:17:56,152
12:17:57,152
12:17:58,150
12:17:59,150
12:18:00,150
12:18:01,152
12:18:02,152
12:18:03,150
12:18:04,149
12:18:05,149
12:18:06,141
12:18:07,147
12:18:08,147
12:18:09,149
12:18:10,149
12:18:11,146
12:18:12,146
12:18:13,146
12:18:14,147
12:18:15,147
12:18:16,149
12:18:17,147
12:18:18,147
12:18:19,150
12:18:20,147
12:18:21,147
12:18:22,146
12:18:23,141
12:18:24,141
12:18:25,149
12:18:26,147
12:18:27,147
12:18:28,149
12:18:29,149
12:18:30,149
12:18:31,146
12:18:32,147
12:18:33,147
12:18:34,147
12:18:35,148
12:18:36,148
12:18:37,149
12:18:38,146
12:18:39,146
12:18:40,151
12:18:41,147
12:18:42,147
12:18:43,149
12:18:44,145
12:18:45,145
12:18:46,148
12:18:47,149
12:18:48,149
12:18:49,149
12:18:50,149
12:18:51,149
12:18:52,148
12:18:53,149
12:18:54,149
12:18:55,140
12:18:56,148
12:18:57,149
12:18:58,149
12:18:59,147
12:19:00,149
12:19:01,149
12:19:02,148
12:19:03,150
12:19:04,150
12:19:05,150
12:19:06,141
12:19:07,141
12:19:08,150
12:19:09,149
12:19:10,149
12:19:11,145
12:19:12,145
12:19:13,145
12:19:14,148
12:19:15,147
12:19:16,147
12:19:17,146
12:19:18,146
12:19:19,146
12:19:21,147
12:19:22,146
12:19:23,146
12:19:24,139
12:19:25,146
12:19:26,146
12:19:27,147
12:19:28,147
12:19:29,147
12:19:30,146
12:19:31,146
12:19:32,146
12:19:33,147
12:19:34,141
12:19:35,141
12:19:36,149
12:19:37,146
12:19:38,146
12:19:39,150
12:19:40,149
12:19:41,149
12:19:42,149
12:19:43,146
12:19:44,147
12:19:45,147
12:19:46,149
12:19:47,147
12:19:48,147
12:19:49,146
12:19:50,148
12:19:51,148
12:19:52,150
12:19:53,149
12:19:54,149
12:19:55,148
12:19:56,147
