Time,Temp,CPU_Load,RAM_MB
14:36:59,30.0,7.8,1337
14:37:00,36.0,4.8,4408
14:37:01,52.0,30.5,6671
14:37:03,50.0,29.7,6680
14:37:04,50.0,30,6671
14:37:05,51.0,29.5,6664
14:37:06,51.0,30.2,6662
14:37:08,53.0,30,6657
14:37:09,51.0,30.2,6653
14:37:10,54.0,29.8,6647
14:37:11,53.0,30.6,6641
14:37:12,53.0,30.5,6640
14:37:14,55.0,30,6640
14:37:15,55.0,29.9,6636
14:37:16,55.0,30.3,6636
14:37:17,57.0,30.2,6636
14:37:19,58.0,30.2,6638
14:37:20,57.0,29.8,6636
14:37:21,57.0,30.2,6635
14:37:22,57.0,30.2,6635
14:37:24,60.0,30.3,6635
14:37:25,58.0,30.4,6636
14:37:26,60.0,30.4,6637
14:37:27,60.0,29.9,6637
14:37:28,60.0,30.4,6634
14:37:30,59.0,29.9,6632
14:37:31,60.0,29.7,6626
14:37:32,60.0,30.3,6625
14:37:33,61.0,29.7,6623
14:37:35,62.0,30.7,6623
14:37:36,60.0,30.3,6622
14:37:37,62.0,29.9,6622
14:37:38,62.0,30,6623
14:37:39,62.0,30.4,6623
14:37:41,62.0,30,6623
14:37:42,62.0,30.4,6620
14:37:43,62.0,30.2,6620
14:37:44,64.0,30.3,6621
14:37:46,64.0,29.7,6621
14:37:47,62.0,30.3,6621
14:37:48,64.0,30.4,6624
14:37:49,64.0,30.4,6625
14:37:50,64.0,30,6624
14:37:52,64.0,29.8,6625
14:37:53,65.0,30,6627
14:37:54,64.0,29.9,6627
14:37:55,63.0,30.2,6621
14:37:57,62.0,30,6625
14:37:58,64.0,30.7,6623
14:37:59,65.0,30.7,6623
14:38:00,62.0,30,6628
14:38:01,65.0,30.3,6628
14:38:03,66.0,30.2,6626
14:38:04,64.0,29.9,6628
14:38:05,65.0,30.3,6627
14:38:06,65.0,30.3,6629
14:38:08,64.0,30,6630
14:38:09,65.0,30.4,6630
14:38:10,63.0,30.2,6628
14:38:11,66.0,30.3,6627
14:38:12,66.0,30,6627
14:38:14,64.0,30,6630
14:38:15,65.0,30.2,6630
14:38:16,66.0,30.4,6632
14:38:17,65.0,29.8,6632
14:38:19,65.0,30.4,6631
14:38:20,64.0,30.4,6635
14:38:21,66.0,30.3,6634
14:38:22,65.0,30.4,6634
14:38:23,66.0,30,6635
14:38:25,64.0,30.4,6636
14:38:26,65.0,30.7,6634
14:38:27,65.0,30.1,6636
14:38:28,65.0,30,6638
14:38:30,65.0,30,6639
14:38:31,66.0,29.9,6640
14:38:32,66.0,30.7,6637
14:38:33,68.0,30.7,6637
14:38:34,66.0,29.9,6637
14:38:36,65.0,30,6633
14:38:37,66.0,30.2,6635
14:38:38,65.0,29.5,6637
14:38:39,66.0,30.4,6635
14:38:41,66.0,30.5,6634
14:38:42,68.0,30.7,6632
14:38:43,66.0,30.4,6635
14:38:44,65.0,30.4,6635
14:38:45,66.0,30.4,6632
14:38:47,66.0,30.2,6640
14:38:48,67.0,30.2,6639
14:38:49,66.0,30.3,6641
14:38:50,66.0,30.4,6637
14:38:52,66.0,30.3,6637
14:38:53,66.0,30.3,6635
14:38:54,66.0,30.2,6637
14:38:55,65.0,30.2,6638
14:38:57,66.0,30.5,6640
14:38:58,66.0,30.3,6641
14:38:59,68.0,30,6639
14:39:00,66.0,30.7,6641
14:39:01,65.0,30.2,6641
14:39:03,68.0,30,6640
14:39:04,66.0,30,6639
14:39:05,66.0,30.5,6639
14:39:06,66.0,30,6640
14:39:08,68.0,30.3,6640
14:39:09,68.0,30,6639
14:39:10,68.0,30.4,6638
14:39:11,66.0,30.4,6639
14:39:12,66.0,30,6641
14:39:14,66.0,30.4,6641
14:39:15,65.0,30.4,6641
14:39:16,66.0,30.4,6644
14:39:17,64.0,30.4,6645
14:39:19,68.0,30.2,6644
14:39:20,64.0,30.5,6648
14:39:21,68.0,30.4,6645
14:39:22,66.0,30,6649
14:39:23,68.0,30.4,6649
14:39:25,65.0,30.4,6649
14:39:26,65.0,30.5,6648
14:39:27,68.0,30,6649
14:39:28,66.0,30.4,6650
14:39:30,66.0,30,6649
14:39:31,68.0,30,6645
14:39:32,66.0,30.2,6646
14:39:33,66.0,30,6646
14:39:34,68.0,30.2,6647
14:39:36,66.0,29.9,6648
14:39:37,68.0,30.3,6642
14:39:38,65.0,30,6643
14:39:39,65.0,30.2,6643
14:39:41,68.0,29.9,6641
14:39:42,68.0,29.9,6641
14:39:43,66.0,30.2,6640
14:39:44,68.0,30,6640
14:39:45,68.0,30.5,6641
14:39:47,66.0,30.4,6642
14:39:48,66.0,30.1,6641
14:39:49,68.0,30.5,6642
14:39:50,68.0,30.7,6639
14:39:52,66.0,30.4,6637
14:39:53,67.0,30.3,6636
14:39:54,65.0,30,6639
14:39:55,68.0,30.4,6638
14:39:56,66.0,29.9,6638
14:39:58,68.0,30.5,6640
14:39:59,68.0,29.7,6640
14:40:00,66.0,30,6640
14:40:01,66.0,30.7,6641
14:40:03,66.0,29.9,6642
14:40:04,68.0,30,6636
14:40:05,67.0,30.7,6637
14:40:06,66.0,30,6640
14:40:08,68.0,30.2,6642
14:40:09,66.0,29.9,6635
14:40:10,66.0,30.2,6636
14:40:11,66.0,30.4,6637
14:40:12,68.0,30.2,6638
14:40:14,65.0,30.2,6638
14:40:15,65.0,29.9,6638
14:40:16,65.0,30,6637
14:40:17,66.0,30.2,6635
14:40:19,65.0,30.3,6632
14:40:20,66.0,30.7,6635
14:40:21,66.0,30.7,6635
14:40:22,68.0,30.4,6635
14:40:23,66.0,30.4,6638
14:40:25,68.0,30.2,6639
14:40:26,65.0,30,6637
14:40:27,66.0,30.4,6636
14:40:28,68.0,29.7,6636
14:40:30,66.0,8.8,6634
14:40:31,68.0,30.7,6633
14:40:32,63.0,30,6630
14:40:33,66.0,30,6631
14:40:34,66.0,30.2,6632
14:40:36,66.0,30,6631
14:40:37,66.0,30.5,6632
14:40:38,67.0,30.2,6628
14:40:39,66.0,29.7,6628
14:40:41,66.0,30,6629
14:40:42,66.0,30,6632
14:40:43,67.0,30,6631
14:40:44,66.0,30.4,6631
14:40:45,67.0,30.3,6633
14:40:47,68.0,30.4,6634
14:40:48,66.0,30.5,6634
14:40:49,66.0,29.5,6636
14:40:50,66.0,30,6636
14:40:52,66.0,29.9,6636
14:40:53,66.0,30,6637
14:40:54,66.0,30.4,6636
14:40:55,66.0,30,6637
14:40:56,66.0,30.3,6632
14:40:58,68.0,30.4,6635
14:40:59,68.0,30,6633
14:41:00,68.0,30.2,6630
14:41:01,68.0,30,6631
14:41:03,68.0,29.9,6631
14:41:04,68.0,29.5,6632
14:41:05,68.0,30.3,6635
14:41:06,68.0,30,6636
14:41:07,67.0,29.9,6634
14:41:09,68.0,30.2,6635
14:41:10,70.0,30.3,6639
14:41:11,68.0,30.3,6638
14:41:12,68.0,30,6637
14:41:14,68.0,30.2,6638
14:41:15,68.0,30.2,6638
14:41:16,66.0,30.7,6636
14:41:17,67.0,30.4,6639
14:41:18,68.0,30.7,6640
14:41:20,68.0,30,6639
14:41:21,66.0,30.5,6639
14:41:22,68.0,30.2,6645
14:41:23,68.0,30,6644
14:41:25,68.0,30.3,6643
14:41:26,68.0,30,6647
14:41:27,68.0,30.3,6649
14:41:28,68.0,30.1,6650
14:41:30,66.0,30.5,6649
14:41:31,68.0,29.9,6649
14:41:32,69.0,30,6651
14:41:33,66.0,30.2,6652
14:41:34,67.0,30,6651
14:41:36,66.0,30.2,6648
14:41:37,66.0,30,6650
14:41:38,68.0,30,6651
14:41:39,68.0,29.9,6650
14:41:41,66.0,30,6652
14:41:42,66.0,30.4,6652
14:41:43,68.0,30.7,6652
14:41:44,67.0,30.3,6653
14:41:45,68.0,30.2,6652
14:41:47,65.0,30.7,6651
14:41:48,68.0,30.7,6652
14:41:49,68.0,30,6653
