Time,Temp,CPU_Load,RAM_MB
11:50:57,32.0,7.1,1698
11:50:58,34.0,4.4,5753
11:50:59,58.0,30.5,5760
11:51:00,52.0,30,5765
11:51:02,52.0,30,5760
11:51:03,52.0,30.7,5757
11:51:04,53.0,30.4,5756
11:51:05,55.0,29.9,5751
11:51:07,56.0,30.2,5752
11:51:08,55.0,30.7,5750
11:51:09,56.0,30.7,5750
11:51:10,56.0,30,5748
11:51:11,57.0,30.3,5747
11:51:13,57.0,30.4,5744
11:51:14,58.0,30.4,5744
11:51:15,57.0,30.2,5747
11:51:16,59.0,30.3,5747
11:51:18,59.0,30.5,5748
11:51:19,59.0,30,5748
11:51:20,60.0,30,5749
11:51:21,60.0,30.5,5748
11:51:23,61.0,30.2,5748
11:51:24,61.0,30,5747
11:51:25,61.0,30.1,5748
11:51:26,61.0,30,5745
11:51:27,63.0,30.5,5746
11:51:29,63.0,30.3,5746
11:51:30,63.0,30,5740
11:51:31,63.0,30.3,5743
11:51:32,61.0,30.3,5743
11:51:34,62.0,29.9,5746
11:51:35,62.0,30.2,5746
11:51:36,63.0,30.8,5747
11:51:37,64.0,30,5747
11:51:38,64.0,29.9,5746
11:51:40,65.0,30,5747
11:51:41,65.0,29.9,5745
11:51:42,64.0,30,5746
11:51:43,63.0,30.1,5739
11:51:45,64.0,30.4,5739
11:51:46,64.0,30.2,5742
11:51:47,63.0,30,5741
11:51:48,67.0,30.4,5740
11:51:49,66.0,30.7,5741
11:51:51,65.0,30,5739
11:51:52,65.0,30.4,5738
11:51:53,65.0,30.3,5739
11:51:54,66.0,30.7,5739
11:51:56,65.0,30.3,5740
11:51:57,66.0,30.4,5741
11:51:58,65.0,30.3,5742
11:51:59,65.0,30.3,5744
11:52:00,67.0,30.5,5742
11:52:02,67.0,30.7,5741
11:52:03,67.0,30.2,5742
11:52:04,67.0,30,5743
11:52:05,67.0,30.3,5742
11:52:07,67.0,30,5743
11:52:08,67.0,30,5744
11:52:09,67.0,30.7,5746
11:52:10,68.0,30.2,5743
11:52:11,68.0,30.2,5742
11:52:13,67.0,30.3,5742
11:52:14,67.0,30.7,5743
11:52:15,68.0,30.4,5744
11:52:16,68.0,30.1,5741
11:52:18,68.0,30,5743
11:52:19,67.0,30,5743
11:52:20,68.0,30.2,5744
11:52:21,67.0,30.5,5745
11:52:22,67.0,30,5746
11:52:24,67.0,30.2,5746
11:52:25,67.0,30.7,5748
11:52:26,68.0,29.9,5746
11:52:27,67.0,30.2,5748
11:52:29,67.0,30.7,5750
11:52:30,67.0,29.9,5749
11:52:31,68.0,30,5746
11:52:32,67.0,30.2,5747
11:52:33,68.0,30.3,5748
11:52:35,68.0,30,5746
11:52:36,68.0,30.7,5740
11:52:37,68.0,30.2,5740
11:52:38,68.0,30,5742
11:52:40,69.0,29.6,5739
11:52:41,68.0,30.3,5741
11:52:42,68.0,30.5,5740
11:52:43,67.0,30.2,5739
11:52:44,68.0,30.4,5741
11:52:46,69.0,30,5735
11:52:47,68.0,30.3,5736
11:52:48,68.0,30.5,5736
11:52:49,68.0,30.5,5735
11:52:51,68.0,30.3,5739
11:52:52,68.0,30.4,5741
11:52:53,68.0,30,5741
11:52:54,69.0,30.2,5741
11:52:55,68.0,30.2,5743
11:52:57,70.0,30.3,5741
11:52:58,68.0,30,5743
11:52:59,68.0,30.7,5744
