Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
11:18:46,53552250510,2346825465,23,646,12.81
11:19:42,56111175818,91630074,23,713,12.77
11:20:34,51990846248,91644690,23,664,12.84
11:21:30,55807593052,92758687,23,710,12.79
11:22:18,48300072466,93378807,23,619,12.89
11:23:08,49243909873,103573618,23,628,12.83
11:23:54,45881875841,101989421,23,587,12.87
11:24:40,46867439737,90920218,23,599,12.85
11:25:35,54234888121,110190421,23,690,12.79
11:26:23,48773344534,107172825,23,624,12.87
11:27:16,52113897599,91021573,23,659,12.71
11:27:55,39757790127,111182445,23,508,12.87
