Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
15:14:44,48109572402,1578716566,19,631,13.73
15:15:16,31172606167,17911678,19,432,13.91
15:15:47,31413570395,18573447,19,435,13.90
15:16:22,35017846822,23696215,19,483,13.85
15:16:55,32827530058,18098487,19,455,13.91
15:17:30,35514430297,14987734,19,489,13.82
15:18:06,35753501596,15889278,19,493,13.84
15:18:40,33293221251,20722699,19,461,13.90
15:19:16,36478464006,13083166,19,502,13.81
15:19:46,30113185077,17791034,19,417,13.90
15:20:19,32469551504,21159664,19,448,13.85
15:20:45,26132539576,12839825,19,363,13.95
15:21:16,30681623470,42221260,19,424,13.89
15:21:54,38023287392,13647032,19,522,13.77
15:22:28,34087519464,18964770,19,466,13.72
15:23:04,36216179511,18930659,19,493,13.66
15:23:42,37902413318,24515989,19,516,13.66
15:24:17,35096648961,16466048,19,478,13.67
15:24:50,33493338091,13944570,19,458,13.72
15:25:32,41149579265,16267853,19,559,13.63
15:26:05,33295556026,14896130,19,454,13.68
15:26:34,29195676885,13959739,19,401,13.79
15:27:05,31183116400,14947299,19,428,13.77
15:27:43,37217533758,18749284,19,508,13.70
15:28:15,31821439451,18620547,19,436,13.76
15:28:54,39252897034,16473087,19,537,13.73
15:29:28,33783777145,11967435,19,461,13.69
15:30:00,31954157596,23371373,19,438,13.76
15:30:33,33540733696,21143038,19,459,13.73
15:31:04,31134614799,14051705,19,426,13.73
15:31:47,42229099988,26169034,19,574,13.64
15:32:17,30852314365,21806667,19,422,13.73
15:32:44,26692189066,25202680,19,366,13.78
15:33:19,35099560532,19489025,19,479,13.70
15:33:52,33053461625,14478974,19,452,13.73
15:34:28,36113440315,28992981,19,493,13.70
15:35:03,34371386604,17266725,19,471,13.75
15:35:35,31994483793,21370213,19,436,13.68
15:36:10,35568409979,29157552,19,483,13.63
15:36:43,32116241759,18316732,19,440,13.75
15:37:22,39434444374,16905618,19,535,13.61
15:37:51,29126915249,24181005,19,399,13.76
15:38:34,42612770717,15635425,19,576,13.56
15:39:07,33378310844,14139692,19,458,13.77
15:39:42,34484510107,23846084,19,470,13.68
15:40:12,30380763260,13124624,19,417,13.78
15:40:51,38629243884,21098246,19,525,13.64
15:41:23,32322555173,13180403,19,443,13.76
15:41:55,31972719309,14561364,19,438,13.75
15:42:34,38933794492,18655391,19,530,13.66
15:43:16,42047470841,18364085,19,572,13.65
15:44:01,44315758709,14272109,19,599,13.56
