Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
00:11:10,26146114612,1378565458,21,704,28.95
00:11:36,25757162848,96313309,21,730,28.76
00:12:01,24644224955,89053739,21,702,28.91
00:12:22,21458004235,85461184,21,613,29.02
00:12:50,27690041548,85744909,21,780,28.57
00:13:18,27826069135,97493512,21,784,28.58
00:13:38,20173023431,95305019,21,583,29.38
00:14:01,23072324260,94381167,21,658,28.96
00:14:27,25869166821,92464073,21,732,28.72
00:14:51,24266275326,87513073,21,683,28.56
00:15:15,23464738530,104689273,21,664,28.75
00:15:39,24110521614,95233284,21,679,28.58
00:16:07,27663664409,88094164,21,778,28.52
00:16:30,23214602719,110056042,21,658,28.79
00:16:55,24844970373,100787411,21,695,28.40
00:17:25,29777228516,103306440,21,830,28.26
00:17:51,26416878134,94862871,21,739,28.39
00:18:19,28158785192,98254542,21,786,28.31
00:18:52,32573875537,88737789,21,900,27.99
00:19:18,26090932300,101870440,21,728,28.32
00:19:45,26522377768,97095121,21,742,28.38
00:20:05,20616190344,87086736,21,583,28.73
00:20:30,24628192933,87318768,21,691,28.47
00:20:52,22037350690,101897982,21,623,28.72
00:21:16,24032990660,90158878,21,683,28.85
00:21:38,21833562851,97678995,21,618,28.75
00:22:03,25199306016,95203221,21,713,28.72
00:22:25,22356055098,100450230,21,633,28.77
00:22:54,28843332771,104115272,21,805,28.31
00:23:26,31365379882,91167012,21,865,27.94
00:23:51,25272969635,104705609,21,699,28.08
00:24:17,25883765775,96130318,21,710,27.84
00:24:38,20977288592,94428941,21,581,28.14
00:25:05,27193440179,93239499,21,745,27.79
00:25:29,23839005194,95970780,21,658,28.02
00:25:54,24668854207,90075758,21,681,28.02
00:26:16,22623158625,101760597,21,624,28.03
00:26:38,21900204155,89711313,21,605,28.07
00:27:01,23157751653,97072999,21,640,28.07
00:27:27,25473501451,86381491,21,702,27.95
00:27:52,25385924559,92528229,21,707,28.28
00:28:20,27860625807,99364582,21,763,27.78
00:28:42,21369263153,102015519,21,594,28.25
00:29:08,26017637724,82408252,21,715,27.87
00:29:33,25315226343,85324322,21,697,27.93
00:30:02,29457380912,93350952,21,802,27.61
00:30:27,24187420601,92718440,21,666,27.95
00:30:53,26585646830,95491417,21,728,27.78
00:31:17,23995584087,100146195,21,670,28.35
00:31:43,25942924162,96063028,21,715,27.97
00:32:09,26037937845,90185670,21,715,27.86
00:32:36,26363161352,96632672,21,724,27.86
00:33:04,27821791531,91130917,21,761,27.74
00:33:24,20179733024,97122162,21,563,28.36
00:33:48,23852167307,93122190,21,659,28.05
00:34:14,26634715281,95709976,21,732,27.89
00:34:41,26631390114,96004795,21,734,27.97
00:35:08,26863044710,90075260,21,738,27.87
00:35:33,25022100240,93864390,21,686,27.82
00:35:58,25333346068,98870136,21,695,27.84
00:36:21,23149994873,106637732,21,639,28.05
00:36:46,24462837475,92669363,21,677,28.10
00:37:12,26242852365,100545236,21,726,28.08
00:37:37,24585455377,85366037,21,678,27.99
00:38:03,26038779649,85478348,21,724,28.21
00:38:28,25132798194,95490393,21,690,27.87
00:38:53,24855036209,87785419,21,685,27.97
00:39:21,28160246418,105370665,21,770,27.75
00:39:48,26476437193,114825196,21,725,27.80
00:40:12,24461367470,108110837,21,670,27.82
00:40:38,26200782938,98997428,21,722,27.97
00:41:07,29002205293,106453165,21,791,27.66
00:41:33,25966727898,90842014,21,714,27.90
00:42:01,27619707844,85720889,21,757,27.80
00:42:28,26886884758,102834128,21,735,27.74
00:42:52,24168153215,105996998,21,667,28.03
00:43:20,27572673436,97840983,21,753,27.70
00:43:43,23435037057,103116060,21,645,27.97
00:44:06,22290500270,95424624,21,619,28.21
00:44:30,24748305359,97435762,21,691,28.35
00:44:55,24471543087,84158903,21,677,28.06
00:45:17,22441709990,92000739,21,629,28.47
00:45:44,26493512418,99601433,21,727,27.85
00:46:12,28337003548,92919447,21,774,27.70
00:46:38,26085549772,97377175,21,716,27.85
00:47:04,25753957761,86713718,21,707,27.85
00:47:31,26990611848,96122390,21,744,27.96
00:47:54,22491304321,90570428,21,624,28.18
00:48:19,25447997602,87005333,21,700,27.91
00:48:47,27494106583,88012447,21,754,27.82
00:49:12,25525793599,86326028,21,705,28.03
00:49:39,26685210929,98191041,21,737,28.03
00:50:04,25408259904,90552997,21,696,27.79
00:50:35,30281031970,110626807,21,826,27.67
00:51:01,26255238400,100541441,21,720,27.83
00:51:30,28850706964,88937386,21,790,27.76
00:51:56,26110545364,89299072,21,715,27.77
00:52:23,26855783746,94435301,21,734,27.73
00:52:49,25797816757,90286269,21,711,27.95
00:53:13,24462137630,87723688,21,673,27.92
00:53:37,23740107437,91043054,21,655,28.01
00:53:58,21465999138,121745787,21,594,28.15
00:54:26,27879903020,103805038,21,762,27.73
00:54:52,25473978002,96872169,21,708,28.21
00:55:14,22507585690,102744103,21,627,28.30
00:55:37,22993364640,84017560,21,635,28.03
00:56:00,22477424188,86411851,21,628,28.36
00:56:25,25343307112,108187059,21,696,27.89
00:56:49,23673624577,87900141,21,654,28.04
00:57:20,30704446268,89311131,21,838,27.67
00:57:45,25352362867,100939647,21,697,27.92
00:58:09,23707676220,88678216,21,658,28.17
00:58:34,25376361896,90910589,21,698,27.90
00:59:00,25681348088,105252161,21,708,27.99
00:59:26,25669156389,93490144,21,705,27.87
00:59:48,22919452123,88257248,21,639,28.31
01:00:16,27386069508,91761169,21,749,27.74
01:00:43,27444734113,93266492,21,755,27.91
01:01:12,28678610083,90091845,21,784,27.73
01:01:39,26495835553,94087886,21,733,28.07
01:02:08,29554705855,85213514,21,808,27.71
01:02:32,24141393195,101346150,21,666,28.01
01:02:56,24141564376,90163444,21,669,28.13
01:03:22,25937468848,90623767,21,713,27.89
01:03:46,23353045607,88626042,21,649,28.21
01:04:13,26671752791,89737869,21,731,27.80
01:04:36,22963700180,104820650,21,636,28.15
01:05:02,26713291223,97766060,21,730,27.73
01:05:30,27922095594,103460549,21,763,27.72
01:05:53,23239588646,96672495,21,643,28.10
01:06:19,25775474990,87675390,21,715,28.14
01:06:46,26621035042,103776429,21,736,28.05
01:07:11,24955937193,86218948,21,691,28.10
01:07:35,24056838429,87162307,21,663,27.97
01:08:01,26294841128,87840717,21,720,27.77
01:08:29,27729192022,89440181,21,760,27.79
01:08:55,25696118890,92232183,21,704,27.81
01:09:20,25174507949,89292692,21,691,27.86
01:09:43,23456322192,106097302,21,648,28.07
01:10:09,25562291208,89140450,21,700,27.78
01:10:34,25363275155,95513183,21,696,27.85
01:11:00,25852166323,88551201,21,710,27.86
