Time,Temp,CPU_Load,RAM_MB
23:08:00,25.0,7.8,1312
23:08:01,37.0,29.5,1804
23:08:02,41.0,29.5,1806
23:08:03,41.0,28.9,1788
23:08:05,42.0,29.3,1769
23:08:06,43.0,29.4,1746
23:08:07,44.0,29.4,1747
23:08:08,43.0,29.8,1754
23:08:09,45.0,29.9,1758
23:08:11,47.0,29.7,1760
23:08:12,46.0,29.5,1760
23:08:13,46.0,29.5,1743
23:08:14,42.0,7.8,1766
23:08:16,45.0,28.4,1752
23:08:17,49.0,29.7,1753
23:08:18,48.0,29.2,1760
23:08:19,50.0,29.4,1766
23:08:20,50.0,29.7,1768
23:08:22,51.0,29.1,1745
23:08:23,52.0,30.4,1761
23:08:24,48.0,29.7,1764
23:08:25,47.0,29.1,1763
23:08:27,50.0,29.3,1767
23:08:28,52.0,29.7,1765
23:08:29,50.0,29.1,1768
23:08:30,50.0,29.7,1769
23:08:31,53.0,29.7,1759
23:08:33,51.0,29.6,1767
23:08:34,51.0,29.6,1764
23:08:35,52.0,30.2,1762
23:08:36,54.0,29.9,1757
23:08:38,52.0,29.8,1750
23:08:39,51.0,29.5,1765
23:08:40,53.0,29.3,1755
23:08:41,54.0,29.3,1759
23:08:42,54.0,29.4,1764
23:08:44,53.0,30,1765
23:08:45,55.0,29.6,1765
23:08:46,54.0,29.5,1763
23:08:47,54.0,29.7,1765
23:08:49,54.0,30,1767
23:08:50,54.0,30.5,1767
23:08:51,54.0,29.8,1771
23:08:52,53.0,29,1780
23:08:53,54.0,30.1,1779
23:08:55,54.0,29.6,1781
23:08:56,55.0,28.9,1771
23:08:57,55.0,29.3,1759
23:08:58,55.0,29.1,1756
23:09:00,57.0,29.5,1760
23:09:01,56.0,29.3,1763
23:09:02,54.0,29.8,1757
23:09:03,53.0,29.8,1754
23:09:04,56.0,29.5,1749
23:09:06,58.0,30.2,1751
23:09:07,54.0,29.7,1755
23:09:08,56.0,30,1749
23:09:09,56.0,29.5,1756
23:09:10,55.0,30.1,1753
23:09:12,56.0,30.2,1779
23:09:13,57.0,29.3,1766
23:09:14,55.0,29.7,1762
23:09:15,57.0,29.4,1763
23:09:17,58.0,30.1,1765
23:09:18,58.0,29.6,1770
23:09:19,58.0,29,1774
23:09:20,55.0,29.4,1771
23:09:21,56.0,30,1780
23:09:23,56.0,30.1,1778
23:09:24,57.0,29.7,1774
23:09:25,60.0,29.8,1772
23:09:26,58.0,29.5,1772
23:09:28,57.0,29.7,1774
23:09:29,58.0,30,1775
23:09:30,58.0,29.5,1777
23:09:31,59.0,30.2,1773
23:09:32,57.0,21.5,1790
23:09:34,60.0,30.1,1788
23:09:35,58.0,29.7,1781
23:09:36,57.0,30.2,1782
23:09:37,56.0,30.5,1785
23:09:39,61.0,29.3,1786
23:09:40,57.0,29.5,1780
23:09:41,60.0,29.9,1773
23:09:42,57.0,30,1781
23:09:43,60.0,29.7,1779
23:09:45,58.0,29.8,1779
23:09:46,57.0,30.3,1778
23:09:47,57.0,29.4,1775
23:09:48,57.0,29.5,1780
23:09:50,57.0,29.3,1764
23:09:51,55.0,29.3,1777
23:09:52,57.0,29.9,1772
23:09:53,52.0,30.1,1775
