Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
04:35:37,74415104100,1564902234,53,980,13.73
04:36:52,74658255529,13265332,53,1020,13.69
04:37:57,65384918567,13102470,53,900,13.79
04:39:07,69204800057,22647792,53,949,13.74
04:40:18,71703882835,12976474,53,983,13.74
04:41:29,70644171270,17394621,53,969,13.75
04:42:41,72130243755,13241700,53,981,13.63
04:43:54,72977860528,14765469,53,988,13.56
04:45:11,76905812216,16104182,53,1039,13.54
04:46:19,67638750682,16379349,53,922,13.66
04:47:20,60919326511,14258315,53,835,13.74
04:48:26,66183503672,13619220,53,899,13.61
04:49:39,73056336537,18155882,53,991,13.59
04:50:48,68834114095,13818502,53,935,13.61
04:52:02,74129555391,19180393,53,1005,13.59
04:53:06,64351693249,31482324,53,877,13.66
04:54:21,74488353858,14386706,53,1008,13.56
04:55:39,78087884295,12484749,53,1053,13.51
04:56:58,78912241975,13373275,53,1064,13.51
04:58:12,73839606153,16595233,53,997,13.53
04:59:21,68822438374,15296443,53,938,13.66
05:00:29,68406838537,22218019,53,929,13.61
05:01:46,76825563641,17061995,53,1042,13.59
05:02:57,71238835856,21151818,53,966,13.59
05:04:08,70735118974,17153861,53,960,13.60
05:05:27,78609083427,20037899,53,1058,13.48
05:06:35,68644344311,13060572,53,934,13.63
05:07:52,76501906407,29477254,53,1037,13.58
05:09:09,77517632663,20235085,53,1044,13.49
05:10:22,72815467237,17666847,53,988,13.60
05:11:31,69042188863,14456974,53,939,13.63
05:12:41,69409483982,17336933,53,942,13.60
05:13:47,66432603278,16110838,53,911,13.74
05:14:59,71769409373,16418025,53,972,13.57
05:16:14,75574395371,15063821,53,1022,13.55
05:17:25,70347964943,12349417,53,954,13.59
05:18:43,78596185148,15724314,53,1060,13.51
05:19:55,71477371329,31183809,53,967,13.56
05:21:09,74377930742,25963224,53,1009,13.59
05:22:22,72605611080,25507064,53,983,13.57
05:23:32,70369015286,12956930,53,956,13.61
05:24:44,71515272020,16328970,53,967,13.55
05:25:50,65728052681,18620677,53,895,13.65
05:27:05,75465967371,16233529,53,1019,13.53
05:28:25,79478724301,19874149,53,1071,13.50
05:29:32,67397963943,15851326,53,915,13.60
05:30:45,72585111728,22356436,53,984,13.58
05:31:56,71455906674,18875260,53,965,13.53
05:33:09,72350185612,13568548,53,982,13.60
05:34:19,70160517405,27352116,53,950,13.57
05:35:24,65461881779,17105454,53,882,13.50
