Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
22:51:13,57625042548,2355920359,23,696,12.77
22:51:57,43788413354,89563084,23,561,12.89
22:52:57,60642457875,94196661,23,767,12.71
22:53:44,47038064615,110046827,23,600,12.83
22:54:38,53620774273,93619763,23,681,12.77
22:55:32,54184018991,120729322,23,689,12.79
22:56:22,50127830223,100738000,23,638,12.80
22:57:15,52611320169,94337797,23,670,12.80
22:58:02,47183267677,102063021,23,603,12.85
22:58:55,52630481167,102502615,23,669,12.78
22:59:43,48038007242,104067726,23,612,12.81
23:00:44,60564824575,104827704,23,758,12.58
23:01:40,56397567345,99531923,23,710,12.66
23:02:27,46774633239,99221492,23,592,12.73
23:03:21,53789486527,102554040,23,679,12.69
23:04:11,50339016322,92363190,23,636,12.70
23:04:55,44383776958,111951129,23,563,12.77
23:05:42,46220079793,96109754,23,583,12.69
23:06:25,43523247742,97149092,23,552,12.76
23:07:21,55412562268,100441375,23,701,12.72
23:08:12,51429823566,99096667,23,647,12.65
23:09:06,53906136788,92234099,23,678,12.64
23:09:57,51119713430,92976092,23,645,12.68
23:10:42,44455989895,95228358,23,562,12.72
23:11:31,48946791622,89639951,23,619,12.72
23:12:25,54576649553,98169168,23,687,12.65
23:13:07,42179485719,98462673,23,537,12.81
23:13:52,44993665761,89943220,23,570,12.74
23:14:43,50569505977,111406187,23,639,12.71
23:15:38,55307607866,94953436,23,696,12.65
23:16:22,43327707262,120200284,23,549,12.75
23:17:17,55816644917,92852772,23,702,12.64
23:18:10,52421920922,117288475,23,660,12.66
23:19:03,53208011526,93904960,23,670,12.66
23:19:51,47530219791,101439317,23,599,12.68
23:20:31,40390057228,94638347,23,513,12.78
23:21:37,66222815969,91883598,23,828,12.56
23:22:25,47749101858,96605136,23,605,12.74
23:23:10,45111445471,110048666,23,573,12.78
23:23:53,43063284211,93625113,23,546,12.75
23:24:45,51334072282,93653360,23,648,12.69
23:25:34,49661678550,91572553,23,628,12.72
23:26:25,50614127809,96064564,23,639,12.69
23:27:01,36257033974,94487804,23,463,12.86
23:27:43,41667242992,90186566,23,529,12.77
23:28:25,42205104305,89460756,23,535,12.75
23:29:16,51061507675,101190634,23,643,12.66
23:29:57,40484105015,102267931,23,515,12.80
23:30:50,53333830055,97807663,23,673,12.69
23:31:40,49415912587,94117563,23,624,12.70
23:32:20,40711547114,92692723,23,518,12.80
23:33:06,45525144934,99966800,23,577,12.75
23:33:46,39914248209,93563585,23,509,12.84
23:34:32,45724465185,96087131,23,580,12.76
23:35:18,45988535044,105450560,23,582,12.73
23:36:08,50488304858,106201686,23,636,12.67
23:36:56,48292849177,91423643,23,610,12.70
23:37:48,51358417937,111997466,23,648,12.69
23:38:37,48986239357,98604436,23,618,12.69
23:39:26,48865543836,109264397,23,617,12.70
23:40:08,42189245682,95715688,23,536,12.78
23:40:56,48005548350,91843744,23,606,12.69
23:41:46,50371292430,91525705,23,635,12.67
23:42:43,56417710170,90738626,23,710,12.65
23:43:33,49884298803,105082472,23,632,12.74
23:44:13,40680296171,99744226,23,516,12.77
23:45:06,52196035899,93536270,23,658,12.67
23:46:00,54639704154,89863232,23,689,12.67
23:46:48,47792844745,89063484,23,605,12.73
23:47:41,52549953893,101929692,23,660,12.63
23:48:34,52925684254,90489807,23,667,12.67
23:49:31,57297838289,93966648,23,720,12.63
23:50:21,49699092458,100426136,23,627,12.69
23:51:07,46338133429,110111618,23,586,12.72
23:51:58,51358448456,119328040,23,648,12.69
23:52:51,52193801467,90658112,23,660,12.71
23:53:42,51879912606,99318908,23,653,12.65
23:54:22,39783023596,90737106,23,506,12.80
23:55:13,50665166419,100107408,23,639,12.68
23:56:07,54458978630,106437709,23,682,12.59
23:56:45,37440024882,106843495,23,476,12.80
23:57:37,52388662167,90813783,23,660,12.67
23:58:30,52611545012,90849763,23,662,12.65
23:59:23,53299896403,91779598,23,672,12.67
00:00:12,48434426698,114117092,23,612,12.71
00:00:54,42728863752,101893829,23,541,12.74
00:01:50,55322197337,111960927,23,694,12.61
00:02:43,52752767261,92526502,23,665,12.67
00:03:34,51785991698,91237729,23,652,12.66
00:04:22,47190922059,104129568,23,597,12.72
00:05:14,52013495670,95478436,23,656,12.68
00:06:00,46429259742,91460136,23,589,12.76
00:06:58,58254821237,91798535,23,731,12.61
00:07:53,54909450917,109673229,23,692,12.67
00:08:41,47631182943,91008494,23,603,12.73
00:09:37,56013353350,100764845,23,705,12.65
00:10:19,41768910336,93703533,23,531,12.79
00:11:09,50175771888,95171662,23,633,12.69
00:11:51,41862815245,100066304,23,531,12.77
00:12:45,54105452310,95773717,23,682,12.67
00:13:27,41586579889,86998641,23,528,12.77
00:14:13,45996095049,99799728,23,581,12.71
00:15:06,53442795564,94625346,23,674,12.68
00:16:01,54992847208,100163280,23,692,12.65
00:16:51,50099615287,92609617,23,631,12.66
00:17:43,51972376370,116069922,23,655,12.68
00:18:29,45846048270,91692502,23,580,12.72
00:19:18,48793329143,90290544,23,617,12.71
00:20:06,48235468898,99225282,23,611,12.74
00:20:54,47440131530,97056680,23,601,12.74
00:21:52,57884071864,101358158,23,728,12.64
00:22:39,47564837225,98213905,23,601,12.71
00:23:36,57129342614,104468480,23,718,12.63
00:24:21,44662555563,107513901,23,567,12.77
00:25:12,51198727013,105314036,23,648,12.73
00:26:07,54397818208,93053148,23,686,12.68
00:26:57,50677457255,97414142,23,640,12.70
00:27:53,55397739658,91222879,23,698,12.66
00:28:39,45903196530,91385496,23,585,12.82
00:29:29,50260079056,101349339,23,635,12.71
00:30:17,47850648172,105429433,23,606,12.74
00:30:59,42011604607,95622498,23,534,12.79
00:31:54,54709153719,90983713,23,689,12.66
00:32:36,42610570273,91423856,23,541,12.77
00:33:25,48467793064,119447228,23,616,12.79
00:34:05,40544774875,97209327,23,517,12.83
00:34:53,47339281460,103614953,23,598,12.71
00:35:50,57406727338,109540206,23,721,12.63
00:36:33,43175901738,96448510,23,548,12.77
