Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
05:38:26,30253118984,1568428837,19,392,13.95
05:39:00,33965650928,14093883,19,470,13.88
05:39:32,32426359522,13286493,19,449,13.90
05:40:01,28674066902,17880191,19,399,13.97
05:40:36,35025328712,14009008,19,485,13.89
05:41:15,39274796662,12905058,19,541,13.82
05:41:51,35662724287,13906081,19,493,13.87
05:42:21,30175000533,14727881,19,419,13.94
05:42:55,34040578249,19197900,19,471,13.88
05:43:23,27389450083,15254824,19,382,14.00
05:43:54,31386791157,16685039,19,436,13.94
05:44:48,53588445655,19978078,19,730,13.66
05:45:24,36270630478,13058189,19,501,13.85
05:45:50,26044483144,14100645,19,362,13.96
05:46:23,33311680279,14932089,19,459,13.83
05:46:54,30641893313,14454111,19,422,13.82
05:47:31,37022560247,17988793,19,508,13.77
05:48:05,33833206680,13069639,19,465,13.79
05:48:45,40468383426,13078728,19,554,13.73
05:49:14,28186026208,27362519,19,389,13.86
05:49:45,31060738799,20168257,19,428,13.83
05:50:17,32349622739,23200024,19,446,13.84
05:50:47,30179402059,14923606,19,416,13.83
05:51:16,28689744462,18456497,19,396,13.86
05:51:47,31047742543,21449981,19,428,13.84
05:52:27,39627838655,29031842,19,543,13.75
05:52:57,30059210123,13251490,19,415,13.86
05:53:31,34047406695,20467200,19,469,13.83
05:54:04,32628261582,19016193,19,450,13.85
05:54:38,33924650607,18679304,19,466,13.79
05:55:09,31637755782,13053625,19,436,13.83
05:55:48,38928546352,18331684,19,533,13.74
05:56:21,32492924654,24331461,19,448,13.84
05:56:57,36209084265,17113697,19,498,13.80
05:57:31,34078871776,13716352,19,469,13.81
05:58:18,46841224885,15734984,19,638,13.66
05:58:49,30664688700,22750085,19,424,13.88
05:59:26,37084050063,15173936,19,508,13.74
06:00:01,35250019065,19123668,19,484,13.78
06:00:31,30060453995,13977433,19,414,13.82
06:01:02,31286249731,18178105,19,431,13.83
06:01:34,31258918425,23587886,19,431,13.84
06:02:12,38033917505,13375823,19,521,13.74
06:02:43,31695185171,14649281,19,436,13.81
06:03:22,38820977625,28710534,19,532,13.75
06:03:59,36360552333,18237254,19,500,13.80
06:04:30,31072349648,22835055,19,428,13.83
06:05:00,30696832829,25955258,19,423,13.84
06:05:34,33388821034,16619077,19,460,13.83
06:06:09,34671492876,17375668,19,477,13.81
06:06:47,38808105648,38805273,19,531,13.73
06:07:21,33665666409,15121876,19,463,13.80
06:07:59,37769882084,13044628,19,518,13.76
06:08:33,34209520941,24309001,19,470,13.79
06:09:08,35199653537,20125417,19,485,13.83
06:09:46,37135227288,16734109,19,510,13.78
06:10:19,33314368906,13618117,19,459,13.82
06:10:55,35871574260,26703361,19,492,13.76
06:11:30,34915664205,18082157,19,480,13.80
06:12:03,32801618138,23155725,19,452,13.83
06:12:34,31841047195,21510694,19,439,13.84
06:13:07,32209125355,12872231,19,444,13.84
06:13:37,30109473075,13973755,19,416,13.87
06:14:13,35836339590,15200580,19,492,13.78
06:14:48,35477534910,18229867,19,488,13.80
06:15:23,34818534813,13944996,19,478,13.77
06:15:56,32758356316,17651707,19,452,13.85
06:16:28,32707632994,13107221,19,451,13.84
06:17:03,34318800960,13377753,19,472,13.80
06:17:34,31232954243,16465850,19,430,13.82
06:18:05,30934273427,14138055,19,428,13.89
06:18:36,30861107746,13532162,19,426,13.85
06:19:09,32844535884,16098347,19,452,13.81
06:19:41,32418920972,12591134,19,446,13.80
06:20:12,30453423355,17075896,19,420,13.84
06:20:44,31768642558,14005023,19,437,13.81
06:21:33,49355894052,13606477,19,670,13.61
06:22:09,36037029899,13061583,19,495,13.78
06:22:44,35424201393,13625309,19,486,13.76
06:23:16,31584531928,21486291,19,435,13.83
06:23:53,37191896595,13707892,19,510,13.76
06:24:27,34227330921,14220536,19,471,13.81
06:25:04,36909881757,21422513,19,507,13.78
06:25:35,30199168995,23264506,19,417,13.87
06:26:11,35850606674,30328256,19,493,13.80
06:26:39,28948451557,19898186,19,400,13.87
06:27:11,31917906088,18040496,19,439,13.81
06:27:41,30028466069,13871711,19,414,13.84
06:28:13,31648762483,14047785,19,436,13.83
06:28:38,25266246348,13845894,19,351,13.95
06:29:10,31655221116,16902047,19,437,13.85
06:29:42,31860076627,14951131,19,440,13.86
06:30:14,32002488302,19283255,19,442,13.86
06:30:54,39764327380,14169452,19,544,13.72
06:31:27,33216546437,12010546,19,457,13.81
06:31:58,31178934345,24657112,19,430,13.85
06:32:30,31289327572,14029274,19,431,13.83
06:33:00,30899115543,14548840,19,427,13.87
06:33:33,32720009825,25382435,19,451,13.84
06:34:03,30046894636,13787387,19,415,13.86
06:34:34,30300057414,30074239,19,418,13.85
06:35:06,32334920405,21114547,19,446,13.85
06:35:37,30568828040,21038466,19,422,13.86
06:36:17,40229064212,14331349,19,549,13.69
06:36:52,34674941859,28348725,19,476,13.78
06:37:20,28599568334,14953352,19,395,13.86
06:37:52,31902493145,20804741,19,439,13.81
06:38:30,37621556223,12961766,19,516,13.76
06:38:58,28102173570,14038523,19,389,13.90
06:39:31,33308420361,16498811,19,459,13.83
06:40:01,29848025107,23831055,19,412,13.86
06:40:33,31952656555,15941440,19,441,13.85
06:41:05,32331369089,15634872,19,445,13.81
06:41:39,33419100113,13438436,19,460,13.81
06:42:10,31611373465,14443971,19,436,13.84
06:42:50,39646669663,17101389,19,541,13.69
06:43:22,32133977277,17376946,19,443,13.84
06:43:53,31013198007,14967368,19,428,13.85
06:44:41,47930282954,27997592,19,651,13.62
06:45:10,28222363225,20708098,19,390,13.88
06:45:43,33709871109,13662270,19,464,13.81
06:46:15,31936072975,17183902,19,440,13.83
06:46:48,33025791920,16555832,19,454,13.80
06:47:19,30365699284,17335361,19,418,13.82
06:47:52,33477173711,13032976,19,461,13.82
06:48:33,40337098638,14922320,19,552,13.73
06:49:06,33549367368,14803978,19,462,13.82
06:49:40,34252105507,17228649,19,472,13.83
06:50:14,33498516066,15433805,19,461,13.81
06:50:46,32169387640,14042086,19,443,13.82
06:51:16,30313788141,15483417,19,417,13.81
06:51:46,29020310705,15154462,19,402,13.91
06:52:19,33868050096,12141598,19,466,13.81
06:52:53,34015827813,16790479,19,468,13.80
06:53:23,29070269933,15338687,19,402,13.88
06:53:59,36510968057,15698507,19,502,13.79
06:54:34,34861255786,12920197,19,480,13.82
06:55:11,36536138095,21704579,19,502,13.79
06:55:43,32676933216,14646251,19,450,13.82
06:56:14,31073575311,24088638,19,428,13.83
06:56:47,32889837188,16470080,19,453,13.82
06:57:16,28885747047,22496010,19,400,13.91
06:57:44,27779432808,29468145,19,384,13.89
06:58:14,30450270004,15127548,19,419,13.81
06:58:50,35364708534,18222374,19,486,13.79
06:59:19,29641165771,15913764,19,409,13.85
06:59:57,38006241346,22950676,19,520,13.73
07:00:26,28593497953,23634012,19,394,13.84
07:01:01,35321963147,29156190,19,486,13.81
07:01:31,29413079372,17354233,19,406,13.86
07:02:04,33243346723,14749086,19,456,13.76
07:02:43,38739151772,14699248,19,530,13.73
07:03:11,28455640520,23643250,19,392,13.84
07:03:59,47424776013,14322761,19,644,13.62
07:04:36,37111703510,17532812,19,509,13.76
07:05:14,37869682963,15312530,19,519,13.75
07:05:53,39242690775,14534528,19,537,13.73
07:06:24,31277697643,12998391,19,431,13.83
07:06:57,32561411688,14054671,19,449,13.84
07:07:31,34225177232,13151428,19,470,13.78
07:08:11,40052389873,14401477,19,549,13.75
07:08:45,33587607342,16421960,19,463,13.83
07:09:27,42052964168,15107675,19,574,13.69
07:10:02,34702769463,14538603,19,477,13.79
07:10:32,30205743813,14393306,19,416,13.82
07:11:01,28588276001,13662937,19,396,13.90
07:11:33,31879025985,21546283,19,439,13.83
07:12:06,33365615400,18608655,19,459,13.81
07:12:39,33109769921,12155525,19,455,13.79
07:13:05,26135870172,14893508,19,362,13.91
07:13:37,31607642223,16753402,19,436,13.85
07:14:03,26268319990,12552920,19,365,13.95
07:14:36,33121748748,14488402,19,455,13.79
07:15:10,33573373808,14851529,19,461,13.78
07:15:50,40551756148,17541623,19,555,13.73
07:16:22,31457652648,13378718,19,434,13.85
07:16:58,36013520681,20348988,19,495,13.79
07:17:26,27776088666,17446789,19,384,13.88
07:17:59,33219011700,15869851,19,458,13.84
07:18:33,34305046584,13096911,19,471,13.77
