Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
05:20:04,26470820353,1361867878,21,709,28.78
05:20:29,24542024473,96369100,21,695,28.75
05:20:53,24613434595,93708708,21,697,28.75
05:21:22,28859118677,92133771,21,812,28.53
05:21:44,21994906389,85271476,21,626,28.90
05:22:07,22840587888,96622894,21,652,28.99
05:22:27,19796880050,88479305,21,566,29.07
05:22:50,22732073873,87951365,21,644,28.76
05:23:16,26677642992,94133659,21,751,28.56
05:23:40,23958498956,114538969,21,672,28.49
05:24:04,23709519903,102792149,21,668,28.62
05:24:28,24220808975,98717411,21,681,28.55
05:24:51,22876104706,89692888,21,644,28.58
05:25:16,24407545687,88268471,21,692,28.77
05:25:42,26539978504,87123464,21,740,28.28
05:26:05,22528116418,93134090,21,634,28.58
05:26:29,23698339323,98367806,21,664,28.44
05:26:56,27232807724,89207604,21,761,28.34
05:27:19,23041626148,113378720,21,648,28.58
05:27:45,26185981395,95152681,21,731,28.33
05:28:08,22691667395,104816136,21,643,28.79
05:28:36,28233848302,93030242,21,785,28.19
05:29:01,24893010623,92604324,21,700,28.53
05:29:22,21284913419,100840719,21,602,28.74
05:29:45,22974420218,88762939,21,646,28.54
05:30:08,22548631339,92352849,21,638,28.73
05:30:32,23968285481,98888283,21,671,28.43
05:30:57,25238732642,98292267,21,708,28.47
05:31:22,24875393438,110968930,21,696,28.41
05:31:48,26127159613,117486671,21,730,28.38
05:32:10,21879514428,100045715,21,616,28.61
05:32:38,27397799730,95152445,21,760,28.14
05:33:00,22769082439,94993147,21,639,28.50
05:33:21,20785328743,89099578,21,587,28.69
05:33:59,37952947674,87608613,21,1032,27.53
05:34:26,26754641539,101523868,21,743,28.17
05:34:51,25130407841,87873960,21,703,28.38
05:35:16,24768714999,97895455,21,693,28.41
05:35:40,23845789631,92016674,21,671,28.56
05:36:05,25535912467,92045331,21,720,28.61
05:36:31,25642963615,89752410,21,717,28.37
05:36:59,28334739851,92724182,21,786,28.13
05:37:23,23833453426,101846031,21,670,28.54
05:37:51,27815699008,89338566,21,774,28.22
05:38:18,26632157535,88925945,21,742,28.26
05:38:43,25046755232,93729963,21,701,28.40
05:39:11,27763247969,99812769,21,775,28.32
05:39:35,24390480119,94596585,21,687,28.60
05:39:57,21984479738,99224619,21,626,28.94
05:40:22,25303251266,106983958,21,709,28.45
05:40:47,24994717461,87496054,21,701,28.46
05:41:13,25403422553,101313672,21,717,28.65
05:41:37,23919516242,87426962,21,672,28.51
05:42:02,24723232400,91122841,21,695,28.53
05:42:27,25740843789,91718441,21,718,28.30
05:42:54,26769225922,96539898,21,744,28.20
05:43:20,25626710773,97635136,21,715,28.31
05:43:44,24180323176,94358591,21,676,28.37
05:44:09,25057994925,101829114,21,702,28.44
05:44:35,26065073044,100367796,21,728,28.34
05:44:58,23280454646,85935689,21,654,28.52
05:45:20,21918132008,88290947,21,617,28.59
05:45:44,23271069010,100315303,21,656,28.63
05:46:06,22575318611,98991299,21,635,28.57
05:46:32,25918839277,87254595,21,723,28.30
05:46:58,25464435504,93491921,21,712,28.37
05:47:22,23783410115,100347465,21,671,28.65
05:47:46,24380295526,96813327,21,685,28.52
05:48:08,22105782754,93469112,21,622,28.58
05:48:34,25898549328,86918350,21,724,28.35
05:48:56,21594773962,104715046,21,609,28.65
05:49:22,26549183093,92178011,21,739,28.23
05:49:49,27224545040,87055779,21,756,28.16
05:50:12,22248398527,85530064,21,632,28.84
05:50:35,23530046475,94204115,21,660,28.48
05:51:00,24746723699,92736591,21,694,28.46
05:51:23,22705262582,95292758,21,648,28.99
05:51:47,24236653293,97319708,21,680,28.47
05:52:09,22419371583,105046548,21,631,28.60
05:52:36,26935921775,108770373,21,748,28.18
05:53:01,24257038509,92732616,21,680,28.45
05:53:28,27000099875,87826929,21,753,28.28
05:53:53,25202702046,92109116,21,707,28.47
05:54:21,27727749176,101265112,21,770,28.17
05:54:44,23211185773,113055549,21,651,28.50
05:55:11,26710957338,92333149,21,746,28.33
05:55:32,20933024876,92007155,21,590,28.64
05:56:05,32837178839,95112661,21,905,27.93
05:56:28,23309208639,97804678,21,651,28.36
05:56:52,23993022369,86186844,21,674,28.51
05:57:20,28289583311,85543430,21,786,28.17
05:57:47,26429387316,97549183,21,737,28.30
05:58:12,24979609839,87874723,21,699,28.39
05:58:35,22869953248,96616711,21,640,28.41
05:59:01,26778548444,100305223,21,743,28.15
05:59:29,28025760683,90832556,21,780,28.23
05:59:53,23591914949,94147944,21,666,28.66
06:00:17,24232329626,87263368,21,679,28.43
06:00:42,24668813584,94737157,21,691,28.43
06:01:08,25974981063,92074973,21,725,28.32
06:01:32,23585422669,87513660,21,665,28.61
06:01:56,24569137196,90021303,21,691,28.54
06:02:18,22114136666,89408399,21,622,28.55
06:02:40,21827119392,92833686,21,616,28.66
06:03:10,29706069982,83419709,21,823,28.07
06:03:36,26495911186,100386754,21,739,28.30
06:04:02,25979194098,109813706,21,725,28.34
06:04:30,27760157501,92643486,21,771,28.16
06:05:00,30097740624,104011115,21,832,28.03
06:05:25,24937632375,92547747,21,698,28.40
06:05:53,27429796131,90111355,21,768,28.40
06:06:16,23265434180,86246052,21,656,28.62
06:06:40,24072525311,88223649,21,676,28.49
06:07:03,23144866504,94256047,21,651,28.56
06:07:34,30666621855,96579031,21,847,28.00
06:07:56,21471255764,91582931,21,608,28.77
06:08:22,26031049427,90968009,21,727,28.33
06:08:44,22275189072,87775664,21,626,28.53
06:09:10,25942759633,87550654,21,725,28.35
06:09:39,29359657657,94745764,21,814,28.11
06:10:01,21835535291,91539116,21,617,28.69
06:10:30,29026343427,105840450,21,804,28.10
06:10:54,24174799360,91722643,21,682,28.64
06:11:21,26399934092,103980855,21,734,28.21
06:11:47,26164527228,93492955,21,729,28.27
06:12:10,23043138957,89737554,21,654,28.82
06:12:37,27186098826,87361831,21,757,28.23
06:13:03,25962346775,91119699,21,727,28.42
06:13:27,23875271897,86211994,21,671,28.52
06:13:51,23796539781,83557438,21,673,28.69
06:14:17,25548530728,93023900,21,716,28.44
06:14:37,20506683495,124558175,21,579,28.74
06:15:03,25425174793,102238895,21,711,28.39
06:15:28,25002342018,97236271,21,698,28.33
06:15:52,24385197350,98598252,21,690,28.73
06:16:18,25835631836,88814169,21,724,28.42
06:16:41,23286598128,99043513,21,653,28.47
06:17:09,28153440074,91392460,21,785,28.27
06:17:37,27338707407,94174190,21,770,28.58
06:18:02,25500926633,99013397,21,716,28.50
06:18:26,23515918231,102929751,21,659,28.46
06:18:50,24468262454,96738089,21,687,28.51
06:19:10,20117955951,95557451,21,570,28.80
06:19:37,26574626997,103485022,21,742,28.34
06:20:01,23857710280,97691601,21,671,28.55
06:20:25,23892498247,86794750,21,671,28.50
06:20:54,28616949519,103024367,21,793,28.11
06:21:20,26054361478,92573599,21,725,28.23
06:21:42,22617548392,98143041,21,641,28.79
06:22:08,25450863584,92311988,21,711,28.34
06:22:31,23408649583,92099513,21,654,28.36
06:22:55,24277527722,85104090,21,679,28.38
06:23:21,25547051635,108186257,21,716,28.45
06:23:43,21468564788,92985983,21,610,28.86
06:24:07,24599952287,92689419,21,691,28.50
06:24:34,26957870370,116195813,21,754,28.39
06:24:58,24114872121,92702661,21,681,28.67
06:25:23,24870807776,98033025,21,698,28.48
06:25:47,23712029493,88563543,21,669,28.63
06:26:14,26699016349,90384931,21,744,28.26
06:26:40,26581806104,92898543,21,740,28.24
06:27:06,25445786451,98309952,21,710,28.32
06:27:34,27807005488,93110966,21,775,28.26
06:27:57,22992929911,88622555,21,649,28.65
06:28:24,27595541045,101976184,21,769,28.27
06:28:48,24263668037,92628347,21,679,28.39
06:29:14,25567810558,100529379,21,715,28.38
06:29:40,26318369368,98141051,21,735,28.34
06:30:08,27194270044,98574518,21,760,28.35
06:30:32,24188586076,90026414,21,678,28.43
06:30:53,20651416852,97497108,21,582,28.64
06:31:21,28194482659,88045479,21,787,28.30
06:31:46,25215190192,87366745,21,705,28.37
06:32:13,26935208363,89140176,21,752,28.32
06:32:36,22657226828,94080008,21,640,28.68
06:33:02,25893400986,86139214,21,725,28.40
06:33:26,23999337007,97103996,21,674,28.51
06:33:53,26958420643,89218885,21,751,28.26
06:34:15,22600983617,90301549,21,636,28.57
06:34:40,24350109776,89424683,21,682,28.42
06:35:04,24334460972,90829818,21,681,28.41
06:35:33,28616901220,100435024,21,795,28.18
06:35:58,25360616848,89609933,21,710,28.41
06:36:29,31083833951,96587983,21,863,28.14
06:36:56,26662554434,91337222,21,743,28.27
06:37:18,22474322877,86467545,21,639,28.87
06:37:42,23613947383,90480204,21,667,28.67
06:38:07,25250037257,88376114,21,710,28.53
06:38:31,24156202275,99205896,21,682,28.67
06:38:59,27465709828,87447326,21,764,28.21
06:39:25,26568040278,94662668,21,743,28.38
06:39:49,23194274757,89533247,21,653,28.57
06:40:12,23078945846,93908416,21,651,28.64
06:40:41,28874148010,87372049,21,799,28.06
06:41:04,22784215267,97867286,21,639,28.48
