Time,Temp,CPU_Load,RAM_MB
04:02:59,24.0,11.2,1259
04:03:00,24.0,5.6,1384
04:03:01,27.0,5.1,3104
04:03:03,24.0,30,3362
04:03:04,24.0,30.2,3363
04:03:05,26.0,30,3363
04:03:06,26.0,30.2,3366
04:03:08,27.0,30.4,3367
04:03:09,27.0,30.4,3367
04:03:10,27.0,30.4,3366
04:03:11,27.0,29.4,3363
04:03:13,26.0,30,3360
04:03:14,26.0,29.5,3358
04:03:15,27.0,30.5,3357
04:03:16,27.0,30.2,3356
04:03:18,27.0,29.9,3358
04:03:19,26.0,29.7,3355
04:03:20,27.0,30.3,3353
04:03:21,26.0,30.3,3353
04:03:23,28.0,29.7,3355
04:03:24,27.0,30.3,3356
04:03:25,27.0,30.2,3355
04:03:26,27.0,30.4,3356
04:03:28,28.0,30.3,3356
04:03:29,27.0,30.4,3358
04:03:30,27.0,30.2,3358
04:03:31,27.0,30,3356
04:03:32,26.0,29.8,3357
04:03:34,27.0,29.7,3352
04:03:35,27.0,30.3,3353
04:03:36,27.0,29.9,3352
04:03:37,27.0,30.2,3353
04:03:39,28.0,30.4,3356
04:03:40,28.0,30.4,3353
04:03:41,28.0,30,3353
04:03:42,27.0,30.2,3351
04:03:44,28.0,30.5,3345
04:03:45,27.0,30.2,3348
04:03:46,27.0,30.4,3335
04:03:47,28.0,30,3336
04:03:49,27.0,30.1,3333
04:03:50,28.0,30,3333
04:03:51,28.0,30.3,3334
04:03:52,27.0,30.1,3335
04:03:54,28.0,20.9,3335
04:03:55,27.0,30.4,3336
04:03:56,28.0,30.2,3335
04:03:57,28.0,30.4,3331
04:03:59,28.0,30.4,3334
04:04:00,28.0,30.4,3333
04:04:01,28.0,30,3334
04:04:02,29.0,30.2,3334
04:04:04,28.0,29.9,3337
04:04:05,28.0,29.9,3339
04:04:06,27.0,30.1,3339
04:04:07,28.0,30.4,3340
04:04:09,28.0,30,3336
04:04:10,28.0,30.5,3336
04:04:11,29.0,30.5,3336
04:04:12,28.0,30.4,3337
04:04:13,28.0,30.4,3338
04:04:15,28.0,30.1,3337
04:04:16,28.0,30.5,3339
04:04:17,28.0,30.2,3336
04:04:18,27.0,30.5,3339
04:04:20,28.0,30.5,3340
04:04:21,28.0,30.3,3341
04:04:22,28.0,30.4,3342
04:04:23,28.0,30.2,3345
04:04:25,29.0,30.4,3337
04:04:26,28.0,30.7,3339
04:04:27,29.0,30.4,3338
04:04:28,29.0,30,3340
04:04:30,28.0,30.3,3340
04:04:31,28.0,30.4,3339
04:04:32,28.0,30,3338
04:04:33,28.0,30.3,3339
04:04:35,28.0,30.2,3342
04:04:36,28.0,30,3342
04:04:37,28.0,30.5,3358
04:04:38,29.0,30.2,3354
04:04:40,28.0,30.2,3350
04:04:41,28.0,29.8,3345
04:04:42,28.0,29.9,3345
04:04:43,28.0,30.2,3346
04:04:45,28.0,30.4,3346
04:04:46,28.0,30,3343
04:04:47,28.0,29.9,3340
04:04:48,28.0,30.2,3342
04:04:50,28.0,29.7,3343
04:04:51,28.0,29.7,3344
04:04:52,28.0,30.3,3344
04:04:53,28.0,30.3,3342
04:04:54,29.0,30.4,3337
04:04:56,28.0,30.4,3342
04:04:57,29.0,29.9,3341
04:04:58,29.0,29.9,3342
04:04:59,28.0,30.4,3342
04:05:01,28.0,31.1,3342
04:05:02,29.0,30.3,3343
04:05:03,29.0,30.2,3342
04:05:04,28.0,30.2,3341
04:05:06,28.0,30.4,3341
04:05:07,28.0,30.4,3341
04:05:08,28.0,29.6,3342
04:05:09,29.0,30.3,3341
04:05:11,29.0,30,3342
04:05:12,28.0,29.9,3341
04:05:13,29.0,30.6,3335
04:05:14,28.0,29.9,3335
04:05:16,29.0,30.4,3339
04:05:17,29.0,29.8,3339
04:05:18,28.0,30.1,3339
04:05:19,28.0,29.7,3338
