Time,Temp,CPU_Load,RAM_MB
15:28:05,26.0,59.4,1656
15:28:06,27.0,7.9,1715
15:28:08,26.0,7.8,3393
15:28:09,26.0,33.5,3687
15:28:10,27.0,33.3,3694
15:28:11,26.0,33.5,3701515:28:12,26.0,33.2,3691515:28:14,27.0,33.2,3681515:28:15,27.0,33.5,3671515:28:16,27.0,32.7,3671515:28:17,26.0,33.2,3661515:28:19,27.0,33.5,3661515:28:20,27.0,33.5,315:215:28:21,28.0,33.8,315:115:28:22,28.0,33.6,315:215:28:24,27.0,33,3671515:28:25,27.0,33.8,3671515:28:26,28.0,33.8,3671515:28:27,28.0,33.3,3671515:28:29,28.0,33.9,3651515:28:30,27.0,33.3,3641515:28:31,28.0,32.7,3641515:28:32,29.0,33.6,3641515:28:34,27.0,33.2,315:28:35,27.0,33.4,3619
15:28:36,28.0,33.8,3621
1515:15:28:37,29.0,33.8,1515:28:39,29.0,33.5,3611515:28:40,28.0,33.2,3611515:28:41,29.0,33.9,3601515:28:42,27.0,32.7,3601515:28:44,28.0,33.2,3611515:28:45,28.0,33.7,3151515:28:46,28.0,33,3611515:28:47,28.0,33.3,3621515:28:49,28.0,33.4,3611515:28:50,28.0,32.9,3621515:28:51,28.0,33.7,315:215:28:52,29.0,33.5,315:215:28:54,28.0,33.1,315:215:28:55,29.0,33.3,3151515:28:56,29.0,33.2,3151515:15:28:57,27.0,33.1515:2815:28:59,28.0,33.15:215:15:29:00,28.0,31515:215:15:29:01,28.0,315:29:15:15:29:02,28.0,315:29:115:29:04,29.0,33.15:29:015:29:05,28.0,33.15:29:015:29:06,28.0,33.15:29:015:29:07,28.0,31515:29:09,28.0,33.9,3481515:29:10,28.0,33.8,3481515:29:11,29.0,33.4,3491515:29:12,2815:29:12,1515:29:14,29.015:29:14,151515:29:15,29.0,33.6,31515:29:16,28.0,33.4,3491515:29:17,28.0,33.4,3491515:29:19,28.0,33.4,315:215:29:20,29.0,33.5,315:215:29:21,29.0,33.2,315:215:29:22,29.0,33.8,315:215:29:24,28.0,33.8,315:215:29:25,29.0,33.4,315:215:29:26,29.0,33.8,315:215:29:27,29.0,33.7,315:215:29:29,29.0,33.2,315:215:29:30,29.0,33,315:215:29:315:29:31,28.015:215:29:315:29:32,28.015:215:215:29:34,29.0,3315:215:215:29:35,15:29:315:215:215:29:36,29.0,3315:215:215:29:37,29.0,3315:21515:215:29:38,29.0,15:21515:29:40,29.0,33.615:21515:29:41,29.0,33.615:215:29:15:29:42,29.0,15:215151515:29:43,28.0,15:21515:29:45,29.0,33.415:2151515:29:46,28.0,3315:2151515:29:47,29.0,3315:21515:29:48,29.0,33.515:21515:29:50,15:29:50,15:21515:29:51,15:29:51,15:21515:29:52,15:29:52,15:21515:29:53,15:29:53,15:2151515:29:515:29:55,15:21515:29:515:29:56,2915:21515:29:57,28.0,3315:29:1515:215:15:29:58,15:30:1515:30:00,29.0,3315:30:1515:30:01,29.0,3315:30:1515:30:02,29.0,3315:30:15:30:03,29.0,33.815:30:15:315:30:05,29.0,15:31515:315:30:06,29.0,15:31515:315:30:07,29.0,15:3151515:30:08,29.0,15:30:151515:30:10,29.0,15:30:15151515:30:11,29.15:30:15151515:30:12,31.15:30:1515:30:13,29.0,3315:30:1515:30:15,30.0,3315:30:151515:30:16,29.0,15:30:15:315:30:17,29.0,15:30:15:315:30:18,29.0,15:30:15:315:30:20,29.0,15:31515:315:30:21,29.0,15:31515:315:30:22,29.0,15:31515:315:30:23,30.0,15:31515:315:30:25,29.0,15:31515:30:26,29.0,33.515:315:30:27,30.015:30:215:315:30:15:15:315:30:215:31515:30:315:315:30:315:315:30:31,29.015:30:315:315:30:32,29.0,33.6,315:315:30:15:30:33,29.0,15:315:30:35,30.0,33.9,315:315:30:36,29.0,33.6,315:315:30:15:30:315:30:31515:30:38,29.0,315:30:31515:30:40,29.0,33.5,3501515:315:30:41,29.0,3415:315:315:30:42,29.0,3315:315:315:315:30:43,30.15:315:315:315:15:30:45,15:315:30:46,2915:30:415:30:15:30:47,29.0,34.115:30:15:315:315:30:48,215:30:1515:30:50,29.0,3315:30:1515:30:51,29.0,3315:30:1515:30:52,29.0,3415:315:315:30:15:15:30:515:315:315:30:15:30:55,215:315:315:30:15:30:5615:30:15:315:30:15:30:5715:30:15:315:30:58,29.15:31:0015:31515:31:00,215:31:01151515:31:01,29.15:31:15:31:15:31:02,30.15:31:15:315:31:03,29.0,15:31:15:31:05,29.0,315:15:315:31:06,29.0,32.15:15:315:31:07,29.0,33.15:15:315:31:08,2915:31:015:31:15:315:31:10,29.0,15:315:31:15:31:11,29.0,15:315:31:15:31:12,29.011515:31:13,29.0,33.5,315:315:31:15,30.0,33.6,315:315:31:16,30.0,33.4,315:315:31:17,29.0,33.8,315:315:31:18,29.0,33.7,315:315:31:2015:31:20,29.15:315:31:2115:31:21,29.15:315:31:2215:31:22,30.15:315:31:23,29.0,33.9,315:315:31:25,29.0,33.9,315:315:31:26,29.0,33.2,315:315:31:2715:31:27,29.15:315:31:2815:31:28,29.15:315:31:3015:31:30,29.15:315:31:3115:31:31,29.1515:31:32,215:31:32,29.1515:31:33,215115:31:33,1515:315:31:15115:31:35,1515:315:31:15115:31:36,15:31:37,29.0,315:31:37,15:31:38,29.0,33.8,3506
15:31:40,29.0,315:31:40,15:31:15:31:41115:31:41,15:31:42,29.0,34.7,3515115:31:15:31:15:31:43,21515:31:45,215:315:31:451515:315:31:15:315:31:411515:315:31:15:15:31:47,151515:31:4815:315:31:48151515:31:5015:315:31:15:31515:31:5115:31:51,215:31515:31:5215:315:31:15:31515:31:15:31:53,29.15:31515:31:15:31:15:31:15:31515:315:31:5615:31:15:31515:31:57,29.0,34.715:31515:31:58,31.0,33.915:3151515:32:00,29.0,3315:3151515:32:01,30.0,3415:3151515:32:02,215:32:15:3151515:32:03,15:32:015:3151515:32:05,29.0,3415:3151515:32:06,115:32:1515:31515:32:07,15:32:01515:31515:32:08,15:32:01515:31515:32:10,15:32:11515:31515:32:11,15:32:11515:31515:32:12,15:32:11515:31515:32:13,29.0,3315:32:1515:32:15,15:32:115:315:32:16,29.0,34.15:15:315:315:32:17,29.0,3415:315:32:18,30.0,34,3531515:32:20,29.0,34.1,3541515:32:21,29.0,34.4,3531515:32:15:32:22,2915:321515:315:32:23,29.015:321515:32:24,29.0,31515:321515:32:26,28.0,34.5,315:315:315:32:27,29.0,3315:315:32:28,29.0,34.1,315:315:32:29,29.0,34.4,315:31515:32:31,29.0,34.515:31515:32:32,29.0,3415:32:1515:32:33,29.15:315:32:15:32:34,30.0,15:315:32:15:32:36,30.0,15:315:31515:32:37,29.0,1515:32:1515:32:38,29.0,1515:32:1515:32:39,29.0,1515:32:1515:32:41,30.0,1515:315:32:42,30.0,315:3215:315:32:43,29.0,33.9,315:315:315:32:45,30.0,3315:315:32:46,29.0,33.4,315:315:32:47,31.0,33.3,315:315:32:48,29.0,33.5,315:315:32:50,29.0,331515:32:15:32:51,29.0,341515:32:15:32:52,31.0,331515:32:15:32:53,29.0,3315:32:5415:32:55,29.0,3315:32:5615:32:56,31.0,1515:32:5715:32:57,29.0,1515:32:5815:32:58,2915:1515:32:5915:32:59,3015:1515:33:0115:33:01,2915:3315:33:0215:33:02,2915:3315:33:15:33:03,29.015:3315:33:15:33:04,30.015:1515:33:15:33:06,29.015:3315:33:15:33:07,29.015:3315:33:15:33:08,30.015:1515:33:15:33:09,30.015:1515:33:15:33:11,2915:331515:33:15:33:12,29.0,331515:33:15:33:13,30.0,3315:33:1415:33:14,29.0,3315:33:1615:33:16,29.0,3315:33:1715:33:17,29.0,3315:33:1815:33:18,29.0,3415:33:1915:33:19,30.0,3315:33:2115:33:21,29.0,3415:33:1515:33:22,29.0,3415:33:1515:33:23,29.0,3115:33:1515:33:24,29.0,3115:33:15:33:26,2915:3315:33:2715:33:27,2915:3315:33:2815:33:28,29.0,3415:33:2915:33:29,29.0,3415:33:1515:33:31,29.0,15:33:3215:33:32,29.0,3315:33:3315:33:33,29.0,15:33:34,215:33:34,29.0,15:33:36,215:33:36,29.0,15:33:37,215:33:37,29.0,15:33:38,215:33:38,29.0,15:33:39,215:33:39,29.0,15:33:41,215:33:41,29.0,15:33:42,215:33:42,29.0,15:33:43,215:33:43,29.0,15:33:44,215:33:44,29.0,15:33:46,215:33:46,29.0,15:33:47,315:33:47,30.15:33:48,29.15:33:48,15:15:33:49,29.15:33:49,29.15:33:51,29.15:33:51,29.15:33:52,29.15:33:515:3315:33:53,29.15:33:53,29.15:33:54,29.15:3315:33:515:33:55,215:3315:33:56,15:33:57,21515:15:33:57,15:33:58,215:3315:33:515:33:59,29.15:3315:33:515:34:00,29.15:3415:34:015:34:02,29.15:34:02,29.15:34:03,29.15:34:03,29.15:34:04,30.15:34:04,30.15:34:05,29.15:34:06,215:34:07,29.0,15:34:0715:34:08,29.0,3315:34:0815:34:09,29.0,3315:34:0915:34:10,29.0,3515:34:1115:34:12,29.0,3515:34:1215:34:13,29.0,3615:34:1315:34:14,29.0,3715:34:15:34:15,29.0,36.915:34:15:34:17,29.0,34.615:34:15:34:18,29.0,36.315:34:15:34:19,29.0,36.215:34:15:34:20,29.0,37.315:34:15:34:22,29.0,37.315:34:15:34:23,29.0,36.715:34:15:34:24,30.0,38.115:34:15:34:25,29.0,38.315:34115:34:27,30.0,37.415:34115:34:28,29.0,37.115:34115:34:29,29.0,37.515:34115:34:30,30.0,37.815:34:15:34:32,29.0,38.415:34115:34:33,29.0,40.615:34115:34:34,29.0,4015:34:3115:34:35,29.0,4215:34:3115:34:37,29.0,4015:34:3715:34:38,29.0,4115:34:3815:34:39,29.0,15:34:39,215:34:40,29.0,15:34:41,215:34:42,29.0,15:34:42,215:34:43,29.0,15:34:43,215:34:44,29.0,15:34:44,215:34:45,30.0,15:34:46,315:34:47,29.0,15:34:415:15:34:48,29.0,15:34:4115:34:49,29.0,3915:34:4115:34:50,29.0,4115:34:5115:34:52,29.0,1515:34:5215:34:53,30.0,1515:3415:15:34:54,29.0,1515:3415:15:34:55,29.0,1515:34:5615:34:57,29.0,15:34:515:15:34:58,29.1515:34:58,215:34:59,29.1515:34:59,215:35:00,29.1515:35:01,215:35:02,215:315:15:35:015:35:03,315:315:15:35:015:35:04,215:315:15:35:015:35:05,315:315:15:35:015:35:07,215:315:15:35:015:35:08,215:315:15:35:015:35:09,215:3115:35:09,15:35:10,215:3115:35:11,15:35:12,215:315:35:12,215:35:1315:35:15:35:13,215:35:1415:35:15:35:14,215:35:1515:35:115:35:16,15:35:1715:35:115:35:17,15:35:1815:3515:35:18,2915:35:1915:3515:35:19,2915:35:20,29.0115:35:21,215:35:22,29.0115:35:22,215:35:23,29.0115:35:23,215:35:24,29.0115:35:2415:35:25,29.0,3115:35:2615:35:27,215:15:15:35:2715:35:2815:3515:15:35:2815:35:2915:3515:15:35:2915:35:3015:3515:15:35:3115:35:3215:3515:15:35:3215:35:3315:3515:15:35:3315:35:3415:3515:15:35:15:35:35,215:3515:15:35:15:35:37,215:15:15:35:15:35:38,28.115:3515:35:15:35:39,29.115:3515:35:15:35:40,29.115:3515:35:15:35:42,3015:35:415:315:35:43,29.015:35:41515:35:44,28.015:35:44,1515:35:45,29.015:35:45,1515:35:47,29.015:35:47,1515:35:48,30.015:35:48,3015:35:49,30.015:35:49,3015:35:50,29.0,36.1,3566
15:35:52,29.0,34.5,3564
