Time,Temp,CPU_Load,RAM_MB
19:22:35,26.0,34.6,1926
19:22:36,24.0,8.4,3742
19:22:37,25.0,7.9,5569
19:22:38,26.0,33.9,6237
19:22:39,27.0,34.3,6231919:22:41,27.0,34.9,6231919:22:42,27.0,34.7,6221919:22:43,27.0,34.4,62219:22:44,27.0,35,6222
19:22:46,26.0,34,6221
19:22:47,28.0,33.9,6219
19:22:48,27.0,34.1,6214
19:22:19:22:49,27.0,34.119:22:19:22:51,28.0,33.919:22:19:22:52,26.0,34.319:22:19:22:53,26.0,34.319:22:19:22:54,27.0,33.719:22:19:22:56,27.0,33.219:22:19:22:57,28.0,33.419:22:19:22:58,28.0,33.119:22:19:22:59,28.0,33.719:23:19:23:01,28.0,33,619:219:23:02,28.0,33.419:23:19:23:03,27.0,33.319:23:19:23:04,28.0,33.619:23:19:23:06,28.0,33,619:23:07,28.0,33.2,6197
19:23:08,27.0,33.1,6197
19:219:23:09,27.0,33.2,619:23:11,28.0,33.2,6194
19:23:12,28.0,33.3,6195
19:23:13,28.0,33.2,6189
19:23:14,28.0,33.8,6190
19:23:16,28.0,33.3,6187
19:23:17,28.0,33.3,6189
19:23:18,28.0,33.4,6194
19:23:19,29.0,33.4,6196
19:23:21,28.0,33.4,6184
19:23:22,29.0,33.4,6185
19:23:23,28.0,33.8,6190
19:23:24,28.0,33.5,6189
19:23:26,29.0,33.6,6188
19:23:27,29.0,33.3,6181919:23:28,29.0,33.5,61819:23:29,28.0,33.3,6179
19:23:31,29.0,33.4,6179
1919:23:32,29.0,34.5,6181919:23:33,29.0,34.6,619:219:23:34,29.0,35.3,619:219:23:36,28.0,34.3,619:219:23:37,29.0,34.3,619:219:23:38,28.0,33.519:23:19:23:39,29.0,33.419:23:19:23:41,29.0,33.419:23:19:23:42,29.0,33.419:23:43,29.0,33.6,6184
19:23:19:23:44,29.0,33.419:23:46,29.0,33.7,6179
19:23:19:23:47,28.0,32.119:23:19:23:48,29.0,34.219:23:49,28.0,34.1,6182
19:21919:23:51,29.0,34.319:219:23:52,29.0,35.2,619:219:23:53,29.0,35.4,619:23:19:23:54,29.0,3519:219:23:56,28.0,35.2,619:23:57,29.0,34.8,6188
19:219:23:58,29.0,34.8,619:219:23:59,29.0,35,619:219:24:01,29.0,35.419:24:19:24:02,29.0,35.419:24:03,29.0,35.5,6181
19:24:04,29.0,35,6186
19:24:0619:24:06,28.0,3419:24:07,29.0,34.9,6174
19:24:08,29.0,34.9,6178
19:24:09,29.0,33.7,6175
19:24:11,29.0,34.3,6181
19:24:12,29.0,34.7,6179
19:24:13,31.0,34.4,6183
19:24:14,29.0,34.4,6192
19:24:16,29.0,34.5,6186
19:24:17,29.0,34,6180
19:24:18,219:24:18,29.0,19:24:19,219:24:19,29.0,19:24:2119:24:21,29.0,3419:24:2219:24:22,29.0,3319:24:2319:24:23,29.0,3319:24:24,29.0,33.7,6187
