Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
09:25:44,34603584451,2179689923,21,690,21.79
09:26:36,51497845159,181639064,21,1071,21.14
09:27:07,30918136370,169671333,21,671,22.13
09:27:37,30278436883,170395602,21,657,22.12
09:28:14,37003029739,172890037,21,788,21.69
09:28:47,32537617697,173518365,21,707,22.14
09:29:15,28404605247,172285289,21,619,22.23
09:29:46,30307669820,165329825,21,655,22.03
09:30:19,32804834564,169481439,21,703,21.83
09:30:54,35319951183,172494323,21,737,21.25
09:31:27,33077447214,168545837,21,694,21.37
09:31:59,31935608714,168888700,21,671,21.41
09:32:34,35130315870,174508382,21,734,21.27
09:33:12,37421429011,171126785,21,779,21.19
09:33:52,39888670386,179850877,21,832,21.22
09:34:27,35092060962,172786898,21,736,21.35
09:35:01,34071835504,180165143,21,714,21.35
09:35:35,33825401972,173167077,21,717,21.59
09:36:13,37953151671,170698231,21,798,21.39
09:36:43,30577212653,168962977,21,644,21.47
09:37:16,32113891438,165221277,21,676,21.45
09:37:48,32401697223,177752084,21,697,21.92
09:38:24,36223752560,174300375,21,753,21.16
09:39:00,35072311666,166422641,21,724,21.02
09:39:41,40945188124,175580369,21,825,20.48
09:40:14,33541724345,168575932,21,681,20.66
09:40:49,34367223703,170897800,21,699,20.70
09:41:22,33253795562,174124598,21,689,21.10
09:41:53,31517026000,178050881,21,649,20.98
09:42:28,34229266402,170894971,21,695,20.67
09:43:00,31772149160,176080023,21,647,20.75
09:43:34,34417797514,173050813,21,700,20.71
09:44:09,35019847672,174098133,21,714,20.75
09:44:48,38856873475,173255187,21,783,20.50
09:45:21,32656937612,169289239,21,660,20.57
09:45:54,33143851207,169356146,21,674,20.70
09:46:30,36277593335,173288549,21,734,20.59
09:47:02,32055878361,174351165,21,662,21.04
09:47:41,38239995321,176550582,21,781,20.78
09:48:16,35571865146,172861479,21,718,20.54
09:48:52,35776571276,183282228,21,725,20.63
09:49:25,33207799653,175176410,21,677,20.76
09:49:59,33407375655,168657618,21,680,20.72
09:50:28,28915822969,179104863,21,595,20.98
09:50:58,29900035842,180959985,21,612,20.86
09:51:37,38776769418,174660761,21,785,20.59
09:52:11,34141953101,174348763,21,700,20.87
09:52:45,33942988155,177925336,21,691,20.73
09:53:21,36473606135,176594072,21,745,20.79
09:53:52,30334723815,177575191,21,622,20.90
09:54:27,34789898584,167015187,21,702,20.53
09:54:56,29641215318,214490150,21,622,21.42
09:55:35,38998912092,176045712,21,790,20.61
09:56:07,31758348196,176111625,21,657,21.08
09:56:44,36439812064,175203561,21,735,20.53
09:57:15,31527007103,172365439,21,650,21.00
09:57:48,32901269462,175570242,21,680,21.05
09:58:24,35397779505,171250664,21,723,20.79
09:59:00,36477564912,177294010,21,748,20.87
09:59:36,35502914841,170921469,21,721,20.67
10:00:14,38453702452,174397782,21,774,20.48
10:00:45,30326938807,172918072,21,619,20.79
10:01:16,31500688688,175058361,21,647,20.93
10:01:47,30529182774,173591943,21,629,21.00
10:02:22,35700194066,170950561,21,721,20.55
10:02:58,35974515727,167291400,21,742,20.99
10:03:28,29785939712,171089755,21,613,20.97
10:04:00,31476545444,165533350,21,644,20.84
10:04:33,33653079026,166210147,21,685,20.72
10:05:09,35506423728,168207779,21,723,20.72
10:05:42,33284959305,178792145,21,679,20.78
10:06:15,32178679341,167569234,21,658,20.82
10:06:45,30717963665,178963717,21,627,20.80
10:07:21,35902637894,172679799,21,731,20.72
10:07:58,36384144359,171741446,21,736,20.58
10:08:32,34110739580,168348540,21,698,20.83
10:09:06,33820419663,168387588,21,693,20.86
10:09:41,34959628498,175408361,21,712,20.73
10:10:14,33445403743,170858787,21,680,20.70
10:10:46,32036263329,176259127,21,653,20.76
10:11:16,29195729660,172847013,21,606,21.16
10:11:48,32459195327,164638483,21,660,20.70
10:12:23,35053848511,173174429,21,709,20.59
10:13:00,37059670584,173168685,21,749,20.57
10:13:32,31836553301,177187645,21,652,20.87
10:14:06,34083109340,172129839,21,695,20.77
10:14:39,32964720200,180726580,21,671,20.73
10:15:12,32721636559,163794817,21,666,20.72
10:15:43,30298530444,171386549,21,616,20.71
10:16:16,32899389807,176942399,21,673,20.84
10:16:45,29490705019,176467750,21,605,20.91
10:17:20,34632729339,177720532,21,704,20.69
10:18:02,41701583954,177651093,21,831,20.26
10:18:31,29790730664,185466605,21,607,20.78
10:19:08,36743302916,174425630,21,738,20.44
10:19:40,32223586839,173907098,21,657,20.77
10:20:14,33895314809,177545898,21,693,20.82
10:20:48,33365053679,173165068,21,681,20.79
10:21:27,39443027928,174849579,21,791,20.39
10:22:07,39542343049,179106918,21,793,20.40
10:22:45,38073426732,169984185,21,769,20.55
10:23:13,28293547492,185543273,21,589,21.24
10:23:50,36981354471,179232738,21,750,20.64
10:24:20,29307271485,171273508,21,598,20.80
10:24:53,32709819106,175000884,21,667,20.77
10:25:28,35642759090,170896530,21,732,20.90
