Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
15:03:44,18634063132,5404237204,20,333,26.19
15:04:02,18169076575,124086028,20,459,25.67
15:04:26,23651877067,99519833,20,587,25.12
15:04:46,20153789167,104415568,20,502,25.25
15:05:02,16222182740,112742629,20,415,26.00
15:05:23,20384500158,101634386,20,508,25.26
15:05:38,14791860869,104665645,20,379,26.06
15:05:53,14858978579,104952148,20,380,26.00
15:06:07,14381353016,97353440,20,366,25.88
15:06:26,18671793301,122427070,20,468,25.44
15:06:41,15132317201,107644542,20,385,25.85
15:06:55,14517760335,95112923,20,366,25.61
15:07:14,18710649472,103042071,20,465,25.21
15:07:34,19218678580,100703169,20,478,25.22
15:07:43,9099157364,100892344,20,238,26.77
15:08:02,19045894840,111363526,20,463,24.66
15:08:18,16156277082,95182347,20,388,24.38
15:08:42,23531189262,99294294,20,557,23.95
15:08:58,16417518794,101099124,20,397,24.55
15:09:23,24550246360,103585592,20,584,24.07
15:09:35,12421965298,121780657,20,311,25.55
15:09:54,18546366578,98741772,20,458,25.04
15:10:14,19918721244,124672444,20,478,24.35
15:10:35,21151227833,109687230,20,498,23.86
15:10:53,18086964368,117751118,20,435,24.41
15:11:26,33233448237,112768592,20,779,23.69
15:11:41,14551254835,104486104,20,351,24.52
15:11:53,11734130915,111628756,20,290,25.19
15:12:03,10621184776,100389234,20,261,25.09
15:12:27,23906348986,105229537,20,572,24.22
15:12:44,16542934379,102158267,20,401,24.61
15:13:03,19323092727,99878324,20,464,24.34
15:13:22,18358319305,102291671,20,445,24.58
15:13:36,14487704205,113920925,20,357,25.07
15:13:54,18148717970,99204228,20,438,24.48
15:14:15,20441728290,116497625,20,499,24.76
15:14:27,11765915503,100836142,20,290,25.12
15:14:50,22981065395,119666431,20,550,24.23
15:15:04,14163016839,95155834,20,350,25.12
15:15:21,17029938503,106274564,20,421,25.10
15:15:39,17525217851,101152928,20,427,24.72
15:15:53,14778076996,104842800,20,363,24.96
15:16:10,15988963294,101905505,20,388,24.65
15:16:26,15951937895,118800085,20,387,24.66
15:16:40,14255392722,102785964,20,353,25.17
15:16:58,18291785509,107117140,20,445,24.68
15:17:16,17883841490,99793989,20,435,24.67
15:17:35,18688591485,111076703,20,455,24.70
15:17:49,14295374638,109470705,20,357,25.40
15:18:05,15871835780,100880071,20,390,24.95
15:18:23,17826740494,108830081,20,438,24.94
15:18:40,17431319314,101170221,20,424,24.66
15:18:54,13227098512,118624612,20,327,25.19
15:19:13,19412601770,116091304,20,470,24.56
15:19:25,11921101067,106047352,20,297,25.40
15:19:40,15012866292,104313847,20,366,24.77
15:19:52,11364759368,101456385,20,279,25.04
15:20:13,21381599208,114659956,20,512,24.27
15:20:29,15723101477,111483346,20,380,24.56
15:20:48,18813870037,119148954,20,455,24.55
15:21:05,16849639572,106263811,20,404,24.35
15:21:25,20625312617,100457320,20,495,24.31
15:21:47,21633909389,108710445,20,517,24.21
15:22:10,22836414703,108167250,20,539,23.90
15:22:23,13319837701,108908229,20,326,24.92
15:22:45,21925949718,103608795,20,528,24.38
15:23:05,19585810081,110134595,20,472,24.44
15:23:30,24782816798,103496165,20,599,24.46
15:23:44,13987033506,104097816,20,341,24.80
15:24:06,22437407026,113057382,20,531,23.97
15:24:22,16144654899,105031313,20,390,24.54
15:24:39,16299110885,119397991,20,397,24.76
15:24:53,14547216982,103097830,20,358,25.01
15:25:08,14138487434,108080990,20,346,24.89
15:25:31,23320297684,105453761,20,557,24.18
15:25:54,22600012491,113600629,20,542,24.29
15:26:08,13835045460,102241145,20,340,25.00
15:26:28,20143245965,115467351,20,485,24.42
15:26:50,22536453580,100807636,20,546,24.53
