Time,Temp,CPU_Load,RAM_MB
11:36:23,27.0,9,1436
11:36:24,26.0,5.7,2596
11:36:25,26.0,5.6,4984
11:36:26,29.0,30.5,6795
11:36:28,29.0,29.9,6796
11:36:29,29.0,30.2,6800
11:36:30,30.0,30.6,6796
11:36:31,31.0,30.3,6800
11:36:32,31.0,30.5,6802
11:36:34,31.0,29.9,6800
11:36:35,31.0,30.5,6798
11:36:36,31.0,30.5,6794
11:36:37,31.0,30.2,6791
11:36:39,31.0,30.1,6791
11:36:40,31.0,30.6,6789
11:36:41,31.0,30.5,6785
11:36:42,31.0,30.2,6784
11:36:44,31.0,30.1,6782
11:36:45,32.0,30.2,6779
11:36:46,32.0,29.9,6779
11:36:47,31.0,30.2,6780
11:36:49,32.0,30.2,6779
11:36:50,32.0,30.3,6778
11:36:51,31.0,30.2,6779
11:36:52,32.0,29.9,6777
11:36:53,32.0,30.6,6777
11:36:55,32.0,30.5,6773
11:36:56,32.0,30.6,6775
11:36:57,32.0,30.4,6773
11:36:58,33.0,30.6,6776
11:37:00,33.0,29.9,6775
11:37:01,33.0,30.3,6777
11:37:02,33.0,30.6,6772
11:37:03,33.0,29.8,6772
11:37:05,33.0,30.5,6772
11:37:06,33.0,30.6,6771
11:37:07,34.0,30.8,6769
11:37:08,33.0,30.5,6771
11:37:09,33.0,30.6,6773
11:37:11,33.0,30.6,6773
11:37:12,34.0,30.6,6768
11:37:13,34.0,30.5,6768
11:37:14,34.0,30.2,6769
11:37:16,34.0,29.8,6768
11:37:17,32.0,30.5,6769
11:37:18,34.0,30.3,6774
11:37:19,34.0,30.5,6773
11:37:21,33.0,30.1,6777
11:37:22,34.0,30.5,6774
11:37:23,34.0,30.1,6771
11:37:24,34.0,30.7,6765
11:37:26,34.0,30.6,6766
11:37:27,34.0,30.5,6767
11:37:28,34.0,30.2,6766
11:37:29,35.0,30.3,6766
11:37:30,34.0,30.2,6768
11:37:32,36.0,30.3,6770
11:37:33,34.0,30.5,6772
11:37:34,34.0,30.5,6774
11:37:35,34.0,30.5,6778
11:37:37,34.0,30.3,6778
11:37:38,34.0,30.5,6777
11:37:39,34.0,29.9,6779
11:37:40,36.0,30.3,6779
11:37:42,35.0,30.5,6781
11:37:43,34.0,30.5,6783
11:37:44,34.0,29.9,6781
11:37:45,34.0,30.2,6783
11:37:46,34.0,30.3,6784
11:37:48,36.0,30.6,6779
11:37:49,34.0,30.1,6777
11:37:50,35.0,30.4,6778
11:37:51,36.0,30.1,6772
11:37:53,34.0,30.6,6774
11:37:54,36.0,30.4,6773
11:37:55,34.0,30.1,6773
11:37:56,34.0,30.2,6775
11:37:58,34.0,30.5,6776
11:37:59,34.0,30.5,6776
11:38:00,35.0,30,6775
11:38:01,35.0,30.6,6772
11:38:02,35.0,30.8,6771
11:38:04,34.0,30.5,6766
11:38:05,35.0,30.3,6767
11:38:06,35.0,30.1,6767
11:38:07,36.0,30.6,6768
11:38:09,34.0,30.6,6769
11:38:10,35.0,30.3,6772
11:38:11,35.0,30.6,6773
11:38:12,35.0,29.9,6774
11:38:14,36.0,30.5,6774
11:38:15,35.0,30.6,6776
11:38:16,35.0,30.2,6775
11:38:17,34.0,30.5,6770
11:38:19,36.0,30.5,6768
11:38:20,36.0,30.6,6767
11:38:21,36.0,30.6,6768
11:38:22,35.0,30.8,6769
11:38:23,36.0,30.5,6770
11:38:25,36.0,29.8,6773
11:38:26,36.0,30.1,6772
11:38:27,36.0,30.6,6772
11:38:28,35.0,30.6,6772
11:38:30,35.0,30.5,6772
11:38:31,37.0,30.3,6772
11:38:32,35.0,30.1,6771
11:38:33,36.0,29.8,6774
11:38:35,35.0,29.9,6775
11:38:36,35.0,29.8,6776
11:38:37,36.0,30.6,6777
11:38:38,36.0,30.2,6778
11:38:39,36.0,30.2,6782
11:38:41,35.0,30.3,6783
11:38:42,36.0,30.5,6779
11:38:43,35.0,30.3,6777
11:38:44,35.0,30.3,6780
11:38:46,35.0,30.3,6779
11:38:47,35.0,30.6,6779
11:38:48,35.0,30.2,6781
11:38:49,37.0,30.2,6782
11:38:51,36.0,30.6,6781
11:38:52,34.0,30.2,6783
11:38:53,36.0,30.3,6784
11:38:54,35.0,30.5,6785
11:38:55,36.0,30.2,6783
11:38:57,35.0,30.6,6784
11:38:58,35.0,30.3,6788
11:38:59,36.0,30.5,6786
11:39:00,36.0,30,6784
11:39:02,34.0,30.3,6787
11:39:03,34.0,30.3,6787
11:39:04,36.0,29.9,6787
11:39:05,34.0,30.2,6787
11:39:07,35.0,30.6,6787
11:39:08,34.0,30.1,6790
11:39:09,37.0,30.4,6790
11:39:10,35.0,30.2,6792
11:39:12,35.0,30.6,6793
11:39:13,36.0,30.1,6793
11:39:14,35.0,30.4,6787
11:39:15,36.0,30,6785
11:39:16,35.0,30.5,6783
11:39:18,36.0,30.1,6781
11:39:19,36.0,30,6779
11:39:20,34.0,30,6778
11:39:21,35.0,30.2,6779
11:39:23,35.0,30.4,6781
11:39:24,36.0,30.3,6782
11:39:25,36.0,30.3,6785
11:39:26,36.0,30.6,6783
11:39:28,37.0,30.8,6782
11:39:29,36.0,30.4,6785
11:39:30,35.0,30.1,6786
11:39:31,34.0,30.5,6787
11:39:32,35.0,30.7,6787
11:39:34,34.0,30.1,6785
11:39:35,35.0,30.4,6788
11:39:36,35.0,29.8,6789
11:39:37,36.0,30.2,6784
11:39:39,36.0,30.6,6786
11:39:40,34.0,30.4,6786
11:39:41,36.0,30.1,6787
11:39:42,35.0,30.6,6788
11:39:44,35.0,30.5,6787
11:39:45,35.0,30.5,6789
11:39:46,36.0,30.8,6787
11:39:47,34.0,30.6,6787
11:39:48,35.0,30.6,6792
11:39:50,36.0,30.2,6791
11:39:51,36.0,30.2,6792
11:39:52,35.0,30.6,6793
11:39:53,34.0,30,6787
11:39:55,35.0,30.5,6790
11:39:56,36.0,30.6,6790
11:39:57,35.0,31.1,6792
11:39:58,34.0,30.2,6792
11:40:00,37.0,29.8,6790
11:40:01,37.0,30.5,6790
11:40:02,35.0,30.3,6791
11:40:03,36.0,22.7,6793
11:40:05,36.0,29.9,6795
11:40:06,36.0,30.8,6795
11:40:07,36.0,30.5,6796
11:40:08,36.0,30.6,6796
11:40:09,36.0,30.9,6796
11:40:11,36.0,30.8,6796
11:40:12,36.0,30.5,6798
11:40:13,36.0,30.3,6798
11:40:14,35.0,30.9,6798
11:40:16,35.0,30,6798
11:40:17,36.0,30.6,6796
11:40:18,36.0,29.9,6797
11:40:19,36.0,30.9,6793
11:40:21,35.0,30.5,6793
11:40:22,35.0,30.8,6794
11:40:23,36.0,30.6,6793
11:40:24,36.0,29.8,6793
11:40:25,35.0,31,6793
11:40:27,35.0,30.1,6793
11:40:28,36.0,30.1,6793
11:40:29,34.0,30.5,6793
11:40:30,36.0,30.5,6794
11:40:32,36.0,30.1,6796
11:40:33,35.0,30.6,6795
11:40:34,37.0,30.8,6795
11:40:35,36.0,30.4,6795
11:40:37,37.0,30.2,6795
11:40:38,34.0,30.3,6792
11:40:39,36.0,30.3,6792
11:40:40,35.0,29.9,6789
11:40:42,37.0,30.5,6790
11:40:43,35.0,30.6,6790
11:40:44,35.0,29.9,6791
11:40:45,36.0,30.6,6790
11:40:46,36.0,30.2,6792
11:40:48,36.0,30.5,6795
11:40:49,35.0,30.6,6795
11:40:50,35.0,30.2,6797
11:40:51,36.0,30.5,6799
11:40:53,35.0,30.9,6798
11:40:54,36.0,30.3,6792
11:40:55,35.0,30.6,6792
11:40:56,35.0,30.6,6792
11:40:58,35.0,30.2,6788
11:40:59,36.0,30.6,6781
11:41:00,34.0,29.9,6780
11:41:01,37.0,30.2,6781
11:41:02,36.0,30.6,6780
11:41:04,37.0,30.5,6781
11:41:05,35.0,30.5,6777
11:41:06,35.0,30.5,6777
11:41:07,36.0,30.1,6779
11:41:09,35.0,30.8,6782
11:41:10,35.0,30,6781
11:41:11,35.0,30.3,6781
11:41:12,37.0,29.9,6780
11:41:14,35.0,30.4,6782
11:41:15,34.0,30.3,6786
11:41:16,35.0,30.6,6785
11:41:17,35.0,30.4,6784
11:41:19,36.0,30.1,6787
11:41:20,36.0,30.1,6787
11:41:21,36.0,30.3,6788
11:41:22,37.0,30.2,6789
11:41:23,37.0,30.4,6790
11:41:25,36.0,30.6,6789
11:41:26,36.0,30.7,6783
11:41:27,36.0,30.2,6783
11:41:28,35.0,30.8,6785
11:41:30,34.0,30.6,6784
11:41:31,35.0,29.8,6785
11:41:32,35.0,30.5,6781
11:41:33,37.0,30.5,6781
11:41:35,37.0,30.5,6780
11:41:36,36.0,30.6,6785
11:41:37,37.0,30.6,6779
11:41:38,35.0,30.5,6776
11:41:39,36.0,30.1,6778
11:41:41,36.0,30.3,6779
11:41:42,35.0,30.9,6782
11:41:43,36.0,30.2,6783
11:41:44,36.0,30.8,6784
11:41:46,36.0,30.3,6791
11:41:47,35.0,30.8,6791
11:41:48,36.0,29.9,6789
11:41:49,35.0,30.4,6783
11:41:51,35.0,30.5,6783
11:41:52,35.0,29.6,6784
11:41:53,36.0,30.3,6784
11:41:54,36.0,30.5,6785
11:41:56,35.0,30.2,6783
11:41:57,37.0,30.2,6783
11:41:58,36.0,30.4,6778
11:41:59,36.0,30.2,6771
11:42:00,35.0,30.2,6765
11:42:02,36.0,30.4,6768
11:42:03,36.0,30.2,6770
11:42:04,36.0,30.5,6771
11:42:05,35.0,30.8,6773
11:42:07,37.0,30.6,6773
11:42:08,35.0,30,6773
11:42:09,37.0,30.2,6775
11:42:10,35.0,30.5,6776
11:42:12,36.0,30.4,6776
11:42:13,35.0,29.6,6777
11:42:14,35.0,30.3,6779
11:42:15,35.0,30.8,6779
11:42:16,36.0,30.5,6780
11:42:18,36.0,30.1,6780
11:42:19,35.0,30.6,6780
11:42:20,35.0,30.1,6775
11:42:21,35.0,30.6,6776
11:42:23,36.0,30.5,6777
11:42:24,35.0,30.5,6777
11:42:25,36.0,30.2,6777
11:42:26,36.0,30.5,6777
11:42:28,36.0,30,6777
11:42:29,35.0,30.5,6771
11:42:30,35.0,30.3,6780
11:42:31,36.0,30.1,6780
11:42:33,37.0,30.5,6775
11:42:34,35.0,30.1,6776
11:42:35,36.0,30.1,6776
11:42:36,36.0,30.2,6781
11:42:37,37.0,30.1,6783
11:42:39,36.0,30.1,6784
11:42:40,37.0,30.5,6779
11:42:41,37.0,30.1,6781
11:42:42,35.0,30.6,6782
11:42:44,36.0,30.5,6783
11:42:45,36.0,30.1,6785
11:42:46,36.0,29.8,6784
11:42:47,37.0,30.2,6785
11:42:49,35.0,30.1,6784
11:42:50,35.0,30.5,6787
11:42:51,35.0,30.3,6788
11:42:52,36.0,30.8,6790
11:42:53,35.0,30.3,6791
11:42:55,35.0,30.4,6792
11:42:56,35.0,30.1,6791
11:42:57,37.0,30.3,6794
11:42:58,37.0,30.1,6793
11:43:00,35.0,30.5,6792
11:43:01,36.0,30.6,6793
11:43:02,35.0,30.3,6793
11:43:03,36.0,30.1,6793
11:43:05,36.0,30.1,6792
11:43:06,35.0,30.6,6792
11:43:07,35.0,30.5,6793
11:43:08,35.0,30.4,6790
11:43:09,35.0,30,6791
11:43:11,35.0,29.8,6792
11:43:12,36.0,30.3,6792
11:43:13,37.0,30.3,6792
11:43:14,37.0,30.5,6793
11:43:16,35.0,30.8,6793
11:43:17,37.0,30.6,6795
11:43:18,35.0,30.3,6794
11:43:19,35.0,30.1,6796
11:43:21,36.0,30.6,6796
11:43:22,36.0,30.5,6795
11:43:23,36.0,30.5,6794
11:43:24,36.0,30.5,6796
11:43:26,36.0,30.2,6795
11:43:27,36.0,30.2,6798
11:43:28,35.0,13.1,6803
11:43:29,35.0,30.1,6793
11:43:30,36.0,30.1,6796
11:43:32,36.0,30.6,6796
11:43:33,36.0,30.5,6797
11:43:34,36.0,30.6,6797
11:43:35,37.0,30.6,6796
11:43:37,35.0,30.6,6796
11:43:38,36.0,30.5,6796
11:43:39,36.0,30.6,6794
11:43:40,37.0,30.2,6796
11:43:42,37.0,29.7,6796
11:43:43,36.0,30.1,6792
11:43:44,37.0,30.9,6794
11:43:45,37.0,30.4,6789
11:43:46,36.0,30.4,6790
11:43:48,36.0,30.5,6790
11:43:49,35.0,30.1,6791
11:43:50,36.0,29.8,6790
11:43:51,36.0,30.1,6791
11:43:53,35.0,29.9,6791
11:43:54,36.0,30.2,6790
11:43:55,36.0,30.2,6792
11:43:56,36.0,30.3,6792
11:43:58,36.0,30.6,6792
11:43:59,36.0,30.5,6791
11:44:00,36.0,30.6,6788
11:44:01,35.0,30.5,6792
11:44:03,35.0,30.3,6791
