Time,Temp,CPU_Load,RAM_MB
17:06:17,26.0,8.7,1478
17:06:18,29.0,5.3,3463
17:06:19,36.0,29,3540
17:06:21,37.0,29.7,3536
17:06:22,39.0,30.4,3537
17:06:23,39.0,30.2,3538
17:06:24,38.0,29.7,3535
17:06:26,39.0,30,3536
17:06:27,39.0,30.2,3537
17:06:28,39.0,30.2,3536
17:06:29,39.0,30.2,3528
17:06:30,42.0,30.1,3531
17:06:32,44.0,29.7,3536
17:06:33,42.0,30.2,3531
17:06:34,42.0,30.4,3531
17:06:35,43.0,29.9,3532
17:06:37,42.0,29.9,3534
17:06:38,42.0,30.1,3533
17:06:39,43.0,29.9,3532
17:06:40,43.0,30.2,3533
17:06:41,43.0,30.2,3529
17:06:43,43.0,30.2,3530
17:06:44,46.0,29.9,3523
17:06:45,45.0,29.7,3524
17:06:46,46.0,29.7,3520
17:06:48,46.0,29.7,3518
17:06:49,45.0,29.7,3518
17:06:50,46.0,29.9,3517
17:06:51,47.0,29.4,3518
17:06:52,46.0,30.1,3518
17:06:54,45.0,30,3516
17:06:55,46.0,29.7,3516
17:06:56,46.0,29.7,3515
17:06:57,43.0,30,3515
17:06:59,46.0,29.7,3517
17:07:00,47.0,29.4,3515
17:07:01,47.0,29.7,3513
17:07:02,43.0,30.2,3517
17:07:03,45.0,30.1,3517
17:07:05,45.0,29.7,3512
17:07:06,46.0,30.2,3511
17:07:07,46.0,30.4,3512
17:07:08,46.0,29.7,3513
17:07:10,47.0,29.7,3515
17:07:11,47.0,30.4,3516
17:07:12,47.0,30.1,3514
17:07:13,46.0,30,3510
17:07:14,51.0,30.2,3512
17:07:16,47.0,29.7,3502
17:07:17,49.0,30.1,3503
17:07:18,48.0,29.9,3494
17:07:19,49.0,30.1,3490
17:07:21,49.0,30.1,3492
17:07:22,47.0,29.9,3493
17:07:23,46.0,29.7,3492
17:07:24,48.0,30,3496
17:07:26,47.0,29.5,3498
17:07:27,49.0,29.9,3499
17:07:28,47.0,29.9,3499
17:07:29,48.0,30.2,3500
17:07:30,46.0,30.1,3502
17:07:32,49.0,29.7,3502
17:07:33,49.0,29.9,3505
17:07:34,48.0,29.9,3508
17:07:35,49.0,29.9,3531
17:07:37,50.0,29.7,3530
17:07:38,50.0,30.2,3530
17:07:39,49.0,29.4,3523
17:07:40,48.0,29.9,3523
17:07:41,49.0,30.1,3516
17:07:43,51.0,30.1,3516
17:07:44,49.0,30.4,3517
17:07:45,49.0,30.2,3518
17:07:46,49.0,30.1,3514
17:07:48,51.0,30.2,3515
17:07:49,49.0,30.2,3515
17:07:50,50.0,29.7,3517
17:07:51,48.0,29.9,3517
17:07:52,50.0,29.8,3518
17:07:54,47.0,29.9,3516
17:07:55,50.0,30,3517
17:07:56,49.0,29.7,3518
17:07:57,49.0,30.1,3513
17:07:59,49.0,30.4,3515
17:08:00,49.0,30.2,3513
17:08:01,50.0,29.8,3509
17:08:02,49.0,29.9,3510
17:08:03,48.0,30.2,3512
17:08:05,50.0,29.9,3512
17:08:06,48.0,29.7,3513
17:08:07,48.0,29.9,3516
17:08:08,49.0,29.7,3516
17:08:10,50.0,29.8,3517
17:08:11,49.0,29.9,3519
17:08:12,46.0,30.5,3517
17:08:13,49.0,30,3513
17:08:14,49.0,29.5,3516
17:08:16,50.0,30.1,3513
17:08:17,47.0,29.7,3514
17:08:18,47.0,30,3516
17:08:19,50.0,30.1,3517
17:08:21,48.0,30.1,3512
17:08:22,51.0,29.4,3513
17:08:23,47.0,30.2,3514
17:08:24,50.0,29.9,3524
17:08:26,51.0,29.9,3526
17:08:27,50.0,30.2,3525
17:08:28,50.0,30.2,3523
17:08:29,49.0,30.5,3525
17:08:30,50.0,29.9,3525
17:08:32,49.0,29.7,3527
17:08:33,50.0,30.2,3528
17:08:34,49.0,30,3521
17:08:35,51.0,30,3523
17:08:37,50.0,30.4,3522
17:08:38,54.0,30.4,3522
17:08:39,50.0,30.2,3522
17:08:40,50.0,29.7,3514
17:08:41,51.0,29.9,3511
17:08:43,50.0,29.7,3510
17:08:44,49.0,30.2,3509
17:08:45,48.0,29.9,3509
17:08:46,50.0,30,3510
17:08:48,49.0,30.2,3512
17:08:49,50.0,29.3,3510
17:08:50,51.0,29.7,3506
17:08:51,52.0,29.7,3510
17:08:52,52.0,30.2,3509
17:08:54,50.0,29.7,3510
17:08:55,50.0,29.9,3510
17:08:56,49.0,29.9,3506
17:08:57,52.0,29.9,3509
17:08:59,51.0,29.7,3516
17:09:00,49.0,29.7,3517
17:09:01,50.0,30.2,3512
17:09:02,51.0,30,3514
17:09:03,50.0,29.9,3515
17:09:05,50.0,30.4,3517
17:09:06,49.0,29.7,3518
17:09:07,48.0,29.9,3518
17:09:08,49.0,29.9,3518
17:09:10,47.0,30,3519
17:09:11,48.0,30.1,3522
17:09:12,50.0,30.5,3526
17:09:13,49.0,29.9,3528
17:09:14,49.0,30.1,3528
17:09:16,50.0,30.1,3529
17:09:17,49.0,30.2,3526
17:09:18,50.0,29.9,3529
17:09:19,51.0,30,3531
17:09:21,50.0,29.7,3529
17:09:22,48.0,30,3529
17:09:23,49.0,29.4,3527
17:09:24,50.0,29.7,3519
17:09:26,51.0,30.2,3520
17:09:27,50.0,30,3523
17:09:28,48.0,30,3523
