Time,Temp,CPU_Load,RAM_MB
11:30:57,24.0,8,1427
11:30:58,29.0,29.9,1965
11:30:59,29.0,29.9,1974
11:31:01,29.0,29.1,1976
11:31:02,30.0,29.3,1970
11:31:03,29.0,21.3,1975
11:31:04,32.0,30.1,1968
11:31:06,30.0,29.5,1970
11:31:07,32.0,28.8,1971
11:31:08,32.0,29.3,1974
11:31:09,33.0,29.7,1973
11:31:10,31.0,29.4,1958
11:31:12,32.0,29.3,1967
11:31:13,34.0,28.6,1960
11:31:14,32.0,29.5,1963
11:31:15,33.0,29.2,1964
11:31:17,32.0,29.5,1962
11:31:18,32.0,29.5,1966
11:31:19,33.0,29.6,1966
11:31:20,31.0,29,1954
11:31:21,31.0,29.7,1948
11:31:23,34.0,30.2,1949
11:31:24,33.0,29.3,1951
11:31:25,34.0,29.5,1945
11:31:26,34.0,29.5,1951
11:31:28,34.0,29.5,1944
11:31:29,33.0,29.7,1944
11:31:30,34.0,29.2,1941
11:31:31,35.0,29.5,1944
11:31:33,34.0,29.4,1944
11:31:34,34.0,29.6,1944
11:31:35,34.0,29.5,1950
11:31:36,34.0,29.7,1954
11:31:37,34.0,29.5,1959
11:31:39,34.0,29.5,1957
11:31:40,36.0,29.1,1964
11:31:41,35.0,29.9,1961
11:31:42,36.0,29.4,1963
11:31:44,35.0,29.9,1964
11:31:45,36.0,29.2,1968
11:31:46,35.0,29.7,1962
11:31:47,32.0,29.5,1962
11:31:48,36.0,29.2,1961
11:31:50,37.0,29.3,1961
11:31:51,37.0,30.2,1958
11:31:52,36.0,29.5,1960
11:31:53,37.0,29.3,1955
11:31:55,37.0,28.9,1955
11:31:56,35.0,29.2,1954
11:31:57,36.0,29.5,1958
11:31:58,35.0,29.3,1958
11:31:59,34.0,28.4,1948
11:32:01,35.0,29.5,1952
11:32:02,37.0,29.9,1952
11:32:03,37.0,28.9,1955
11:32:04,37.0,29.7,1961
11:32:06,37.0,29.1,1968
11:32:07,36.0,29.4,1966
11:32:08,37.0,29.4,1967
11:32:09,37.0,30.3,1967
11:32:11,37.0,29.6,1965
11:32:12,37.0,30.1,1971
11:32:13,36.0,29.3,1968
11:32:14,37.0,29.5,1973
11:32:15,37.0,28.9,1964
11:32:17,36.0,30,1967
11:32:18,37.0,29.5,1971
11:32:19,37.0,29.2,1974
11:32:20,36.0,29.9,1973
11:32:22,36.0,30.2,1969
11:32:23,37.0,29.1,1967
11:32:24,38.0,29.7,1963
11:32:25,34.0,6.8,1964
11:32:26,37.0,29.4,1964
11:32:28,37.0,29.3,1966
11:32:29,38.0,29.6,1961
11:32:30,37.0,30.3,1961
11:32:31,36.0,30,1960
11:32:33,38.0,30.3,1966
11:32:34,37.0,29.9,1974
11:32:35,38.0,30.2,1967
11:32:36,38.0,29.7,1960
11:32:37,38.0,29.8,1958
11:32:39,37.0,29.8,1967
11:32:40,39.0,29.9,1968
11:32:41,37.0,29.9,1974
11:32:42,38.0,29.7,1978
11:32:44,38.0,29.9,1974
11:32:45,37.0,29.2,1976
11:32:46,38.0,30.2,1978
11:32:47,36.0,29.7,1977
11:32:49,37.0,30.5,1976
11:32:50,38.0,29.5,1976
11:32:51,38.0,29.9,1958
11:32:52,38.0,29.5,1960
11:32:53,38.0,29.6,1961
11:32:55,38.0,29.9,1966
11:32:56,38.0,30,1964
11:32:57,38.0,29.2,1968
11:32:58,37.0,29.6,1975
11:33:00,38.0,29.7,1984
11:33:01,37.0,29.3,1984
11:33:02,37.0,29.5,1977
11:33:03,38.0,30.1,1978
11:33:04,38.0,29.2,1982
11:33:06,38.0,29.2,1992
11:33:07,37.0,29.5,1982
11:33:08,39.0,29.9,1983
11:33:09,37.0,29.5,1978
11:33:11,38.0,29.5,1977
11:33:12,38.0,30.1,1977
11:33:13,38.0,30.1,1982
11:33:14,38.0,29.9,1983
11:33:15,38.0,29.8,1979
11:33:17,39.0,30.1,1973
11:33:18,38.0,29.2,1978
11:33:19,38.0,29,1978
11:33:20,38.0,29,1970
11:33:22,38.0,29.5,1970
11:33:23,38.0,29.9,1972
11:33:24,37.0,29.5,1969
11:33:25,38.0,29.5,1977
11:33:26,38.0,29.7,1980
11:33:28,39.0,30,1981
11:33:29,39.0,29.9,1985
11:33:30,39.0,30.2,1992
11:33:31,39.0,30.1,1987
11:33:33,39.0,29.4,1982
11:33:34,39.0,30,1977
11:33:35,37.0,19.1,1972
11:33:36,37.0,30.3,1975
11:33:38,38.0,29.3,1979
11:33:39,39.0,29.9,1986
11:33:40,38.0,30.3,1991
11:33:41,38.0,29.6,1983
11:33:42,38.0,29.6,1984
11:33:44,38.0,29.8,1990
11:33:45,38.0,29.8,1983
11:33:46,39.0,29.5,1986
11:33:47,37.0,29.9,1978
11:33:49,38.0,20.2,1996
11:33:50,39.0,30,1991
11:33:51,37.0,29.7,1986
11:33:52,38.0,28.8,1991
11:33:53,38.0,29.3,1985
11:33:55,38.0,29.2,1985
11:33:56,37.0,29.7,1986
11:33:57,38.0,29.7,1992
11:33:58,37.0,30.4,1996
11:34:00,39.0,29.3,2001
11:34:01,38.0,30,1991
11:34:02,38.0,30.3,1990
11:34:03,38.0,30.1,1995
11:34:05,39.0,30.3,1995
11:34:06,38.0,30.2,1996
11:34:07,38.0,30,1996
11:34:08,39.0,29.9,1993
11:34:09,38.0,30.6,1995
11:34:11,38.0,29.5,1979
11:34:12,37.0,29.9,1984
11:34:13,38.0,10.4,1982
11:34:14,37.0,30.3,1977
11:34:16,38.0,29.5,1968
11:34:17,37.0,29.5,1966
11:34:18,38.0,29.9,1970
11:34:19,39.0,29.9,1966
11:34:20,38.0,30.3,1975
11:34:22,38.0,29.5,1984
11:34:23,39.0,29.5,1984
11:34:24,38.0,29.8,1989
11:34:25,38.0,30,1991
