Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
17:04:55,93574683273,2100607302,53,1078,12.07
17:06:13,77665625470,33053013,53,942,12.16
17:07:40,87433340539,29679541,53,1055,12.09
17:08:59,78663600536,22777258,53,955,12.17
17:10:18,78924048962,30872150,53,958,12.16
17:11:40,81976899825,32829778,53,991,12.11
17:13:01,80746247775,22244110,53,973,12.07
17:14:20,79689940976,31536586,53,953,11.99
17:15:46,85600980317,25732247,53,1024,11.99
17:17:04,77430085714,18591573,53,930,12.04
17:18:19,75812776553,31225368,53,914,12.08
17:19:37,77440889582,37681468,53,932,12.06
17:21:08,90589006046,29210928,53,1075,11.89
17:22:33,85700427423,40732590,53,1026,12.00
17:23:54,81103021370,34150818,53,974,12.04
17:25:13,78486198042,35975388,53,947,12.09
17:26:34,81075297406,24405505,53,973,12.03
17:27:48,73918168689,35644151,53,893,12.11
17:29:07,78548861895,27292463,53,944,12.04
17:30:29,82064632528,23916122,53,984,12.02
17:31:43,74029323493,26296154,53,889,12.04
17:33:02,79354764576,19204452,53,954,12.05
17:34:21,78784593861,30229602,53,945,12.02
17:35:44,82558328687,33179351,53,986,11.97
17:37:08,83884981313,32707695,53,1007,12.03
17:38:25,77545528092,24345301,53,933,12.06
17:39:55,90261565858,27596629,53,1079,11.98
17:41:17,81718953288,34391978,53,982,12.04
17:42:29,72235227196,23714662,53,871,12.08
17:43:50,80808625083,23384059,53,969,12.02
17:45:05,74914091228,24846682,53,902,12.07
17:46:41,95328417365,28595620,53,1131,11.89
17:48:01,80349149856,19761842,53,964,12.02
17:49:18,77388090631,35439849,53,930,12.04
17:50:42,83980743320,24555080,53,1006,12.00
17:52:06,83409903301,36390995,53,999,12.00
17:53:24,78098670145,29789959,53,938,12.04
17:54:45,81331587080,31944626,53,975,12.01
17:56:07,81608976170,22228366,53,979,12.02
17:57:29,82068662875,26307016,53,983,12.00
17:58:46,77106867379,39447951,53,930,12.09
18:00:07,80828940486,39178072,53,969,12.01
18:01:36,89262790479,29353222,53,1062,11.92
18:02:52,75086542518,28640341,53,905,12.08
18:04:08,76764183356,28063709,53,914,11.93
