Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
08:19:02,42751430152,2893304082,19,410,10.60
08:19:45,51655137875,41531287,19,539,10.47
08:20:37,49926897066,44215346,19,520,10.45
08:21:27,74096629551,33562755,19,756,10.23
08:22:42,43962301068,34448782,19,463,10.57
08:23:26,49546745780,29021217,19,515,10.43
08:24:16,39999746446,28294329,19,420,10.54
08:24:56,46167693083,29593706,19,481,10.46
08:25:43,38714900128,35469557,19,404,10.48
08:26:22,36471772917,35684232,19,387,10.66
08:26:58,37776731627,37206071,19,401,10.66
08:27:37,45047415188,42862072,19,470,10.47
08:28:22,43381634446,39489269,19,455,10.53
