Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
22:34:02,36294024802,12788622152,26,506,22.00
22:34:39,19503754648,27777585,26,435,22.43
22:34:59,19710216942,38719843,26,440,22.47
22:35:19,18940714479,27768992,26,418,22.19
22:35:38,20041548514,30984901,26,444,22.28
22:35:59,24976913736,32148593,26,540,21.72
22:36:24,24667784377,32562251,26,534,21.76
22:36:49,26613098418,31831175,26,571,21.55
22:37:16,21901596840,23440576,26,478,21.93
22:37:38,24393446039,26477151,26,522,21.49
22:38:02,20788635500,29533497,26,458,22.15
22:38:23,20649235817,30914119,26,452,22.01
22:38:44,20762177191,31490726,26,457,22.13
22:39:05,23151161599,21093937,26,507,21.99
22:39:29,29455126912,24127722,26,629,21.43
22:39:58,22188296366,26886325,26,488,22.11
22:40:21,20017538612,23154755,26,441,22.13
22:40:41,23332258069,18623421,26,508,21.87
22:41:05,17924483869,28640204,26,391,21.95
22:41:23,26285229428,26581336,26,560,21.40
22:41:50,22678531324,30704557,26,492,21.80
22:42:13,30191166482,34292670,26,634,21.09
22:42:43,26097057083,37336173,26,560,21.56
22:43:09,21773280885,41560595,26,472,21.80
22:43:31,32039678540,30813072,26,670,20.99
22:44:04,23980484603,27357242,26,515,21.58
22:44:28,21020588569,30933442,26,458,21.91
22:44:49,22066459125,27430691,26,477,21.73
22:45:11,24427345162,32859508,26,531,21.84
22:45:36,18599590104,23036073,26,409,22.12
22:45:55,21383238895,34565759,26,476,22.37
22:46:17,25497249312,26131135,26,550,21.67
22:46:42,23731726925,20197275,26,512,21.66
22:47:06,32572072591,34355636,26,681,20.99
22:47:39,22450416236,33691754,26,485,21.71
22:48:02,25960604576,29890127,26,560,21.67
22:48:28,31414268773,35596790,26,655,20.93
22:49:00,23842825570,31938376,26,517,21.80
22:49:24,22381988037,22581241,26,488,21.91
22:49:47,25045822633,20964078,26,541,21.69
22:50:12,19990305987,26923279,26,438,22.03
22:50:32,27549080966,32525824,26,589,21.48
22:51:00,21627813490,27049807,26,472,21.94
22:51:22,24039532023,37735855,26,515,21.53
22:51:46,14810714697,34654646,26,330,22.44
22:52:01,18559924243,33586074,26,411,22.27
22:52:20,21835118990,25240689,26,478,22.00
22:52:42,22253215668,24436723,26,484,21.86
22:53:05,19706011758,28711349,26,433,22.10
22:53:25,16182658823,23797500,26,358,22.26
22:53:41,26681638235,29020583,26,568,21.38
22:54:08,33403131638,25713319,26,698,20.97
22:54:42,22715119138,24355708,26,496,21.93
22:55:05,19471720480,28403202,26,429,22.15
22:55:24,23311611332,28246420,26,506,21.81
22:55:48,24030544848,28681175,26,521,21.79
22:56:12,17665703480,35699567,26,387,22.05
22:56:30,20691851725,21927943,26,453,22.01
22:56:51,21887085180,23048558,26,479,21.99
22:57:13,19664538377,26124273,26,435,22.23
22:57:33,16838715645,26830109,26,376,22.47
22:57:50,26622911487,32719551,26,570,21.50
22:58:17,29631397336,25737095,26,626,21.21
22:58:47,19383218912,30209735,26,429,22.26
22:59:07,22052229538,18258232,26,483,22.00
22:59:29,17217705223,33813256,26,383,22.39
22:59:47,25344033233,27772453,26,543,21.53
23:00:12,21295541674,34925677,26,462,21.81
23:00:34,26092698537,24900016,26,567,21.82
23:01:00,30752968941,45604863,26,651,21.26
23:01:31,24726416414,20336801,26,536,21.77
23:01:56,24397602310,23532773,26,529,21.78
23:02:21,21476678280,33464389,26,469,21.95
23:02:43,19532116598,32913285,26,431,22.19
23:03:02,33531083344,27450760,26,701,20.98
23:03:36,21921038286,24223103,26,477,21.87
23:03:58,24255447489,32405819,26,525,21.74
23:04:23,23712904679,38485828,26,514,21.78
23:04:47,24315049515,17831072,26,521,21.52
23:05:11,22592292135,23794567,26,490,21.79
23:05:34,21029677409,21983778,26,460,21.98
23:05:56,18671527143,21787626,26,412,22.18
23:06:14,21339884835,37089196,26,462,21.77
23:06:36,34467535232,22275835,26,715,20.81
23:07:11,25307284914,18431466,26,543,21.54
23:07:36,27003727961,24849409,26,579,21.53
23:08:04,34508051966,29543510,26,720,20.94
23:08:38,23899403384,28904730,26,518,21.78
23:09:03,21571238718,26592574,26,475,22.13
23:09:24,21830463215,36016981,26,478,22.01
23:09:47,18761547908,28869803,26,413,22.14
23:10:06,70064618024,29563547,26,1303,18.64
23:11:16,20632218369,22399486,26,457,22.26
23:11:37,18936314338,24953183,26,417,22.14
23:11:56,21748575096,35101512,26,468,21.63
23:12:18,21284073647,22837292,26,465,21.95
23:12:40,23702645469,28165950,26,516,21.87
23:13:03,16611420418,35166335,26,370,22.42
23:13:20,25081736062,29191025,26,541,21.67
23:13:46,17627660619,24821712,26,390,22.26
23:14:04,22728026153,34482273,26,492,21.76
23:14:27,28043854661,22526685,26,592,21.19
23:14:55,17425635019,29408743,26,384,22.18
23:15:13,18425430731,34058475,26,406,22.17
23:15:31,27731789446,30903629,26,589,21.33
23:15:59,25248947348,22575226,26,540,21.48
23:16:25,20224257547,26516466,26,442,21.96
23:16:45,25550170750,22948947,26,547,21.50
23:17:11,398533323714,24237115,26,4738,11.90
23:23:50,27904773781,24720158,26,586,21.40
23:24:18,18030024123,25256457,26,398,22.19
23:24:36,32008952844,28362282,26,668,20.95
23:25:09,21495798425,25883895,26,465,21.73
23:25:30,26862454631,22800558,26,571,21.34
23:25:58,19241635697,27917886,26,422,22.05
23:26:17,280302122397,24538107,26,3598,12.85
23:30:58,29014496987,31662364,26,616,21.32
23:31:27,132527092241,28888058,26,2131,16.10
23:33:40,29810453250,20037397,26,629,21.18
