Time,Temp,CPU_Load,RAM_MB
22:34:02,38.0,7.4,1100
22:34:39,37.0,0.5,4795
22:34:59,41.0,1.4,4797
22:35:19,42.0,0,4805
22:35:38,43.0,0.9,4799
22:35:59,41.0,0,4794
22:36:24,42.0,0,4798
22:36:49,42.0,0,4806
22:37:16,42.0,0,4804
22:37:38,41.0,0.9,4795
22:38:02,41.0,0.9,4810
22:38:23,44.0,0.9,4802
22:38:44,42.0,0.5,4794
22:39:05,42.0,5.1,4796
22:39:29,41.0,0,4797
22:39:58,41.0,0.5,4801
22:40:21,41.0,0.9,4790
22:40:41,42.0,0.5,4808
22:41:05,41.0,0.5,4801
22:41:23,42.0,0,4806
22:41:50,41.0,0.5,4806
22:42:13,42.0,0,4796
22:42:43,42.0,0.5,4809
22:43:09,42.0,0.5,4792
22:43:31,41.0,0.9,4814
22:44:04,41.0,0,4813
22:44:28,42.0,0.5,4809
22:44:49,42.0,0.5,4812
22:45:11,42.0,0.5,4805
22:45:36,41.0,0,4804
22:45:55,42.0,0.5,4815
22:46:17,42.0,0.5,4811
22:46:42,42.0,0,4803
22:47:06,42.0,0,4808
22:47:39,42.0,0.5,4821
22:48:02,42.0,0,4812
22:48:28,42.0,0.9,4813
22:49:00,41.0,0.5,4798
22:49:24,42.0,0,4810
22:49:47,42.0,0.5,4813
22:50:12,42.0,1.4,4796
22:50:32,42.0,0.5,4808
22:51:00,43.0,0.5,4819
22:51:22,42.0,0.9,4814
22:51:46,43.0,0.5,4803
22:52:01,42.0,0.9,4819
22:52:20,42.0,0.5,4807
22:52:42,43.0,0,4805
22:53:05,42.0,0,4812
22:53:25,42.0,0.5,4806
22:53:41,42.0,0,4812
22:54:08,42.0,0,4814
22:54:42,41.0,0.5,4818
22:55:05,44.0,0.5,4817
22:55:24,43.0,0.5,4815
22:55:48,41.0,0.5,4813
22:56:12,42.0,0.9,4822
22:56:30,42.0,0.9,4820
22:56:51,41.0,0.9,4818
22:57:13,42.0,0.9,4816
22:57:33,42.0,0.5,4805
22:57:50,41.0,0.5,4815
22:58:17,42.0,0,4816
22:58:47,41.0,0.9,4818
22:59:07,41.0,0.5,4816
22:59:29,42.0,0,4818
22:59:47,42.0,0.5,4819
23:00:12,41.0,0.5,4821
23:00:34,43.0,0.5,4850
23:01:00,41.0,0.5,4836
23:01:31,41.0,0.5,4834
23:01:56,42.0,0.5,4838
23:02:21,41.0,0.5,4851
23:02:43,41.0,0.5,4799
23:03:02,43.0,0.5,4813
23:03:36,42.0,0.9,4812
23:03:58,42.0,0,4818
23:04:23,42.0,0.9,4816
23:04:47,42.0,0,4824
23:05:11,42.0,0.4,4819
23:05:34,42.0,0.9,4821
23:05:56,42.0,0.9,4820
23:06:14,41.0,0,4824
23:06:36,42.0,0.5,4824
23:07:11,41.0,0.5,4826
23:07:36,42.0,0,4811
23:08:04,41.0,0,4815
23:08:38,41.0,0.5,4830
23:09:03,41.0,0,4820
23:09:24,42.0,0.9,4827
23:09:47,42.0,0.5,4825
23:10:06,42.0,0,4836
23:11:16,41.0,0.5,4831
23:11:37,41.0,0.5,4821
23:11:56,42.0,0.5,4824
23:12:18,41.0,0.5,4821
23:12:40,41.0,0,4822
23:13:03,42.0,0.5,4825
23:13:20,41.0,0.5,4824
23:13:46,42.0,0.5,4818
23:14:04,42.0,0.9,4823
23:14:27,41.0,0,4823
23:14:55,41.0,0.5,4820
23:15:13,42.0,0,4822
23:15:31,42.0,0.5,4827
23:15:59,42.0,0,4827
23:16:25,42.0,0.5,4829
23:16:45,42.0,0.5,4820
23:17:11,41.0,0.9,4825
23:23:50,38.0,0.5,4821
23:24:18,41.0,0.5,4820
23:24:36,41.0,0,4819
23:25:09,42.0,0.5,4831
23:25:30,41.0,0.5,4815
23:25:58,41.0,0.5,4814
23:26:17,41.0,0,4812
23:30:58,37.0,0.5,4820
23:31:27,41.0,0.5,4829
23:33:40,38.0,0.5,4823
