Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
21:10:21,26265060311,1535673587,21,641,26.46
21:10:47,27255642024,115950212,21,692,25.79
21:11:15,24962199876,116049443,21,637,25.93
21:11:40,23973038000,121874184,21,627,26.61
21:12:04,26814143653,115248166,21,680,25.75
21:12:31,24600778332,113527121,21,645,26.65
21:12:56,26170084639,114482467,21,675,26.21
21:13:23,31874949301,118066188,21,810,25.79
21:13:55,29712968744,116562709,21,749,25.59
21:14:25,28070788273,116980830,21,714,25.83
21:14:53,29693408482,113230976,21,751,25.68
21:15:23,24875474559,124432671,21,634,25.91
21:15:48,26390429014,117940905,21,679,26.14
21:16:15,30624390256,111345056,21,777,25.75
21:16:46,33472398787,115464089,21,854,25.88
21:17:20,25061159169,134306819,21,645,26.18
21:17:45,29553917339,116120908,21,753,25.87
21:18:15,27422142513,124158885,21,705,26.13
21:18:42,24587933686,123233180,21,641,26.52
21:19:07,30808803617,118124452,21,772,25.43
21:19:38,26608995462,119065480,21,675,25.78
21:20:05,29927644438,115713996,21,777,26.36
