Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
00:19:54,25410032250,5970953330,20,372,19.74
00:20:20,22028133188,121476353,20,423,19.45
00:20:42,24017529660,112455799,20,471,19.85
00:21:06,25031973604,110336270,20,477,19.28
00:21:32,26156428927,125887853,20,503,19.46
00:21:58,23759409985,115301388,20,457,19.47
00:22:22,15611741260,106370901,20,311,20.24
00:22:38,22021916532,123416793,20,427,19.65
00:23:00,36430637256,113443606,20,691,19.15
00:23:37,20372599874,113878131,20,396,19.71
00:23:58,27703991408,111522295,20,537,19.59
00:24:26,20434035345,118113113,20,402,19.95
00:24:47,23030246357,109786682,20,441,19.38
00:25:10,19396540404,123529645,20,378,19.78
00:25:30,29470056849,116911134,20,567,19.45
00:25:59,27556112404,113053941,20,532,19.53
00:26:27,21485048208,107703977,20,421,19.84
00:26:49,15671158315,119536860,20,309,20.05
00:27:05,19172522194,114683170,20,377,19.94
00:27:24,21827409778,115612829,20,424,19.68
00:27:47,26426110921,120869534,20,513,19.64
00:28:13,26022254928,115711935,20,500,19.44
00:28:40,16326678709,124087856,20,318,19.80
00:28:56,27463735564,117230401,20,529,19.48
00:29:24,14830631919,116781335,20,293,20.09
00:29:39,23565685455,112849340,20,460,19.76
