Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
19:01:15,44356179975,2390777708,26,654,15.92
19:02:00,35115869993,45997766,26,567,16.22
19:02:35,35186613810,28489413,26,560,15.98
19:03:11,29325016013,31384981,26,474,16.24
19:03:40,34504973248,31740920,26,553,16.09
19:04:15,23751303918,32289683,26,392,16.60
19:04:39,27722398099,28533091,26,457,16.56
19:05:07,25289218128,29228960,26,410,16.30
19:05:33,27874588218,30340528,26,458,16.52
19:06:01,31432344291,29248768,26,510,16.30
19:06:33,30682349133,38284359,26,498,16.31
19:07:04,29234069617,27702446,26,471,16.19
19:07:33,27480582113,28428569,26,447,16.34
19:08:01,37195179648,42798340,26,592,15.99
19:08:39,24876938422,40360586,26,408,16.49
19:09:04,29109009989,32913643,26,474,16.36
19:09:33,7452489466,40355630,26,130,17.73
19:09:41,30288527925,37346223,26,492,16.32
19:10:11,36461344981,36385666,26,582,16.03
19:10:48,26216942048,26941326,26,432,16.56
