Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
13:20:00,104191837775,22789486379,53,904,11.41
13:21:46,83616781653,25897091,53,958,11.48
13:23:09,93949728785,28411579,53,1061,11.31
13:24:44,86471320800,30976367,53,984,11.40
13:26:10,95665677954,29868477,53,1074,11.25
13:27:46,80719632229,25934299,53,917,11.38
13:29:07,84269806823,34405398,53,949,11.29
13:30:32,89507815072,26294942,53,1007,11.27
13:32:02,96922153357,35821062,53,1085,11.22
13:33:39,94715032187,28642817,53,1058,11.19
13:35:14,84243524393,34015173,53,954,11.35
13:36:38,85135701040,32237543,53,974,11.46
13:38:04,86552739950,34770852,53,976,11.30
13:39:31,95959300931,25377747,53,1081,11.29
13:41:07,87748417137,28460939,53,994,11.35
13:42:35,87848794989,24854460,53,995,11.35
13:44:03,82399417832,26321666,53,937,11.40
13:45:26,78560910537,28424520,53,897,11.44
13:46:45,90288169733,25720424,53,1025,11.37
13:48:15,95446751516,34459340,53,1068,11.21
13:49:51,81595679259,32753580,53,926,11.38
13:51:13,76300848253,31622085,53,876,11.51
13:52:29,101491331467,27009812,53,1135,11.20
13:54:11,86366186517,27649317,53,978,11.35
13:55:38,79865601261,36563516,53,905,11.36
13:56:58,80334090917,31449079,53,912,11.38
13:58:19,80055160840,25957316,53,913,11.43
13:59:39,98561129077,30608572,53,1103,11.21
14:01:18,82035754064,30377569,53,933,11.40
14:02:40,100932474068,32708047,53,1131,11.23
14:04:21,80308979203,38432983,53,913,11.40
14:05:42,88488097950,26748539,53,1007,11.40
14:07:11,89033058105,25194425,53,1010,11.37
14:08:40,91680276038,28058482,53,1032,11.28
14:10:12,83615343632,29242209,53,947,11.35
14:11:36,80079256094,37365186,53,919,11.50
14:12:56,83178762448,27572883,53,950,11.44
14:14:20,89408931976,33800738,53,1024,11.48
14:15:49,84822671580,26579692,53,965,11.40
14:17:14,83166171623,31673244,53,941,11.34
14:18:38,80693593855,35538334,53,923,11.46
14:19:59,82366267565,26078505,53,930,11.31
