Time,Temp,CPU_Load,RAM_MB
06:51:02,24.0,7,1110
06:51:09,26.0,0,1673
06:51:13,27.0,0.9,1678
06:51:19,27.0,0,1686
06:51:25,29.0,0,1684
06:51:31,29.0,0.5,1687
06:51:35,29.0,0,1694
06:51:41,29.0,0.5,1686
06:51:49,31.0,0.5,1702
06:51:54,29.0,0.9,1691
06:51:59,31.0,0.9,1689
06:52:09,31.0,0.5,1700
06:52:13,31.0,0.5,1720
06:52:23,31.0,0.5,1700
06:52:28,31.0,0.5,1701
06:52:33,32.0,0,1697
06:52:38,32.0,0.9,1703
06:52:43,32.0,5.5,1710
06:52:50,32.0,0,1729
06:52:51,31.0,0.5,1738
06:52:56,33.0,0.5,1718
06:53:04,33.0,0.9,1712
06:53:06,33.0,0.5,1717
06:53:11,32.0,0,1728
06:53:16,31.0,0.5,1731
06:53:21,33.0,0.5,1741
06:53:28,33.0,0,1719
06:53:33,33.0,0,1729
06:53:38,33.0,0.9,1735
06:53:42,33.0,0,1732
06:53:47,33.0,0.5,1741
06:53:54,33.0,0.9,1724
06:54:00,33.0,0.5,1741
06:54:05,33.0,0,1735
06:54:14,34.0,0.5,1730
06:54:18,33.0,0.5,1747
06:54:26,33.0,0.5,1747
06:54:36,32.0,0,1730
06:54:39,33.0,0,1734
06:54:43,33.0,0.5,1737
06:54:48,33.0,0.5,1731
06:54:53,33.0,0.5,1738
06:54:59,32.0,0.5,1747
06:55:03,33.0,0.9,1738
06:55:10,33.0,0.5,1721
06:55:15,34.0,0.5,1745
06:55:20,33.0,0.5,1760
06:55:25,33.0,5.5,1752
06:55:29,32.0,0,1736
06:55:36,33.0,0.5,1754
06:55:38,33.0,0,1755
06:55:44,33.0,0.9,1752
06:55:54,33.0,0.9,1757
06:56:04,32.0,0,1776
06:56:07,33.0,0.5,1762
06:56:10,33.0,0.5,1766
06:56:16,34.0,0.5,1772
06:56:21,33.0,0.5,1771
06:56:25,33.0,0.5,1773
06:56:30,33.0,0.5,1778
06:56:35,33.0,0.5,1779
06:56:41,34.0,0.5,1792
06:56:55,33.0,0.5,1784
06:57:02,32.0,0.5,1781
06:57:06,32.0,0,1775
06:57:12,33.0,0.9,1782
06:57:19,33.0,0.5,1783
06:57:26,33.0,5.3,1806
06:57:31,33.0,0.5,1801
06:57:38,32.0,0,1772
06:57:43,33.0,0.9,1778
06:57:48,33.0,0,1781
06:57:52,32.0,0,1782
06:57:56,32.0,0,1776
06:58:02,33.0,6,1762
06:58:10,33.0,0.5,1776
06:58:21,32.0,0.5,1762
06:58:26,32.0,0.9,1779
06:58:31,33.0,0.5,1772
06:58:38,33.0,0.9,1784
06:58:43,33.0,0.5,1789
06:58:48,33.0,0,1933
06:58:55,33.0,0.5,1909
06:58:58,33.0,0,1784
06:59:05,32.0,0.5,1799
06:59:10,33.0,0.5,1796
06:59:16,33.0,0,1803
06:59:27,33.0,0.9,1803
06:59:32,33.0,0,1811
06:59:39,33.0,0.9,1791
06:59:43,33.0,0,1796
06:59:51,33.0,0.9,1777
06:59:56,32.0,0.5,1783
07:00:00,32.0,0,1798
07:00:07,33.0,0,1803
07:00:13,33.0,0.9,1805
07:00:18,34.0,0.5,1805
07:00:24,34.0,0.5,1797
07:00:29,33.0,0,1806
07:00:34,33.0,0,1813
07:00:39,33.0,1.8,1807
07:00:46,33.0,0.5,1815
07:00:51,33.0,0.9,1805
07:00:56,33.0,0.5,1808
07:01:01,33.0,0.5,1815
