Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
11:04:07,35582646379,1598327611,19,450,13.47
11:04:43,32367961245,24218231,19,434,13.46
11:05:15,27754361162,30612718,19,373,13.50
11:05:43,28855915848,15974069,19,388,13.50
11:06:12,30714261754,25464344,19,416,13.60
11:06:43,35625265106,22869166,19,477,13.44
11:07:19,30656573640,21313872,19,412,13.49
11:07:50,31775269695,27723731,19,427,13.49
11:08:22,31519642085,25924224,19,424,13.51
11:08:54,31783408569,23823322,19,427,13.49
11:09:26,37791625505,18441146,19,504,13.38
11:10:04,29643961600,19007061,19,400,13.55
11:10:34,33487466660,18963210,19,452,13.55
11:11:08,33595700154,19059444,19,452,13.50
11:11:42,39053813765,25862143,19,521,13.38
11:12:21,32632641813,20046200,19,439,13.50
11:12:54,30678865616,30014081,19,413,13.52
11:13:25,44343043898,22042658,19,590,13.34
