Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
06:03:01,7606651337,808170831,42,690,105.99
06:03:09,2631809784,91861283,42,269,108.90
06:03:12,5265223916,83908733,42,533,105.54
06:03:17,6873074514,78421467,42,689,103.76
06:03:24,3353906752,89771855,42,346,108.80
06:03:28,3405940142,92931714,42,349,108.04
06:03:32,4236695899,98732105,42,435,107.94
06:03:36,5414114699,102610295,42,550,106.17
06:03:42,3538088032,75939948,42,363,107.71
06:03:46,6768555548,95715055,42,679,104.14
06:03:53,3375349784,86753796,42,349,109.40
06:03:56,2761716561,93581337,42,282,108.88
06:03:59,3774216883,83143170,42,384,106.96
06:04:03,7319891260,99722047,42,725,102.83
06:04:11,4995194627,108870447,42,513,107.54
06:04:16,5101788700,80935187,42,522,106.53
06:04:21,5058475099,92114767,42,516,106.39
06:04:27,5195082682,95860134,42,525,105.84
06:04:32,3542060912,92460252,42,362,107.73
06:04:36,7737699338,89627220,42,766,102.40
06:04:44,5146867394,86492702,42,519,105.06
06:04:49,5875071338,86683531,42,589,104.24
06:04:56,6434417268,94482650,42,645,104.20
06:05:02,4482955434,80361920,42,464,108.15
06:05:07,4305025613,101232018,42,438,106.82
06:05:12,6929407500,78710161,42,695,103.88
06:05:19,2776176463,85261745,42,291,111.06
06:05:22,4198976427,90852193,42,439,109.75
06:05:26,430623928,74853085,42,39,118.18
06:05:27,4760958942,85847571,42,485,106.35
06:05:32,6718074968,86135710,42,671,103.54
06:05:39,4658980252,88659858,42,474,106.51
06:05:44,4700952664,75577242,42,481,106.65
06:05:49,4911967006,76266177,42,499,105.72
06:05:54,5312338878,92502090,42,537,105.29
06:06:00,3805557401,87047106,42,388,107.18
06:06:04,6133905719,91617737,42,614,104.06
06:06:10,3195899311,88187853,42,328,108.60
06:06:13,5714195884,81691467,42,578,105.28
06:06:19,5323655307,95038695,42,538,105.49
06:06:25,4633451324,86198189,42,473,106.77
06:06:30,4913933456,83477217,42,503,106.79
06:06:35,3701068540,85832185,42,381,108.54
06:06:39,3791177071,82196682,42,385,106.64
06:06:43,5471590533,73671966,42,550,104.36
06:06:49,3995909376,88317341,42,408,107.08
06:06:53,5005845933,86824336,42,512,106.66
06:06:58,8212161741,82009832,42,807,101.38
06:07:07,4152046654,77310047,42,423,106.54
06:07:11,4007733106,82617419,42,408,106.52
06:07:15,3779184061,82282817,42,385,106.94
06:07:19,2307477264,79369708,42,238,110.18
06:07:22,8263626468,94117825,42,820,102.75
06:07:31,8123394631,86441974,42,799,101.65
06:07:39,6895848009,87979422,42,685,103.00
06:07:46,5182323191,93656786,42,522,105.03
06:07:52,7480209582,95646895,42,740,102.49
06:07:59,4676384975,92386158,42,476,106.48
06:08:04,6529621062,91685481,42,651,103.49
06:08:11,5083205429,84545222,42,518,106.36
06:08:16,4765682170,82330464,42,487,106.79
06:08:21,5069234619,85277170,42,514,105.54
06:08:27,5441975457,99215368,42,551,105.75
06:08:32,3034930322,94374253,42,314,109.79
06:08:36,7722452247,79058380,42,767,102.67
06:08:44,4290401711,78894766,42,442,107.54
06:08:48,4608972645,88509578,42,470,106.57
06:08:53,4906446908,79122534,42,503,106.79
06:08:58,6387983756,80220510,42,643,104.21
06:09:05,1013331850,85596322,42,102,114.60
06:09:06,6516294679,82818999,42,654,104.14
06:09:13,4013309132,87438582,42,410,107.04
06:09:17,5191485223,79405557,42,528,105.81
06:09:23,3769999155,117151614,42,385,108.14
06:09:27,5703393502,83443314,42,574,104.74
06:09:33,3469467349,92982598,42,355,107.90
06:09:36,2163590789,85366360,42,218,108.45
06:09:39,4097130877,91519046,42,417,106.92
06:09:43,3760114550,77468311,42,384,106.96
06:09:47,3440708662,89928161,42,353,108.28
06:09:51,3827261354,85531355,42,394,107.94
06:09:55,3617657128,88632564,42,370,107.55
06:09:59,6390032182,90558344,42,636,103.41
06:10:05,8669516067,82260294,42,855,101.78
06:10:14,2905176098,98324374,42,303,111.39
06:10:18,4504268540,84255828,42,466,108.12
06:10:22,3560100090,86200378,42,370,109.46
06:10:26,5049536260,91558645,42,522,107.85
06:10:31,2546445058,96704565,42,262,110.08
06:10:34,4615214067,86099065,42,469,106.10
06:10:39,5631720584,76712787,42,569,104.98
06:10:45,4549353232,94821310,42,471,108.52
06:10:50,6696703658,84371322,42,668,103.40
06:10:57,8527469174,95196260,42,840,101.94
06:11:06,5484591134,77045083,42,555,105.11
06:11:11,3130099461,119493882,42,319,108.87
06:11:15,3582601775,109972464,42,366,108.28
06:11:19,4652566306,111359794,42,472,106.54
06:11:23,4152531130,81134270,42,422,106.29
06:11:28,3602675296,100097200,42,369,108.21
06:11:32,5040102833,85098346,42,520,107.66
06:11:37,6002217060,78240444,42,601,103.97
06:11:43,7587054257,82888348,42,754,102.86
06:11:51,4189630789,101952641,42,425,106.78
06:11:56,7358995630,85878292,42,730,102.81
06:12:03,5791126228,88014201,42,583,104.85
06:12:09,3841265772,82690540,42,398,108.74
06:12:13,3724187307,85704675,42,383,107.88
06:12:17,3037781906,78221221,42,314,109.02
06:12:21,2833787140,88873875,42,289,108.23
06:12:24,4396715243,86544487,42,447,106.42
06:12:28,2069136862,91695297,42,209,108.85
06:12:31,1809555241,78368370,42,187,111.30
06:12:33,5730595178,85410754,42,575,104.35
06:12:39,6171718041,96213706,42,620,104.37
06:12:45,4122455701,79925009,42,422,107.10
06:12:50,7394628347,88371117,42,733,102.66
06:12:57,3732921234,87152448,42,383,107.88
