Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
21:37:25,87961006881,27306511635,23,634,10.68
21:38:54,60189971919,180600101,23,639,10.69
21:39:55,64556672832,161283991,23,688,10.73
21:41:00,64244823118,173389538,23,690,10.81
21:42:04,55439637343,177877733,23,595,10.81
21:43:00,48458400865,171226362,23,519,10.80
21:43:49,62686484926,184077400,23,662,10.63
21:44:52,57258379077,173911967,23,611,10.75
21:45:49,49047003449,164519089,23,535,10.99
21:46:39,59664138602,164154837,23,631,10.65
21:47:38,55237530959,162138882,23,595,10.85
21:48:34,56925259679,171592173,23,613,10.85
21:49:31,63241127510,164388803,23,667,10.62
21:50:35,53054932421,171349909,23,568,10.79
21:51:28,54748822163,173383788,23,583,10.73
21:52:23,66937160264,177600653,23,704,10.58
21:53:30,62927149162,173144367,23,663,10.61
21:54:34,61631872640,167286885,23,652,10.65
21:55:36,46479092296,163611177,23,495,10.73
21:56:22,60368405663,165557010,23,643,10.72
21:57:23,56421787387,176653143,23,595,10.62
21:58:20,73053814298,163120608,23,763,10.51
21:59:33,53147165683,167617355,23,566,10.73
22:00:26,60925746859,166350547,23,645,10.66
22:01:28,66893522419,164981281,23,704,10.59
22:02:35,66439323667,165811790,23,698,10.57
22:03:42,60708276029,161807513,23,644,10.68
22:04:43,58040590390,162531408,23,619,10.74
22:05:41,61229401473,170295212,23,656,10.79
22:06:42,52469229884,162008179,23,562,10.79
22:07:35,63005165689,173160315,23,663,10.59
22:08:38,55500875247,176209545,23,589,10.69
22:09:34,58118401704,175839109,23,613,10.62
22:10:33,65398467735,161166915,23,688,10.59
22:11:38,58707787786,168855304,23,625,10.72
22:12:37,67518007359,165744953,23,713,10.63
22:13:45,63465334220,165422530,23,674,10.69
22:14:49,66928449944,173875985,23,710,10.68
22:15:56,53659081837,164959666,23,572,10.74
22:16:50,73034279138,172779603,23,778,10.72
22:18:03,67953796828,164555221,23,714,10.57
22:19:12,58676952266,175198786,23,628,10.78
22:20:11,65335477616,160526253,23,688,10.60
22:21:16,50061615125,168512487,23,533,10.73
22:22:07,57738889266,171112155,23,623,10.87
22:23:05,60501433212,176318794,23,645,10.73
22:24:05,62488292441,170604891,23,666,10.73
22:25:08,53164354206,162740885,23,567,10.74
22:26:02,53870534350,161377812,23,574,10.73
22:26:56,64587452010,173402702,23,680,10.60
22:28:01,57539488715,176561372,23,609,10.66
22:28:58,49023940158,164524886,23,524,10.77
22:29:48,63812019024,172559238,23,672,10.60
22:30:52,51372734241,171763906,23,545,10.69
22:31:43,57226643186,174068308,23,606,10.67
22:32:41,47758853023,165269530,23,508,10.72
22:33:29,52281996179,171412614,23,554,10.68
22:34:22,59672358692,165578047,23,631,10.65
22:35:22,58395589471,177676371,23,619,10.68
22:36:20,51771444096,175657231,23,552,10.74
22:37:12,55090763322,170209511,23,581,10.62
