Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
15:01:43,93447772676,26852248944,23,695,10.64
15:03:17,60699103056,175975521,23,643,10.67
15:04:18,61750042429,167226062,23,658,10.73
15:05:20,62047069467,169540146,23,655,10.63
15:06:23,51684228041,169099767,23,549,10.70
15:07:15,66691956233,168051666,23,709,10.70
15:08:22,61544927895,166137461,23,655,10.71
15:09:23,65421942695,164941406,23,690,10.62
15:10:29,70039231435,165431014,23,733,10.53
15:11:39,52258479615,161288782,23,559,10.78
15:12:32,59997054180,164920419,23,633,10.62
15:13:32,67141800543,164020629,23,709,10.63
15:14:40,62408664428,160210800,23,659,10.63
15:15:42,63970304318,164170020,23,676,10.64
15:16:47,49912391768,161003039,23,537,10.84
15:17:37,56669928185,163259338,23,603,10.72
15:18:34,58673490961,168024818,23,618,10.61
15:19:33,53841160912,173417535,23,571,10.69
15:20:27,65773461938,166532806,23,693,10.60
15:21:33,56374589190,163970129,23,603,10.77
15:22:30,68210951201,164571869,23,720,10.62
15:23:38,47797333689,166346055,23,510,10.75
15:24:26,74249341175,173180122,23,776,10.51
15:25:41,53187216442,169673835,23,572,10.83
15:26:34,57916715135,160970540,23,614,10.68
15:27:32,55152298247,165848893,23,585,10.68
15:28:28,54730698667,160934588,23,577,10.62
15:29:23,58592872505,181865972,23,621,10.68
15:30:22,47289077420,163821247,23,505,10.76
15:31:09,55152649735,170542432,23,585,10.68
15:32:05,55162582316,171337358,23,585,10.68
15:33:00,56345951955,170379242,23,612,10.94
15:33:57,63899350978,160757062,23,677,10.66
15:35:01,59278779386,162950242,23,629,10.68
15:36:01,58355232816,170416583,23,617,10.65
15:36:59,58726466569,164374848,23,617,10.58
15:37:58,58784537325,161123083,23,626,10.72
15:38:57,66547836158,164209877,23,705,10.66
15:40:04,56793305004,174147155,23,599,10.62
15:41:01,65452289301,166779941,23,689,10.60
15:42:07,73941226083,165566304,23,776,10.56
15:43:21,70390509309,156195100,23,746,10.66
15:44:32,54537851001,160676327,23,576,10.64
15:45:27,51421381819,169640932,23,547,10.72
15:46:18,53063056152,172906626,23,561,10.65
15:47:12,78736985487,172437933,23,822,10.50
15:48:31,57602343357,167838184,23,609,10.65
15:49:29,75453967502,166167428,23,787,10.49
15:50:44,67682357472,168215596,23,710,10.56
15:51:52,61947043587,167564214,23,656,10.66
15:52:55,67149021870,169371711,23,708,10.61
15:54:02,63849215638,166529676,23,673,10.61
15:55:06,54145506888,173765716,23,572,10.64
15:56:01,46538928166,156748491,23,497,10.76
15:56:47,57039177144,166496975,23,610,10.77
15:57:45,60541892644,161139249,23,645,10.73
15:58:46,58660587609,176786180,23,622,10.68
15:59:44,52456471937,178328852,23,558,10.72
16:00:37,55788729611,168528482,23,591,10.67
16:01:33,47127907427,158255234,23,503,10.76
