Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
11:17:21,7895922469,3591298754,42,336,84.21
11:17:30,6341143035,143658953,42,496,82.52
11:17:37,3136833059,145514188,42,254,87.88
11:17:40,4107309267,133822385,42,336,87.27
11:17:45,4755168746,143739277,42,374,83.66
11:17:50,4862211461,145632961,42,383,83.80
11:17:55,6417975924,139060539,42,498,81.63
11:18:02,6236920308,143683366,42,484,81.75
11:18:08,6183970659,137221053,42,480,81.77
11:18:15,4286317326,140618755,42,339,84.32
11:18:19,8515865371,142204728,42,653,80.12
11:18:28,6303887135,145238411,42,490,81.93
11:18:35,7700808864,132464486,42,598,81.36
11:18:43,3801166949,139559864,42,296,83.85
11:18:47,1791317056,137137602,42,137,86.16
11:18:49,7404799182,138303254,42,572,81.01
11:18:56,11482020520,133632487,42,875,79.25
11:19:08,4267946950,137432482,42,336,84.00
11:19:13,5561643583,133881825,42,433,82.16
11:19:19,5155640798,143629090,42,402,82.71
11:19:24,7142860988,148703720,42,551,81.14
11:19:31,6116671813,135257927,42,476,81.92
11:19:38,4870611650,146253104,42,384,83.84
11:19:43,4442101390,148766558,42,351,84.37
11:19:48,7472554440,137540989,42,584,81.90
11:19:55,10141973608,135837210,42,794,81.60
11:20:06,7193583869,134649147,42,557,81.19
11:20:13,5219484529,137709409,42,407,82.55
11:20:19,5443569364,148180619,42,426,83.04
11:20:25,4912658435,145710831,42,394,85.28
11:20:30,5475727514,155818323,42,427,82.75
11:20:36,5996990996,134429315,42,466,81.89
11:20:42,4381053796,143415858,42,348,84.87
11:20:47,6038954102,142699354,42,479,83.74
11:20:53,5227464238,140067205,42,407,82.55
11:20:58,7386201251,153734183,42,568,80.79
11:21:06,6313059467,141510557,42,490,81.80
11:21:13,5731329333,135279523,42,446,82.13
11:21:19,4702204528,134913521,42,369,83.29
11:21:24,9729370913,133635090,42,748,80.08
11:21:34,10314989613,135556978,42,808,81.61
11:21:44,3591226570,133216430,42,282,84.17
11:21:48,5983177920,134733794,42,470,82.74
11:21:54,5749349125,139572246,42,448,82.35
11:22:01,5393760202,134203974,42,421,82.54
11:22:06,5964057324,135995446,42,465,82.15
11:22:12,4678974497,144976152,42,366,83.37
11:22:17,3845123563,127803994,42,301,83.61
11:22:22,5737914228,147685788,42,449,82.68
11:22:28,5461764674,140315414,42,430,83.33
11:22:33,5500209027,142770098,42,436,83.84
