Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
17:37:01,112500390322,22169294888,53,914,10.40
17:38:55,98111270047,27034975,53,1015,10.36
17:40:33,99047923212,23637047,53,1021,10.33
17:42:13,96210360023,34282578,53,1007,10.49
17:43:49,103003921467,27481048,53,1068,10.39
17:45:33,93390969325,34348588,53,966,10.36
17:47:06,90368150261,40121147,53,950,10.54
17:48:37,89183623426,36925207,53,937,10.53
17:50:06,90464272126,36497948,53,938,10.39
17:51:37,91037713376,34011906,53,946,10.41
17:53:08,97060737251,24547716,53,1009,10.41
17:54:46,84100812362,28234364,53,882,10.51
17:56:10,109783850764,27985906,53,1134,10.35
17:58:00,98014000136,27677113,53,1022,10.45
17:59:39,101197581758,32771571,53,1044,10.34
18:01:20,89045532389,25329171,53,918,10.33
18:02:49,98411382918,31066402,53,1014,10.32
18:04:28,91285617245,29267838,53,951,10.44
18:06:00,84875487810,24606730,53,885,10.45
18:07:25,95576069666,28250458,53,987,10.35
18:09:01,96368107353,36273637,53,992,10.31
18:10:37,98157330175,29683641,53,1010,10.31
18:12:16,87915978657,25348625,53,916,10.44
18:13:44,89935651286,36775159,53,932,10.38
18:15:14,94386920052,27519043,53,977,10.37
18:16:49,96517381007,28622211,53,1002,10.40
18:18:26,91037688139,32646853,53,941,10.36
18:19:57,102606800481,28336322,53,1055,10.30
18:21:40,88249312912,32171905,53,915,10.39
18:23:09,89566619853,20447831,53,942,10.54
18:24:38,94102281981,31275973,53,979,10.42
18:26:13,97167818929,33746294,53,1001,10.32
18:27:50,91277131074,28898357,53,944,10.36
18:29:22,93727101676,34605100,53,967,10.34
18:30:56,104688947179,28267767,53,1080,10.33
18:32:41,98690513692,38632940,53,1020,10.36
18:34:20,96855733285,30025964,53,1003,10.37
18:35:57,103220428030,30384760,53,1068,10.36
