Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
18:50:35,22001475497,5288377671,20,374,23.07
18:50:57,13199705220,109268320,20,308,23.74
18:51:11,15733913821,96496567,20,358,23.08
18:51:27,22690497130,102634809,20,507,22.60
18:51:50,15338080579,103064411,20,352,23.29
18:52:05,18084821857,103535467,20,412,23.09
18:52:24,15227723365,87022048,20,347,23.11
18:52:39,20219624436,92361371,20,456,22.83
18:53:00,13281774925,103936189,20,301,23.04
18:53:13,22790357623,94966285,20,507,22.50
18:53:36,21700314975,93556935,20,487,22.70
18:53:58,15514788385,103088637,20,355,23.23
18:54:14,17768628802,91818117,20,402,22.91
18:54:32,16068013563,101567575,20,368,23.24
18:54:49,24252247614,100394062,20,540,22.51
18:55:13,17881048024,96901816,20,415,23.51
18:55:31,19406085046,96361803,20,440,22.95
18:55:51,24198464245,97359153,20,542,22.64
18:56:16,19607167806,99597590,20,446,23.04
18:56:35,21261815590,95195651,20,483,22.98
18:56:57,25938793793,106810752,20,576,22.45
18:57:23,12230504049,87733800,20,280,23.27
18:57:36,22561594922,101825053,20,503,22.55
18:57:59,22514831140,91903739,20,503,22.59
18:58:21,20555868449,101156690,20,463,22.80
18:58:42,17582038477,95141636,20,399,22.99
18:59:00,20023736798,86764960,20,452,22.83
18:59:20,17528289217,101688892,20,397,22.96
18:59:38,15923079091,86884168,20,362,23.04
18:59:54,20698880794,100157060,20,469,22.93
19:00:15,19606039456,100830238,20,441,22.77
