Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
16:08:46,46301084305,2373680071,19,504,11.73
16:09:32,36330538772,24344029,19,426,11.77
16:10:09,34420426122,26616249,19,406,11.85
16:10:44,37949789264,22820511,19,444,11.74
16:11:22,36055739342,29486674,19,421,11.73
16:11:58,41916092620,33230131,19,491,11.76
16:12:41,41833337652,35723337,19,487,11.68
16:13:23,35800754685,33094966,19,419,11.75
16:13:59,44541497767,29359707,19,520,11.71
16:14:44,25485490173,25536911,19,302,11.91
16:15:09,38002249524,28545461,19,448,11.83
16:15:48,49297283310,24960687,19,574,11.68
16:16:37,46359800461,29827290,19,539,11.67
16:17:24,43655108509,28786547,19,507,11.66
16:18:08,34393698233,28209811,19,403,11.76
16:18:42,36291444733,30567300,19,426,11.79
