Time,Temp,CPU_Load,RAM_MB
14:48:34,32.0,8.1,1110
14:49:16,32.0,0.5,3268
14:49:56,33.0,0.5,3252
14:50:37,32.0,1.4,3251
14:51:19,33.0,0.5,3249
14:51:51,32.0,0.5,3261
14:52:24,32.0,0.5,3265
14:53:00,32.0,0,3250
14:53:38,32.0,0.9,3270
14:54:08,32.0,0.5,3279
14:54:40,32.0,0.5,3253
14:55:12,33.0,0.9,3273
14:55:50,33.0,0.5,3275
14:56:28,33.0,0.5,3271
14:57:09,32.0,0.9,3277
14:57:44,31.0,0.9,3276
14:58:22,32.0,0.5,3284
14:59:01,32.0,0.9,3272
14:59:39,32.0,0.9,3283
15:00:23,33.0,0,3289
15:01:01,32.0,5.9,3325
15:01:38,33.0,0.5,3319
15:02:15,33.0,0,3328
15:02:51,32.0,0,3307
15:03:27,33.0,0.5,3317
15:04:05,31.0,0,3300
15:04:44,33.0,1.3,3308
15:05:20,32.0,0.5,3299
15:05:56,33.0,0,3295
15:06:30,32.0,5.5,3307
15:07:09,33.0,0,3292
15:07:47,32.0,0.9,3277
15:08:26,33.0,0.9,3296
15:09:05,32.0,0.5,3303
15:09:39,32.0,0,3299
15:10:13,33.0,0,3301
15:10:49,33.0,0.9,3304
15:11:24,32.0,0,3305
15:11:59,33.0,0.9,3314
15:12:35,32.0,0.5,3303
15:13:11,33.0,0,3308
15:13:48,33.0,0,3316
15:14:27,31.0,0.5,3309
15:15:01,33.0,0.5,3315
15:15:40,33.0,0.5,3301
15:16:21,32.0,0.5,3310
15:17:01,33.0,0.5,3307
15:17:36,33.0,0,3306
15:18:04,32.0,0.5,3308
15:18:38,33.0,0.5,3304
15:19:16,32.0,0.9,3296
15:19:57,31.0,0.5,3318
15:20:35,31.0,0.5,3314
15:21:09,32.0,0.9,3312
15:21:48,32.0,1.4,3304
15:22:25,32.0,0.5,3303
15:23:02,32.0,0.5,3315
15:23:37,33.0,0.5,3307
15:24:11,33.0,0.9,3325
15:24:46,31.0,0,3324
15:25:21,31.0,0.5,3315
15:26:03,32.0,0,3317
15:26:38,31.0,0,3298
15:27:13,33.0,0,3312
15:27:45,33.0,0.9,3315
15:28:20,32.0,0.5,3316
15:28:54,31.0,0.9,3315
15:29:30,32.0,0.5,3314
15:30:08,33.0,0.5,3297
15:30:38,31.0,0.9,3311
15:31:11,32.0,0.5,3317
15:31:45,31.0,0.5,3319
15:32:24,32.0,0,3314
15:32:59,31.0,0.5,3324
15:33:39,32.0,0,3324
