Time,Watts
12:25:50,35
12:25:51,38
12:25:52,38
12:25:53,50
12:25:54,64
12:25:55,64
12:25:56,47
12:25:57,53
12:25:58,53
12:25:59,63
12:26:00,63
12:26:01,63
12:26:02,64
12:26:03,64
12:26:04,64
12:26:05,56
12:26:06,64
12:26:07,64
12:26:08,64
12:26:09,65
12:26:10,65
12:26:11,65
12:26:12,67
12:26:13,67
12:26:14,68
12:26:15,64
12:26:16,64
12:26:17,52
12:26:18,64
12:26:19,65
12:26:20,65
12:26:21,51
12:26:22,64
12:26:23,64
12:26:24,64
12:26:25,53
12:26:26,53
12:26:27,63
12:26:28,52
12:26:29,52
12:26:30,65
12:26:31,65
12:26:32,65
12:26:33,61
12:26:34,64
12:26:35,64
12:26:36,64
12:26:37,64
12:26:38,64
12:26:39,52
12:26:40,65
12:26:41,65
12:26:42,65
12:26:43,64
12:26:44,64
12:26:45,63
12:26:46,51
12:26:47,51
12:26:48,64
12:26:49,64
12:26:50,64
12:26:51,58
12:26:52,64
12:26:53,64
12:26:54,64
12:26:55,64
12:26:56,64
12:26:57,64
12:26:58,54
12:26:59,54
12:27:00,65
12:27:01,64
12:27:03,64
12:27:04,63
12:27:05,51
12:27:06,64
12:27:07,64
12:27:08,64
12:27:09,60
12:27:10,60
12:27:11,63
12:27:12,64
12:27:13,64
12:27:14,63
12:27:15,63
12:27:16,63
12:27:17,63
12:27:18,55
12:27:19,55
12:27:20,64
12:27:21,63
12:27:22,63
12:27:23,63
12:27:24,63
12:27:25,63
12:27:26,64
12:27:27,64
12:27:28,64
12:27:29,63
12:27:30,63
12:27:31,63
12:27:32,60
12:27:33,64
12:27:34,64
12:27:35,63
12:27:36,64
12:27:37,64
12:27:38,63
12:27:39,51
12:27:40,51
12:27:41,65
12:27:42,64
12:27:43,64
12:27:44,63
12:27:45,55
12:27:46,55
12:27:47,64
12:27:48,64
12:27:49,64
12:27:50,51
12:27:51,64
12:27:52,64
12:27:53,65
12:27:54,52
12:27:55,64
12:27:56,64
12:27:57,64
12:27:58,63
12:27:59,63
12:28:00,51
12:28:01,63
12:28:02,63
12:28:03,64
12:28:04,63
12:28:05,63
12:28:06,63
12:28:07,63
12:28:08,63
12:28:09,63
12:28:10,64
12:28:11,64
12:28:12,59
12:28:13,64
12:28:14,64
12:28:15,63
12:28:16,63
12:28:17,63
12:28:18,63
12:28:19,63
12:28:20,63
12:28:21,64
12:28:22,65
12:28:23,65
12:28:24,64
12:28:25,53
12:28:27,53
12:28:28,65
12:28:29,64
12:28:30,64
12:28:31,64
12:28:32,51
12:28:33,64
12:28:34,64
12:28:35,63
12:28:36,64
12:28:37,64
12:28:38,64
12:28:39,64
12:28:40,64
12:28:41,65
12:28:42,52
12:28:43,52
12:28:44,64
12:28:45,64
12:28:46,64
12:28:47,53
12:28:48,65
12:28:49,65
12:28:50,65
12:28:51,65
12:28:52,65
12:28:53,65
12:28:54,53
12:28:55,53
12:28:56,64
12:28:57,64
12:28:58,64
12:28:59,63
12:29:00,63
12:29:01,63
12:29:02,63
12:29:03,60
12:29:04,60
12:29:05,64
12:29:06,64
12:29:07,64
12:29:08,63
12:29:09,51
12:29:10,51
12:29:11,64
12:29:12,63
12:29:13,63
12:29:14,64
12:29:15,64
12:29:16,63
12:29:17,63
12:29:18,60
12:29:19,64
12:29:20,64
12:29:21,52
12:29:22,66
12:29:23,66
12:29:24,63
12:29:25,53
12:29:26,53
12:29:27,65
12:29:28,52
12:29:29,52
12:29:30,63
12:29:31,64
12:29:32,64
12:29:33,64
12:29:34,64
12:29:35,64
12:29:36,64
12:29:37,64
12:29:38,64
12:29:39,58
12:29:40,64
12:29:41,64
12:29:42,63
12:29:43,63
12:29:44,63
12:29:45,63
12:29:46,63
12:29:47,63
12:29:48,63
12:29:49,62
12:29:50,62
12:29:51,59
12:29:53,63
12:29:54,63
12:29:55,63
12:29:56,63
12:29:57,63
12:29:58,64
12:29:59,66
12:30:00,66
12:30:01,53
12:30:02,64
12:30:03,64
12:30:04,64
12:30:05,64
12:30:06,64
12:30:07,64
12:30:08,64
12:30:09,58
12:30:10,58
12:30:11,65
12:30:12,65
12:30:13,65
12:30:14,65
12:30:15,61
12:30:16,61
12:30:17,64
12:30:18,63
12:30:19,63
12:30:20,63
12:30:21,63
12:30:22,63
12:30:23,51
12:30:24,64
12:30:25,64
12:30:26,63
12:30:27,62
12:30:28,62
12:30:29,65
12:30:30,64
12:30:31,64
12:30:32,64
12:30:33,64
12:30:34,64
12:30:35,64
12:30:36,65
12:30:37,65
12:30:38,53
12:30:39,64
