Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
11:55:53,53496741075,10936500717,21,747,17.93
11:56:48,40169639207,201259256,21,708,17.94
11:57:29,55161782553,199336845,21,951,17.51
11:58:24,39244355741,194547502,21,695,18.02
11:59:04,37163028797,195730373,21,658,18.02
11:59:41,44436373017,194668335,21,787,18.01
12:00:26,40732762700,189885522,21,739,18.46
12:01:07,39557716312,190573124,21,707,18.18
12:01:47,40152124846,188775350,21,711,18.01
12:02:27,37325768133,190696822,21,670,18.27
12:03:05,34584769254,191915588,21,624,18.38
12:03:40,37223362232,190488881,21,663,18.13
12:04:17,37373174874,191776603,21,667,18.16
12:04:55,38601653260,192659015,21,693,18.27
12:05:34,41086114592,190064637,21,728,18.02
12:06:15,40139271631,200540649,21,709,17.97
12:06:56,37835161442,193594387,21,674,18.13
12:07:34,39239589777,191742068,21,695,18.02
12:08:13,42093483183,212802669,21,742,17.94
12:08:56,50582088152,187359327,21,882,17.71
12:09:47,40449893865,197816831,21,721,18.13
12:10:28,44499239808,196328705,21,786,17.96
12:11:12,43557320378,195418975,21,778,18.16
12:11:56,41332722691,191530065,21,738,18.16
12:12:38,39988931713,190442834,21,711,18.09
12:13:18,41881553648,194024282,21,742,18.02
12:14:00,37431467416,197468820,21,675,18.36
12:14:38,49680220908,198371487,21,865,17.69
12:15:28,39473062853,196520665,21,700,18.05
12:16:08,39046066606,202142118,21,692,18.04
12:16:47,32163687871,190984546,21,576,18.25
12:17:20,38051128802,186730680,21,676,18.08
12:17:58,42135617937,193928033,21,741,17.88
12:18:40,33186331466,195011864,21,593,18.21
12:19:14,36531436515,201267026,21,647,18.04
12:19:51,38525699045,195847650,21,683,18.04
12:20:30,58568419202,190884373,21,1002,17.36
12:21:28,43185758188,188858911,21,759,17.87
12:22:12,42399237661,197301739,21,766,18.38
12:22:55,36229608415,192842464,21,649,18.24
12:23:31,36937671119,198251644,21,657,18.11
12:24:08,35170511507,192903081,21,629,18.21
12:24:44,35577284056,189109410,21,637,18.23
12:25:20,34082107220,197758699,21,605,18.08
12:25:54,37168049781,197802715,21,660,18.08
12:26:32,40324888970,189128519,21,715,18.04
12:27:12,37049992646,194743560,21,664,18.25
12:27:50,37208356034,201221768,21,668,18.28
12:28:27,40316889521,194319496,21,713,17.99
12:29:08,41354333609,194271244,21,728,17.90
12:29:49,43701129509,186274028,21,772,17.96
12:30:33,41640440854,208421344,21,739,18.05
12:31:15,40880818998,192625819,21,728,18.12
12:31:57,42636669895,202108571,21,752,17.94
12:32:40,43899498241,194888021,21,771,17.86
12:33:24,49010426049,200278317,21,856,17.75
12:34:13,35690415918,193304214,21,636,18.15
12:34:49,41041960501,198175853,21,724,17.95
12:35:30,37243459171,190941269,21,671,18.34
12:36:08,37577477499,194237644,21,674,18.26
12:36:46,39557139675,192309544,21,697,17.93
12:37:26,43074061803,199205195,21,758,17.90
12:38:09,40439282515,197528706,21,715,17.99
12:38:50,45122072605,185860053,21,796,17.93
12:39:35,34443219627,196939247,21,612,18.10
12:40:10,38522035378,203581501,21,688,18.18
12:40:49,39662466310,203571491,21,703,18.04
12:41:29,39266299234,198859930,21,694,17.99
12:42:08,45551349527,190911876,21,796,17.76
12:42:54,42505420856,201660568,21,750,17.95
12:43:37,43543183314,185121421,21,763,17.81
12:44:21,39237838611,187376751,21,695,18.02
12:45:00,33068756097,185550038,21,591,18.20
12:45:34,40525015909,200910509,21,716,17.98
12:46:15,37807304669,193279313,21,673,18.12
12:46:53,35696849749,196492652,21,635,18.12
12:47:29,42281291799,190949774,21,749,18.01
12:48:11,38037297874,196832268,21,676,18.09
12:48:50,41989874780,194591832,21,743,18.00
12:49:32,34223107300,204003733,21,610,18.17
12:50:07,34954313726,202377431,21,624,18.19
12:50:42,49073932462,207340774,21,855,17.70
12:51:31,41037543350,208779826,21,724,17.95
12:52:12,37765377902,193397433,21,673,18.14
12:52:51,40943512725,190828258,21,728,18.09
12:53:32,34136059549,198813326,21,610,18.21
12:54:06,46663982354,190428798,21,820,17.86
12:54:53,38509910533,190237551,21,685,18.10
12:55:32,43788175729,202045477,21,773,17.95
12:56:16,35941138336,188444057,21,650,18.41
