Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
19:53:38,64275285904,46525542543,20,394,22.88
19:54:44,5091181544,112250356,20,117,23.87
19:54:49,30274703994,92099912,20,672,22.40
19:55:19,16875463431,92512876,20,389,23.36
19:55:37,30902836628,94761248,20,680,22.21
19:56:08,20658310650,97942336,20,463,22.68
19:56:29,34986857352,91672607,20,763,22.00
19:57:04,18716498950,93548202,20,423,22.88
19:57:23,26083063120,93250856,20,583,22.57
19:57:49,16705390864,104174518,20,379,23.01
19:58:06,14789399368,89110624,20,340,23.31
19:58:21,16562865940,101516346,20,380,23.27
19:58:38,17783428419,100877104,20,403,22.97
19:58:56,17558112450,90520436,20,405,23.36
19:59:14,19551060080,91299960,20,443,22.94
19:59:34,20587120810,94444023,20,464,22.80
19:59:55,15505688238,89241149,20,358,23.42
20:00:11,18495694012,103566548,20,420,23.01
20:00:30,19378745636,98424210,20,440,22.98
20:00:49,22925099341,98228617,20,516,22.77
20:01:12,14380599292,96669509,20,325,22.95
20:01:27,21571566683,98110710,20,487,22.85
20:01:49,25611698125,93766267,20,571,22.53
20:02:15,14108658606,99475592,20,323,23.25
20:02:29,19204165091,100118216,20,434,22.89
20:02:49,18603641619,95066604,20,422,22.98
20:03:08,18920388967,100262307,20,427,22.87
20:03:27,22797217806,88410005,20,511,22.67
20:03:50,16773866059,92969178,20,386,23.33
20:04:07,20347457332,104311255,20,460,22.89
20:04:28,23670739360,109535435,20,526,22.47
20:04:52,16311079968,91945062,20,369,22.93
20:05:08,22982727739,92138482,20,518,22.78
20:05:31,27772547351,98647495,20,614,22.33
20:06:00,38421411232,94722360,20,830,21.79
20:06:38,17959273515,90424877,20,410,23.12
20:06:56,16288675188,105733051,20,372,23.17
20:07:13,22610449867,95512648,20,515,23.04
20:07:36,16046600123,88308376,20,368,23.24
20:07:52,20865286868,94096048,20,467,22.64
20:08:13,21835104704,93845387,20,490,22.70
20:08:36,20841376664,94511250,20,470,22.82
20:08:57,21307268953,96510061,20,476,22.60
20:09:18,16010811668,88913246,20,364,23.05
20:09:35,20462359413,99510169,20,457,22.61
20:09:55,19907490649,88623229,20,451,22.92
20:10:16,12375333251,100750833,20,287,23.60
20:10:28,30943318101,98386787,20,676,22.06
