Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
10:27:33,27742716761,1907110413,26,469,18.67
10:28:01,27444711016,36020739,26,506,18.53
10:28:28,30358956146,37532503,26,556,18.40
10:28:59,29334203185,30235398,26,538,18.43
10:29:29,28492292799,24909504,26,533,18.79
10:29:57,28352359329,22961830,26,526,18.63
10:30:26,23668495822,37987606,26,445,18.91
10:30:50,20293271650,27134494,26,385,19.08
10:31:11,25287051048,24032264,26,472,18.75
10:31:36,23393920023,32091726,26,437,18.78
10:32:00,24784621433,22620859,26,472,19.14
10:32:25,65578642947,30308937,26,1090,16.67
10:33:31,30912236662,28370822,26,570,18.52
10:34:02,28373587768,35215520,26,525,18.59
10:34:31,19436509301,23494962,26,369,19.09
10:34:50,44517862902,24933319,26,784,17.67
10:35:35,25511648786,29591844,26,472,18.59
10:36:01,35223520113,25378173,26,636,18.12
10:36:36,34899713914,29551962,26,628,18.07
10:37:12,25731640296,28260228,26,480,18.75
