Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
05:23:18,70521709174,27325463885,23,478,11.36
05:24:30,46848685585,150165546,23,527,11.33
05:25:17,58480354178,147241344,23,651,11.20
05:26:16,53171039104,155452639,23,591,11.19
05:27:10,59132863298,144272513,23,658,11.20
05:28:09,48527394383,146028704,23,545,11.31
05:28:58,46525647420,148959912,23,523,11.33
05:29:45,60862456111,139884212,23,679,11.22
05:30:46,57363072279,148671950,23,638,11.19
05:31:43,60515256049,150021158,23,675,11.22
05:32:44,47943372939,146476232,23,539,11.33
05:33:32,59362888501,147070140,23,669,11.34
05:34:32,56651370876,153932747,23,634,11.26
05:35:29,64344818728,146493681,23,727,11.37
05:36:34,56363686850,151149488,23,631,11.27
05:37:30,49117856686,152184928,23,547,11.22
05:38:20,50725749377,150609440,23,567,11.26
05:39:11,51045198548,141450255,23,574,11.32
05:40:02,64799253130,147735178,23,719,11.16
05:41:07,56458522695,148595484,23,629,11.22
05:42:04,55996207542,154624610,23,624,11.22
05:43:00,66618532850,156475505,23,736,11.11
05:44:07,47127063535,142926264,23,528,11.29
05:44:54,59519709733,137672582,23,662,11.19
05:45:54,60324884756,144305916,23,672,11.21
05:46:55,74687586373,139976938,23,827,11.13
05:48:10,55620722634,144690247,23,622,11.26
05:49:06,56072887788,146547390,23,632,11.35
05:50:02,62233029889,162834891,23,693,11.21
05:51:04,63816664671,145196328,23,705,11.11
05:52:08,62039826783,156885979,23,693,11.24
05:53:11,52802951573,155482883,23,590,11.25
05:54:04,53091558995,160220170,23,593,11.25
05:54:57,47983114801,142545790,23,538,11.29
05:55:46,70290054613,157662430,23,780,11.16
05:56:56,59406576792,152894263,23,659,11.16
05:57:56,57232158883,148012267,23,636,11.18
05:58:53,56244150360,146412044,23,627,11.22
05:59:50,45115041628,150402419,23,507,11.32
06:00:35,53707391973,147116341,23,601,11.26
06:01:29,52842258820,149240279,23,593,11.30
06:02:22,56756475101,152570294,23,639,11.33
06:03:19,49068567013,149323831,23,551,11.31
06:04:09,56042191462,156607782,23,624,11.21
06:05:05,58730067858,144874214,23,660,11.31
06:06:04,49244076937,161587725,23,552,11.29
06:06:53,66671347644,142443623,23,741,11.18
06:08:00,57196142762,156144789,23,644,11.34
06:08:58,55969944657,145560940,23,628,11.29
06:09:54,53016521584,143380710,23,594,11.28
06:10:47,45630705547,145178040,23,517,11.42
06:11:33,64566033109,139593128,23,719,11.20
06:12:38,52781020730,161341092,23,590,11.26
06:13:31,54269218977,148895346,23,612,11.35
06:14:26,58133351413,151893619,23,651,11.27
06:15:24,56253621180,150197898,23,631,11.29
06:16:21,59514773752,147891948,23,663,11.21
06:17:21,49439144234,139633614,23,551,11.22
06:18:10,58528331948,148571581,23,649,11.16
06:19:09,71417418684,146398968,23,785,11.05
06:20:21,46423548593,143658105,23,519,11.26
06:21:07,42924427011,147418360,23,483,11.34
06:21:51,55073131826,145260505,23,611,11.17
06:22:46,63987622387,168250914,23,713,11.21
06:23:50,65491150510,150200276,23,728,11.18
06:24:56,37116105056,143494961,23,421,11.44
06:25:33,66195932139,150942395,23,735,11.17
06:26:40,60680160381,149993507,23,675,11.19
06:27:41,56820086211,149345216,23,632,11.19
06:28:38,49335422347,159980029,23,553,11.29
06:29:28,63362519761,162955561,23,704,11.18
06:30:31,59387684388,154125209,23,662,11.22
06:31:31,54445407765,161634437,23,605,11.19
06:32:26,63758980279,152892615,23,712,11.24
06:33:30,44951513938,153737951,23,509,11.41
06:34:15,55587543445,157382380,23,626,11.34
06:35:11,57971645553,140443107,23,648,11.25
06:36:09,54544105028,147292797,23,607,11.20
06:37:04,53932595746,152465275,23,601,11.22
06:37:58,51780961798,147967932,23,578,11.24
06:38:50,56481865450,152352762,23,627,11.17
06:39:47,61714671897,151564980,23,688,11.22
06:40:49,51782943775,152031657,23,579,11.26
06:41:41,61447767675,161049193,23,682,11.17
06:42:43,55270448240,144556363,23,619,11.27
06:43:38,51078534862,141392625,23,580,11.43
06:44:29,73803419485,151522205,23,814,11.09
06:45:44,54694167678,153799700,23,611,11.25
06:46:39,55675884121,145996175,23,624,11.28
06:47:34,63489134714,150084316,23,708,11.22
06:48:38,44873125932,141182004,23,505,11.34
06:49:23,59885225414,158665019,23,664,11.16
06:50:24,56788598888,141954358,23,639,11.32
06:51:21,52019507390,156080093,23,583,11.29
06:52:13,51304200435,151261866,23,571,11.21
06:53:04,51554929955,151754494,23,575,11.23
06:53:56,61449574891,142486316,23,689,11.28
06:54:58,66474864662,144394538,23,739,11.18
06:56:05,58452618972,151854269,23,651,11.21
06:57:04,54812137054,155349175,23,613,11.26
06:57:59,58969536256,158287851,23,657,11.21
06:58:58,56268691535,157697749,23,627,11.22
06:59:54,56330827848,137654480,23,628,11.22
07:00:51,55942850330,170590512,23,623,11.21
07:01:47,58018821531,147839883,23,643,11.15
07:02:46,47971835007,158292962,23,534,11.22
07:03:34,58643502178,154553989,23,653,11.21
07:04:33,57498135811,149240065,23,640,11.20
07:05:30,65637390509,147817583,23,725,11.11
07:06:36,44595982799,167067791,23,503,11.37
07:07:21,58102078719,139126621,23,649,11.24
07:08:20,52208339709,152588992,23,584,11.26
07:09:12,47269739846,176800645,23,530,11.30
07:10:00,42679075303,144300106,23,480,11.34
07:10:43,53229090132,150256365,23,595,11.25
07:11:36,59152491430,141236925,23,659,11.21
07:12:36,58802303500,139935570,23,655,11.21
07:13:35,46098996583,147669427,23,517,11.30
07:14:21,65570310792,145489623,23,726,11.14
07:15:27,54516406948,162524321,23,607,11.21
07:16:22,47338181783,145368170,23,532,11.32
07:17:09,58557930541,145918404,23,653,11.22
07:18:08,55058366429,161448079,23,616,11.26
07:19:03,58069445072,144895400,23,652,11.30
07:20:02,58305515552,162741555,23,651,11.24
07:21:00,52605843972,147686688,23,586,11.21
07:21:53,56236437568,157066172,23,632,11.31
07:22:50,63655565603,141674355,23,707,11.17
