Time,Temp,CPU_Load,RAM_MB
14:33:33,28.0,7.6,1181
14:33:42,29.0,0,1748
14:33:46,30.0,0.5,1748
14:33:52,31.0,0,1745
14:33:57,31.0,0,1767
14:34:01,32.0,0.5,1758
14:34:09,33.0,0.5,1746
14:34:12,33.0,0.5,1759
14:34:20,33.0,0,1737
14:34:30,34.0,0.5,1761
14:34:34,34.0,0,1769
14:34:39,34.0,0,1761
14:34:42,33.0,0.5,1756
14:34:49,34.0,0,1752
14:34:53,34.0,0,1761
14:34:55,34.0,0.5,1753
14:35:02,35.0,0,1757
14:35:11,36.0,1,1756
14:35:16,36.0,0.5,1768
14:35:26,36.0,0.5,1774
14:35:32,36.0,0.5,1779
14:35:36,36.0,0,1780
14:35:41,36.0,0,1770
14:35:45,35.0,0,1778
14:35:52,36.0,0,1765
14:35:58,35.0,0,1771
14:36:04,36.0,0,1773
14:36:08,35.0,0,1770
14:36:15,36.0,0,1768
14:36:23,36.0,0,1778
14:36:27,35.0,0,1794
14:36:34,35.0,0.5,1781
14:36:40,36.0,0,1774
14:36:45,35.0,5.3,1791
14:36:50,35.0,5.3,1781
14:36:55,36.0,0,1778
14:37:01,35.0,0,1786
14:37:05,35.0,0.5,1785
14:37:11,35.0,0,1776
14:37:21,35.0,0,1777
14:37:25,36.0,0,1782
14:37:34,35.0,0,1783
14:37:38,35.0,0.9,1794
14:37:42,35.0,1.4,1797
14:37:47,36.0,0,1793
14:37:52,36.0,0,1793
14:37:59,36.0,0.5,1800
14:38:04,36.0,0,1802
14:38:08,35.0,0.5,1788
14:38:15,36.0,0.5,1795
14:38:19,36.0,0.5,1793
14:38:25,36.0,0,1790
14:38:32,36.0,0.5,1786
14:38:37,35.0,0.5,1790
14:38:44,36.0,0.5,1804
14:38:48,36.0,0,1788
14:38:54,36.0,0,1803
14:38:59,35.0,0.5,1794
14:39:10,36.0,0,1795
14:39:16,36.0,0,1791
14:39:21,35.0,0,1796
14:39:31,36.0,0,1807
14:39:36,36.0,0,1816
14:39:41,35.0,0,1798
14:39:46,36.0,0,1804
14:39:54,36.0,0,1801
14:40:02,36.0,0,1791
14:40:05,36.0,0,1815
14:40:11,35.0,3.8,1807
14:40:18,36.0,0,1799
14:40:21,35.0,0,1812
14:40:26,36.0,0,1810
14:40:32,36.0,0,1826
14:40:38,35.0,0,1811
14:40:43,36.0,0,1793
14:40:48,37.0,0,1801
14:40:56,36.0,0,1800
14:41:02,36.0,0,1821
14:41:07,36.0,0,1808
14:41:13,36.0,0.5,1809
14:41:17,36.0,0.5,1830
14:41:26,35.0,0,1813
14:41:34,36.0,0,1832
14:41:38,35.0,0.5,1827
14:41:43,36.0,0,1820
14:41:47,36.0,0,1820
14:41:54,36.0,0.5,1821
14:42:00,36.0,0,1810
14:42:05,36.0,0,1799
14:42:12,35.0,0,1816
14:42:17,36.0,0.5,1838
14:42:22,35.0,0,1817
14:42:28,35.0,0.5,1822
14:42:33,35.0,5.3,1836
14:42:39,35.0,1.4,1839
14:42:44,36.0,0,1836
14:42:49,35.0,0,1820
14:42:56,35.0,0,1818
14:43:05,36.0,0,1822
14:43:09,36.0,0.5,1824
14:43:15,36.0,0,1819
14:43:19,36.0,0.5,1821
14:43:24,35.0,1.4,1842
