Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
06:45:44,66418583001,46460294352,20,485,24.89
06:46:52,16680082319,88688185,20,413,25.09
06:47:09,19491191417,88351427,20,486,25.23
06:47:29,21991362584,80417632,20,539,24.77
06:47:51,14174010063,93221954,20,355,25.41
06:48:06,13300654403,86334462,20,331,25.26
06:48:19,17216301917,92592468,20,434,25.54
06:48:37,16347255281,82560840,20,412,25.52
06:48:53,6363476884,81852310,20,166,26.77
06:49:00,17148162121,84662382,20,429,25.33
06:49:17,21032670178,83759441,20,527,25.33
06:49:39,22765919376,81026312,20,560,24.85
06:50:02,11058220027,85864083,20,281,25.85
06:50:13,16838397738,83025774,20,420,25.25
06:50:30,19187152717,74346217,20,472,24.88
06:50:50,11932806745,83276262,20,298,25.38
06:51:02,16014865610,81888767,20,397,25.11
06:51:18,14756311561,99078521,20,370,25.44
06:51:33,15643506143,77424361,20,391,25.32
06:51:49,16661163691,93445608,20,412,25.06
06:52:06,14137841537,90153342,20,358,25.69
06:52:20,19225253182,86239324,20,482,25.36
06:52:40,13250384528,82667316,20,340,26.03
06:52:53,16181537520,87526658,20,413,25.86
06:53:10,22206302362,81668332,20,547,24.89
06:53:32,24261383213,93798152,20,591,24.61
06:53:57,22214778503,88837165,20,543,24.71
06:54:19,15477918968,93171549,20,390,25.55
06:54:35,34807349408,79692413,20,828,23.98
06:55:10,18324553489,90888571,20,460,25.41
06:55:29,14143557006,86543422,20,356,25.53
06:55:43,19380840890,84462570,20,478,24.94
06:56:03,20247378386,83127613,20,498,24.87
06:56:23,20535685653,85935791,20,514,25.32
06:56:44,16672517206,78076371,20,420,25.50
06:57:01,15690294376,93363180,20,393,25.40
06:57:17,11892955234,83498162,20,300,25.64
06:57:29,25286589351,86134863,20,617,24.65
06:57:55,11100834360,84064168,20,283,25.93
06:58:06,20071463330,84167079,20,497,25.05
06:58:27,16789373961,82790373,20,421,25.39
06:58:44,16759891453,85662014,20,422,25.51
06:59:01,22061968767,83981515,20,544,24.93
06:59:23,31450663287,79586018,20,756,24.24
06:59:55,27698131474,83455818,20,677,24.67
07:00:23,22121524927,115252466,20,543,24.83
07:00:45,15577098123,81524816,20,393,25.56
07:01:01,18834062364,87494305,20,474,25.48
07:01:20,17173427118,84755950,20,432,25.47
07:01:38,24502681431,82862170,20,598,24.65
07:02:02,21542533581,95889091,20,536,25.17
07:02:24,15001191128,85249426,20,381,25.76
07:02:39,16143314053,88018349,20,399,25.03
07:02:56,17955789905,84010367,20,444,25.02
