Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
17:04:05,8742299088,3222597935,42,478,92.27
17:04:15,3563248782,123526327,42,310,93.09
17:04:19,5474656611,121557124,42,472,90.76
17:04:24,6710816304,130362929,42,573,89.53
17:04:31,9905743427,120853525,42,831,87.10
17:04:42,5741381131,126849932,42,495,90.65
17:04:48,4492270368,134264358,42,388,91.72
17:04:52,6040583846,124129615,42,519,90.26
17:04:59,7386062215,115165580,42,629,88.96
17:05:06,12373705064,128610541,42,1019,85.34
17:05:19,4893163055,141817982,42,434,94.14
17:05:24,3864354666,118698520,42,338,93.11
17:05:28,5720536001,125122153,42,496,91.17
17:05:34,6417660086,132624043,42,554,90.67
17:05:41,4035505927,129678528,42,354,93.40
17:05:45,4546764304,128355408,42,395,92.07
17:05:50,6351885239,132655569,42,551,91.22
17:05:57,2853651943,133964353,42,247,93.91
17:06:00,9612933309,113559206,42,815,88.01
17:06:10,3927092112,116813585,42,342,92.68
17:06:14,4868043209,125360102,42,432,93.91
17:06:19,5394152064,117497425,42,466,90.83
17:06:25,4756767221,120908589,42,412,91.55
17:06:30,6956350224,115641342,42,599,90.07
17:06:37,4388388328,145371342,42,381,92.47
17:06:42,5348148853,128387272,42,464,91.69
17:06:47,6119198639,124295263,42,537,92.10
17:06:54,4982911174,131970026,42,438,92.99
17:06:59,4190201147,123871188,42,366,92.89
17:07:03,5271809569,129130058,42,455,91.00
17:07:09,5257132533,117963277,42,453,90.78
17:07:14,4599991827,127952950,42,396,91.24
17:07:19,5127786928,142210646,42,439,90.89
17:07:25,5163005127,121148292,42,449,91.63
17:07:30,7332761123,123270792,42,626,89.30
17:07:38,4216575679,120142281,42,366,92.19
17:07:42,3016134238,118258638,42,270,96.42
17:07:46,4463044656,122681782,42,391,92.87
17:07:50,3513115962,122943045,42,306,93.29
17:07:54,5835472069,129955531,42,503,90.79
17:08:00,5013244994,132834795,42,435,91.77
17:08:06,6247677668,130117859,42,537,90.25
17:08:12,5520700183,121870012,42,478,91.04
17:08:18,5756119430,134989048,42,497,91.02
17:08:24,5789628873,137409078,42,510,93.06
17:08:30,3724459649,124762284,42,327,93.69
17:08:34,3038660681,132681889,42,263,93.59
17:08:37,4895207471,121601077,42,421,90.92
17:08:42,5088598679,117162295,42,439,91.07
17:08:48,8926805036,129662915,42,755,88.09
17:08:57,5081354955,120084037,42,439,91.07
17:09:02,6271795736,126362541,42,536,89.63
17:09:09,6485806550,124754826,42,555,89.66
17:09:16,7122132694,120615297,42,607,89.13
17:09:23,5098335269,134489967,42,438,90.87
17:09:28,3041313640,135243868,42,262,93.23
17:09:32,4368592832,130210151,42,376,91.48
17:09:36,4483217378,121841283,42,389,91.96
17:09:41,7892870729,126518635,42,670,88.62
17:09:49,5495024806,123378911,42,474,90.80
17:09:55,6547649520,122231883,42,557,89.26
17:10:02,5059568683,121108145,42,436,90.83
17:10:07,5132748987,130969582,42,442,90.94
17:10:13,7648168725,124453298,42,649,88.66
17:10:21,5084465201,116883681,42,436,90.45
17:10:26,8563196801,117139032,42,728,88.56
17:10:35,3779727441,129453867,42,326,92.09
17:10:39,3913781141,118958713,42,338,91.84
17:10:43,7430185673,121121218,42,634,89.17
17:10:51,10315721133,120619876,42,856,86.11
17:11:01,3753545217,137988106,42,324,92.57
17:11:05,4212246662,122824208,42,364,91.68
17:11:10,5408468375,119242992,42,466,90.66
17:11:15,6677795953,128441516,42,572,89.79
17:11:22,4764011832,124251133,42,411,91.13
17:11:28,4530180546,121981005,42,392,91.80
17:11:32,10632204203,128439244,42,883,86.23
17:11:43,5532035548,134060717,42,475,90.47
17:11:49,3266388375,116825877,42,282,92.45
17:11:53,2818990042,132100871,42,243,93.46
17:11:56,5319775362,124611823,42,460,91.08
17:12:01,3207766255,120576457,42,277,92.64
17:12:05,4667823021,118428248,42,405,91.62
17:12:10,3842814196,125403015,42,331,91.94
17:12:14,8424203810,131656773,42,710,87.87
17:12:22,5298814852,127424913,42,457,91.03
17:12:28,5152822065,119405601,42,446,91.20
17:12:33,4619082017,135630354,42,397,91.26
17:12:38,5204642337,115621677,42,449,90.89
17:12:44,4925758230,133418454,42,424,91.18
17:12:49,7246346171,124910776,42,616,88.88
17:12:57,5615390685,135120979,42,483,90.78
17:13:02,5784075426,123067061,42,497,90.36
17:13:08,8012251424,128096292,42,680,88.65
17:13:17,5324877682,118869275,42,461,91.10
17:13:22,5957310383,126489899,42,512,90.29
17:13:29,6052098587,131527659,42,523,90.95
17:13:35,4346564613,125608824,42,377,91.95
17:13:40,3500226557,115878167,42,306,93.29
17:13:43,1883637033,130998033,42,162,96.42
17:13:45,4401964637,135112721,42,384,92.75
17:13:50,4478010494,130581914,42,387,91.70
17:13:55,8138024231,123581390,42,689,88.33
17:14:03,3270595466,130091543,42,286,94.07
17:14:07,4723089152,130870906,42,409,91.70
17:14:12,5568461727,122255619,42,479,90.54
17:14:18,5914255114,137323858,42,509,90.56
17:14:24,4476253727,138216390,42,387,91.92
17:14:29,4922894039,113633783,42,425,91.00
17:14:34,10154356126,128666635,42,845,86.48
17:14:44,5932510355,120560478,42,518,91.68
17:14:51,7803462333,128660184,42,667,89.29
17:14:59,6305256464,131596537,42,541,90.16
17:15:05,4735742862,133317076,42,409,91.49
17:15:10,4864789506,134834711,42,420,91.50
17:15:15,5619683941,136854515,42,484,90.80
17:15:21,4488387768,138837933,42,386,91.46
17:15:26,6794320865,126216903,42,580,89.36
17:15:33,8817240491,131411994,42,743,87.82
17:15:42,4314834792,128755355,42,374,92.11
17:15:47,2093858093,128481644,42,179,94.70
17:15:49,6977961514,122150686,42,595,89.20
17:15:56,7110912409,136090772,42,605,89.23
17:16:04,5439647471,136475740,42,468,90.87
17:16:09,8545866439,126332929,42,720,87.80
17:16:18,5088046885,132634074,42,439,91.26
17:16:24,5748932953,131417300,42,492,90.10
17:16:30,4843564017,123370797,42,418,91.26
17:16:35,7431282761,134236908,42,638,89.85
17:16:43,4324922444,118841585,42,382,93.85
17:16:47,6309327852,130199780,42,543,90.34
17:16:54,4945571608,124129141,42,434,92.73
17:16:59,1188119210,130900761,42,97,96.03
17:17:00,6990967678,132350318,42,594,89.05
17:17:08,5727814707,123991585,42,491,90.25
17:17:14,3665912200,116799130,42,320,93.02
17:17:18,5713280549,117644822,42,494,90.80
17:17:24,11393689360,126798369,42,943,85.88
17:17:35,4896805668,118983246,42,423,91.16
17:17:40,5515810746,125848066,42,477,91.03
17:17:46,6539918187,130117332,42,565,90.69
17:17:53,6009487431,144570308,42,517,90.70
17:17:59,6304836806,129611788,42,539,89.83
17:18:06,5047583470,121457456,42,436,91.21
17:18:11,3097979504,118945900,42,269,93.40
17:18:15,4881992791,117370197,42,422,91.34
17:18:20,7828089614,133376181,42,666,88.91
17:18:28,3986956427,119277521,42,351,93.60
17:18:32,6882003049,123471658,42,607,92.38
17:18:39,6596726463,121567432,42,568,90.15
17:18:46,3148406600,133967203,42,272,93.15
17:18:50,6038201561,129580930,42,521,90.76
17:18:56,4024119317,131887280,42,349,92.57
17:19:00,8491272161,120798919,42,719,88.22
17:19:09,3404140471,128059750,42,296,93.37
17:19:13,4059044470,130582361,42,353,92.65
17:19:17,3858499640,127235858,42,335,92.54
17:19:21,8075985722,130854211,42,686,88.63
17:19:29,8053916350,122185035,42,683,88.47
