Time,Temp,CPU_Load,RAM_MB
06:35:29,27.0,2.3,1302
06:35:47,29.0,4.7,10999
06:36:06,32.0,0.9,10985
06:36:24,33.0,0,10985
06:36:42,34.0,0.5,10999
06:37:01,34.0,0,10985
06:37:20,34.0,0,10996
06:37:34,35.0,0.5,10996
06:37:51,36.0,0.5,11009
06:38:08,36.0,0.5,11010
06:38:20,35.0,0.5,11019
06:38:41,36.0,0,11010
06:38:56,36.0,0,11012
06:39:13,36.0,0.5,11000
06:39:42,35.0,0.5,11010
06:39:55,36.0,0,11005
06:40:18,36.0,2.8,11013
06:40:37,37.0,0.9,11006
06:40:51,36.0,0.5,11005
06:41:08,35.0,0.5,11021
06:41:31,35.0,0.5,11019
06:41:47,36.0,0.5,11033
06:42:07,36.0,0.5,11023
06:42:24,36.0,0.5,11016
06:42:39,36.0,0.9,11022
06:42:52,36.0,0,11024
06:43:10,36.0,0.5,11025
06:43:27,36.0,0.5,11016
06:43:46,36.0,0.9,11018
06:44:00,35.0,0.5,11035
06:44:26,36.0,0.5,11034
06:44:46,35.0,0.9,11025
06:44:55,36.0,0.5,11017
06:45:13,35.0,0.9,11021
