Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
23:38:14,52908439051,3018300078,23,559,11.45
23:39:07,49949235067,140023441,23,564,11.37
23:39:57,46260045708,141947501,23,527,11.47
23:40:44,53528115080,139009195,23,609,11.45
23:41:37,54151254327,152226359,23,611,11.36
23:42:32,64398420159,141524049,23,719,11.23
23:43:37,57376888422,138204546,23,651,11.42
23:44:34,56071335227,145004346,23,633,11.36
23:45:31,53933353613,144783799,23,608,11.35
23:46:25,55096370925,139575949,23,620,11.33
23:47:20,54299146698,136299652,23,613,11.36
