Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
12:49:00,34860260866,12209413290,26,512,23.04
12:49:36,18427742821,24911397,26,435,23.74
12:49:55,25478717079,19744535,26,580,22.86
12:50:20,28188542682,27195210,26,634,22.59
12:50:49,22420094701,30813000,26,513,23.00
12:51:12,17436236247,34546793,26,407,23.49
12:51:29,22358136686,29863190,26,510,22.92
12:51:52,20068058227,14356804,26,460,23.03
12:52:12,21867329809,22157573,26,499,22.93
12:52:34,17495865000,36138364,26,406,23.36
12:52:52,20106896145,27155777,26,463,23.15
12:53:12,28773655592,16276801,26,641,22.35
12:53:42,19886914897,25181235,26,458,23.15
12:54:02,30187150695,23908977,26,670,22.28
12:54:32,19695886063,29090348,26,455,23.23
12:54:52,30360498425,34053316,26,676,22.36
12:55:23,26541288787,20904875,26,597,22.58
12:55:49,18483182216,16020075,26,429,23.34
12:56:08,22405792268,20809429,26,517,23.18
12:56:31,18220331234,28356873,26,424,23.39
12:56:49,21799885244,26872211,26,496,22.86
12:57:11,22572098673,26938529,26,516,22.97
12:57:34,25778960018,22954513,26,582,22.68
12:58:00,28586151473,24611860,26,640,22.47
12:58:29,19041566364,20377954,26,439,23.17
12:58:48,18735107476,29892168,26,435,23.34
12:59:07,23159328876,20768073,26,525,22.76
12:59:31,21634643025,33221359,26,502,23.33
12:59:53,22332610620,21048297,26,514,23.13
13:00:15,19434829582,15142642,26,447,23.11
13:00:35,28115519235,20027081,26,632,22.57
13:01:03,22514879725,36468504,26,517,23.09
13:01:26,20248295497,28642531,26,462,22.93
13:01:47,22308424805,19305945,26,511,23.01
13:02:09,18236182422,25870699,26,432,23.82
13:02:28,16092112834,37213072,26,381,23.84
13:02:44,16689732212,27965127,26,392,23.64
13:03:01,19489981240,29877837,26,448,23.11
13:03:21,28743487287,31087461,26,641,22.40
13:03:50,19375608746,29703432,26,447,23.20
13:04:09,13433306303,23514259,26,318,23.83
13:04:23,23881068575,28615313,26,542,22.81
13:04:47,18041060917,23243998,26,424,23.63
13:05:06,20508533960,33985174,26,474,23.24
13:05:26,23677280171,27827951,26,535,22.70
13:05:50,21163801732,24638554,26,485,23.02
13:06:12,22476065060,34894831,26,513,22.94
13:06:34,21821654885,27751458,26,501,23.07
13:06:56,14570154299,25269889,26,345,23.82
13:07:11,23245259219,32408263,26,531,22.96
13:07:35,25643118492,21642241,26,581,22.75
13:08:01,27589654324,22519701,26,616,22.42
13:08:29,18647329308,23349793,26,430,23.18
13:08:47,37319994707,24581412,26,807,21.69
13:09:25,27191257458,19262058,26,621,22.94
13:09:52,19646305322,32846464,26,456,23.34
13:10:12,20130965937,30780138,26,462,23.07
13:10:33,21317961101,29351651,26,489,23.05
13:10:54,31844756743,31399151,26,698,22.01
13:11:26,26729087084,23448280,26,596,22.40
13:11:53,22892294104,21176439,26,524,22.99
13:12:17,23796223285,35956293,26,538,22.72
13:12:41,18086469434,37918043,26,419,23.31
13:12:59,28372984053,22061374,26,636,22.50
13:13:28,24535147997,20993064,26,557,22.79
13:13:52,28066305570,21897424,26,626,22.39
13:14:21,21438906069,19045655,26,494,23.14
13:14:42,358075861488,23842245,26,4541,12.69
13:20:41,34661143633,27049677,26,749,21.88
13:21:16,24157841316,21460732,26,551,22.91
13:21:40,22615498073,29266060,26,514,22.84
13:22:03,19351807075,28398603,26,444,23.07
13:22:23,25865126244,30426148,26,582,22.61
13:22:49,33547378073,22573357,26,736,22.02
13:23:22,21966928575,23605289,26,503,23.01
13:23:45,35501732646,28768423,26,773,21.85
13:24:20,22499260247,31118049,26,515,23.01
13:24:43,3780524084,20008270,26,93,25.13
13:24:47,19289418848,28512793,26,446,23.25
13:25:07,23643882734,29235261,26,536,22.77
13:25:31,27481898395,33310880,26,616,22.51
13:25:58,54321674476,35962466,26,1108,20.45
13:26:53,23156619422,22679592,26,527,22.86
13:27:16,22658790600,27372715,26,518,22.98
13:27:39,24988221368,23654428,26,564,22.67
13:28:05,26448857403,22989500,26,598,22.70
13:28:31,30295757311,25238920,26,676,22.40
13:29:02,127774445663,27402275,26,2170,17.01
13:31:10,129807964562,24533440,26,2201,16.98
13:33:20,13421875074,22075077,26,317,23.78
13:33:34,21181292845,28660882,26,487,23.11
13:33:55,29387134353,20665645,26,656,22.41
13:34:25,35933219008,30517259,26,786,21.95
13:35:01,31109940406,23729231,26,688,22.20
13:35:32,29314675997,23281506,26,655,22.43
13:36:02,1966716829440,34957703,26,20833,10.60
14:08:49,1027741025,35272222,26,17,26.98
14:08:50,596745904,32064847,26,14,27.45
14:08:51,43697658194,27982497,26,927,21.28
14:09:35,124658685826,17146392,26,2125,17.07
14:11:40,17141517234,21106624,26,401,23.53
14:11:57,22671015970,23520189,26,517,22.91
14:12:20,3519649942,25078373,26,87,25.29
14:12:24,16305282402,19886180,26,386,23.81
14:12:41,695599889,18420128,26,17,27.41
14:12:42,51344649430,14870667,26,1060,20.69
14:13:33,59980132468,31537020,26,1209,20.21
14:14:33,16998214240,18797264,26,398,23.55
14:14:51,16574131112,23617479,26,386,23.43
14:15:08,48621796450,37742965,26,1019,21.02
14:15:56,29371124803,20576491,26,650,22.21
14:16:26,16022169482,25897602,26,374,23.49
14:16:42,14649852589,21296315,26,345,23.69
14:16:57,109556011050,32460633,26,1931,17.66
14:18:47,25373006774,25033965,26,578,22.88
14:19:13,13842660806,19949552,26,329,23.92
14:19:27,12963036349,13152876,26,309,23.99
14:19:40,15957358579,21549704,26,376,23.70
14:19:56,19165230230,33338247,26,444,23.30
14:20:16,326107998556,28948178,26,4173,12.81
14:25:42,3876324590,30278524,26,87,24.85
14:25:46,26353235461,20070372,26,591,22.52
14:26:13,27168733182,21419376,26,608,22.47
14:26:40,13533459465,23481152,26,323,24.03
14:26:54,15305142539,28620618,26,360,23.66
14:27:10,23878033699,21532622,26,541,22.75
14:27:34,18821006422,22649450,26,433,23.13
14:27:53,18897162855,23696747,26,435,23.15
14:28:12,2655935435,26294940,26,66,25.58
14:28:15,18861831235,26506279,26,436,23.25
14:28:34,1126777885,31115143,26,27,25.96
14:28:35,14656994581,25884583,26,344,23.62
14:28:50,29643931552,26755361,26,660,22.35
14:29:20,81435542653,23954904,26,1532,18.85
14:30:42,13003292164,34071352,26,313,24.26
14:30:55,7461405418,35734781,26,182,24.72
14:31:03,39368132736,22965225,26,846,21.55
14:31:42,23324122580,23174336,26,540,23.26
14:32:06,9718581802,18334204,26,233,24.19
14:32:16,161681055846,15416308,26,2570,15.91
14:34:58,16009190356,27752393,26,376,23.63
14:35:14,16265667072,32555917,26,383,23.71
14:35:31,21994402649,19401434,26,507,23.16
14:35:53,16082496685,19560755,26,377,23.57
14:36:09,13456515389,22790838,26,317,23.72
14:36:23,1841872988,22584677,26,45,25.42
14:36:25,58053542764,25998314,26,1170,20.20
14:37:23,13681370881,24902082,26,321,23.63
14:37:37,18745534190,23751663,26,435,23.33
14:37:56,11466819608,20836152,26,274,24.07
14:38:08,24676494157,26215516,26,563,22.92
14:38:33,24915171562,18971790,26,565,22.77
14:38:58,5744175842,25960955,26,142,25.08
14:39:04,51945412439,22353980,26,1068,20.61
14:39:56,28037278090,30972800,26,627,22.46
14:40:25,25675231683,15301315,26,576,22.52
14:40:51,16050058642,27585335,26,374,23.44
14:41:07,16261456478,21685819,26,380,23.51
14:41:23,16543228318,33605467,26,383,23.31
14:41:40,60711820955,28098710,26,1213,20.03
14:42:41,10501260428,14953089,26,250,23.99
14:42:52,13477910469,20190919,26,318,23.76
14:43:06,60549443782,34756549,26,1221,20.22
14:44:06,15829444352,31340869,26,372,23.66
14:44:23,36625423211,25693910,26,794,21.75
14:44:59,14801064958,35701855,26,346,23.56
14:45:14,54158834738,22575797,26,1103,20.42
14:46:09,15172754467,23607526,26,357,23.68
14:46:24,10086498615,37441024,26,244,24.44
14:46:35,8143911833,22335522,26,197,24.47
14:46:43,11523322379,31837940,26,279,24.40
14:46:55,14977907862,34489760,26,353,23.73
14:47:10,25033848406,24136203,26,568,22.79
14:47:35,11434687483,35445187,26,272,24.00
14:47:47,25542515540,22183352,26,578,22.72
14:48:13,22269905642,39144511,26,508,22.93
14:48:35,29556243376,37386798,26,659,22.39
