Time,Watts
12:49:01,46
12:49:02,40
12:49:03,40
12:49:04,37
12:49:05,37
12:49:06,37
12:49:07,37
12:49:08,37
12:49:09,37
12:49:10,37
12:49:11,37
12:49:12,37
12:49:13,37
12:49:14,72
12:49:15,72
12:49:16,148
12:49:17,151
12:49:18,151
12:49:19,149
12:49:20,151
12:49:21,151
12:49:22,151
12:49:23,148
12:49:24,148
12:49:25,151
12:49:26,149
12:49:27,149
12:49:28,149
12:49:29,148
12:49:30,148
12:49:31,148
12:49:32,151
12:49:33,151
12:49:34,148
12:49:35,150
12:49:36,150
12:49:38,138
12:49:39,152
12:49:40,155
12:49:41,155
12:49:42,154
12:49:43,152
12:49:44,152
12:49:45,152
12:49:46,153
12:49:47,153
12:49:48,151
12:49:49,152
12:49:50,152
12:49:51,151
12:49:52,151
12:49:53,151
12:49:54,150
12:49:55,150
12:49:56,150
12:49:57,119
12:49:58,153
12:49:59,153
12:50:00,154
12:50:01,153
12:50:02,153
12:50:03,150
12:50:04,151
12:50:05,151
12:50:06,152
12:50:07,151
12:50:08,151
12:50:09,151
12:50:10,148
12:50:11,148
12:50:12,151
12:50:13,148
12:50:14,148
12:50:15,148
12:50:16,148
12:50:17,148
12:50:18,150
12:50:19,146
12:50:20,146
12:50:21,148
12:50:22,117
12:50:23,117
12:50:24,152
12:50:25,154
12:50:26,154
12:50:27,152
12:50:28,153
12:50:29,152
12:50:30,152
12:50:31,151
12:50:32,150
12:50:33,150
12:50:34,150
12:50:35,151
12:50:36,151
12:50:37,152
12:50:38,151
12:50:39,151
12:50:40,148
12:50:41,149
12:50:42,149
12:50:43,149
12:50:44,145
12:50:45,145
12:50:46,150
12:50:47,149
12:50:48,149
12:50:49,147
12:50:50,118
12:50:51,118
12:50:52,152
12:50:53,152
12:50:54,152
12:50:55,154
12:50:56,152
12:50:57,152
12:50:58,152
12:50:59,152
12:51:00,152
12:51:01,151
12:51:02,149
12:51:03,149
12:51:04,150
12:51:05,150
12:51:07,150
12:51:08,152
12:51:09,149
12:51:10,149
12:51:11,146
12:51:12,150
12:51:13,150
12:51:14,117
12:51:15,151
12:51:16,151
12:51:17,151
12:51:18,152
12:51:19,151
12:51:20,151
12:51:21,149
12:51:22,151
12:51:23,151
12:51:24,149
12:51:25,150
12:51:26,150
12:51:27,152
12:51:28,149
12:51:29,149
12:51:30,149
12:51:31,117
12:51:32,117
12:51:33,150
12:51:34,151
12:51:35,151
12:51:36,151
12:51:37,151
12:51:38,151
12:51:39,149
12:51:40,151
12:51:41,151
12:51:42,150
12:51:43,151
12:51:44,151
12:51:45,150
12:51:46,151
12:51:47,151
12:51:48,151
12:51:49,149
12:51:50,149
12:51:51,150
12:51:52,148
12:51:53,148
12:51:54,117
12:51:55,150
12:51:56,150
12:51:57,149
12:51:58,153
12:51:59,153
12:52:00,154
12:52:01,151
12:52:02,151
12:52:03,151
12:52:04,149
12:52:05,150
12:52:06,150
12:52:07,150
12:52:08,150
12:52:09,150
12:52:10,147
12:52:11,149
12:52:12,149
12:52:13,149
12:52:14,154
12:52:15,154
12:52:16,153
12:52:17,152
12:52:18,152
12:52:19,152
12:52:20,150
12:52:21,150
12:52:22,150
12:52:23,151
12:52:24,151
12:52:25,151
12:52:26,150
12:52:27,150
12:52:28,149
12:52:29,147
12:52:30,147
12:52:31,148
12:52:32,147
12:52:33,147
12:52:34,147
12:52:36,121
12:52:37,121
12:52:38,154
12:52:39,151
12:52:40,151
12:52:41,151
12:52:42,150
12:52:43,150
12:52:44,151
12:52:45,153
12:52:46,149
12:52:47,149
12:52:48,150
12:52:49,147
12:52:50,147
12:52:51,149
12:52:52,148
12:52:53,148
12:52:54,115
12:52:55,150
12:52:56,150
12:52:57,154
12:52:58,151
12:52:59,151
12:53:00,149
12:53:01,151
12:53:02,151
12:53:03,150
12:53:04,151
12:53:05,151
12:53:06,151
12:53:07,149
12:53:08,149
12:53:09,149
12:53:10,151
12:53:11,151
12:53:12,152
12:53:13,150
12:53:14,150
12:53:15,134
12:53:16,152
12:53:17,152
12:53:18,151
12:53:19,153
12:53:20,153
12:53:21,151
12:53:22,151
12:53:23,151
12:53:24,151
12:53:25,152
12:53:26,152
12:53:27,149
12:53:28,149
12:53:29,149
12:53:30,149
12:53:31,149
12:53:32,149
12:53:33,149
12:53:34,147
12:53:35,147
12:53:36,147
12:53:37,149
12:53:38,147
12:53:39,147
12:53:40,148
12:53:41,146
12:53:42,146
12:53:43,118
12:53:44,155
12:53:45,155
12:53:46,155
12:53:47,150
12:53:48,150
12:53:49,152
12:53:50,149
12:53:51,149
12:53:52,152
12:53:53,150
12:53:54,150
12:53:55,150
12:53:56,148
12:53:57,148
12:53:58,152
12:53:59,148
12:54:00,148
12:54:01,150
12:54:02,151
12:54:04,151
12:54:05,155
12:54:06,156
12:54:07,156
12:54:08,153
12:54:09,151
12:54:10,151
12:54:11,150
12:54:12,150
12:54:13,150
12:54:14,152
12:54:15,151
12:54:16,151
12:54:17,150
12:54:18,149
12:54:19,151
12:54:20,151
12:54:21,150
12:54:22,150
12:54:23,150
12:54:24,150
12:54:25,147
12:54:26,147
12:54:27,148
12:54:28,146
12:54:29,146
12:54:30,144
12:54:31,146
12:54:32,146
12:54:33,147
12:54:34,123
12:54:35,123
12:54:36,152
12:54:37,152
12:54:38,152
12:54:39,152
12:54:40,150
12:54:41,150
12:54:42,150
12:54:43,149
