Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
19:39:45,92275545276,22640040012,53,891,13.08
19:41:19,72068331945,20710430,53,936,13.01
19:42:31,68502268799,20805573,53,880,12.87
19:43:40,77137034429,39321932,53,985,12.80
19:44:57,74318130832,19247887,53,950,12.81
19:46:12,72302399785,12164885,53,925,12.82
19:47:24,70933257220,33471177,53,912,12.89
19:48:35,69962255936,23795524,53,908,13.01
19:49:46,76761120679,23285262,53,998,13.03
19:51:03,76116188066,13450190,53,972,12.79
19:52:19,73542555917,14623694,53,947,12.90
19:53:33,66647578233,24925939,53,865,13.01
19:54:40,68556196901,23003774,53,884,12.92
19:55:49,78695476626,23579012,53,1017,12.95
19:57:08,70235548199,24009467,53,906,12.93
19:58:18,73324921805,35737721,53,951,13.00
19:59:32,77093171863,33103200,53,986,12.82
20:00:49,76814264372,34936569,53,992,12.94
20:02:06,76756676454,26891834,53,985,12.86
20:03:23,69756938210,29899066,53,907,13.03
20:04:33,69668049481,25466140,53,898,12.92
20:05:43,67494361015,32108620,53,871,12.93
20:06:51,79514861670,30519269,53,1014,12.78
20:08:11,78148972523,35761774,53,1002,12.85
20:09:29,66594927667,27466991,53,863,12.99
20:10:36,80773478247,28667235,53,1047,12.99
20:11:57,78836803009,28793282,53,1011,12.85
20:13:16,73662531871,31714249,53,946,12.87
20:14:30,75437486576,25275691,53,975,12.95
20:15:46,72869547832,18956937,53,932,12.82
20:16:59,81123293411,20053132,53,1042,12.87
20:18:20,80450062106,16592586,53,1035,12.89
20:19:41,79016732760,22214066,53,1016,12.88
20:21:00,75324981718,22043499,53,961,12.78
20:22:16,88391482963,19817800,53,1118,12.67
20:23:44,72499755936,23995052,53,936,12.94
20:24:57,71644951977,27229970,53,928,12.98
20:26:09,80551353302,25293462,53,1024,12.74
20:27:30,72489935004,32735610,53,941,13.01
20:28:43,76791273671,20791644,53,990,12.92
20:30:00,73709433739,25573951,53,946,12.86
20:31:14,69751611300,21659375,53,900,12.93
20:32:24,69979866108,20256527,53,913,13.07
20:33:34,73696299685,21720830,53,952,12.94
20:34:48,80529486938,27679633,53,1034,12.87
20:36:09,79053498105,23497601,53,1009,12.79
20:37:28,74752520927,27940535,53,961,12.88
20:38:43,87234212977,21111867,53,1109,12.73
20:40:10,77616195763,24943920,53,1004,12.96
20:41:28,79982474513,28026256,53,1029,12.89
20:42:49,71392348061,18227366,53,932,13.08
20:44:00,75478194227,22522910,53,972,12.90
20:45:16,82180196443,21110609,53,1051,12.81
20:46:38,90526709565,33328800,53,1144,12.66
20:48:09,81259423754,18626449,53,1033,12.74
20:49:31,71176759192,30496200,53,915,12.88
20:50:42,83362376119,21711899,53,1060,12.74
20:52:06,66246817826,28059905,53,856,12.95
20:53:12,79377716377,36445214,53,1023,12.92
20:54:32,72518620185,34893555,53,935,12.92
20:55:45,77209133485,25969771,53,994,12.90
20:57:02,75512429896,21586693,53,982,13.03
20:58:18,72562682835,16224242,53,930,12.84
20:59:31,76947042946,24505983,53,988,12.86
21:00:48,74250992233,25812680,53,956,12.90
21:02:02,78114138255,21529644,53,997,12.79
21:03:21,77029684726,18306136,53,985,12.81
21:04:38,71231977240,20878797,53,917,12.90
21:05:50,70309845966,17550779,53,914,13.03
21:07:00,79350643904,28865404,53,1021,12.89
21:08:20,71401251356,27014132,53,924,12.97
21:09:31,77474233597,24135010,53,990,12.80
21:10:49,74449195293,39820940,53,956,12.87
21:12:04,71116323274,22355100,53,911,12.84
21:13:15,75437749934,30058526,53,970,12.88
21:14:31,81588830729,21567482,53,1044,12.82
21:15:53,73294044480,20622562,53,951,13.00
21:17:06,76157406781,26507542,53,983,12.93
21:18:23,76296501700,16375909,53,975,12.80
21:19:39,74564874674,31511588,53,961,12.92
21:20:54,66719056284,22547641,53,869,13.05
21:22:01,76150115374,29884843,53,980,12.90
21:23:18,72881818639,37500995,53,946,13.01
21:24:31,69934572982,21916509,53,918,13.15
21:25:41,79075493201,22591469,53,1020,12.92
21:27:00,72619499846,21141238,53,932,12.86
21:28:13,69175032599,31957739,53,885,12.82
21:29:23,80258181988,21510532,53,1023,12.77
21:30:43,68382134829,25948324,53,896,13.13
21:31:52,71982813965,30728270,53,928,12.92
21:33:04,69219984240,16067481,53,894,12.94
21:34:13,79120388015,29648924,53,1014,12.84
21:35:33,66175826144,32466292,53,854,12.94
21:36:39,79122677882,37203691,53,1006,12.74
21:37:59,76397358491,30985259,53,976,12.80
21:39:15,68356387231,21298302,53,893,13.09
