Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
21:53:28,16558073264,3229527772,20,383,29.50
21:53:45,14216120214,72531577,20,411,29.27
21:53:59,18183906499,65538332,20,521,28.94
21:54:18,16089366491,78727590,20,464,29.18
21:54:34,13739825280,54548260,20,398,29.30
21:54:48,19717823188,55161813,20,558,28.55
21:55:08,16035550916,65469111,20,467,29.46
21:55:24,12738686841,53201750,20,373,29.62
21:55:37,13389820442,70613233,20,390,29.50
21:55:51,15881548286,62763501,20,458,29.15
21:56:07,12282560663,71385870,20,357,29.45
21:56:20,16304189742,57911128,20,467,28.95
21:56:36,14792848644,60943387,20,423,28.91
21:56:51,13946439150,75840580,20,402,29.19
21:57:05,13038683046,82582001,20,377,29.31
21:57:19,15542999595,79078544,20,446,29.03
21:57:34,16226887277,69532035,20,465,28.99
21:57:51,21103472035,96865415,20,598,28.65
21:58:12,15222973724,48742764,20,439,29.13
21:58:28,14757134830,64874842,20,428,29.33
21:58:43,13640369052,54585037,20,396,29.35
21:58:57,17152905739,77895265,20,495,29.20
21:59:14,12896850260,67175558,20,375,29.43
21:59:27,18108987207,65506487,20,517,28.85
21:59:46,19681844909,65807407,20,561,28.78
22:00:06,14154255886,62369719,20,409,29.23
22:00:20,13608757093,72385344,20,397,29.56
22:00:34,21159078151,51551269,20,600,28.59
22:00:55,11610165020,67692912,20,338,29.51
22:01:07,15315290337,60436696,20,442,29.17
22:01:23,18016964573,70592882,20,515,28.90
22:01:41,16279157521,77694692,20,467,29.02
22:01:58,11201903652,79413852,20,329,29.82
22:02:09,14662921033,68898822,20,429,29.60
22:02:24,14284812549,73184040,20,414,29.34
22:02:38,14188545484,55348412,20,411,29.29
22:02:53,16591055318,56259497,20,478,29.11
22:03:10,16833220206,66981299,20,483,29.00
22:03:27,18888749354,73241623,20,537,28.73
