Time,Temp,CPU_Load,RAM_MB
10:25:01,27.0,0.9,1237
10:25:28,42.0,0.9,3305
10:25:53,47.0,0,3314
10:26:21,46.0,1.4,3322
10:26:46,51.0,0.5,3338
10:27:13,49.0,0.5,3324
10:27:42,49.0,0.5,3332
10:28:04,48.0,0.5,3339
10:28:33,49.0,0,3356
10:29:00,50.0,0.5,3341
10:29:25,49.0,0.5,3328
10:29:55,48.0,0,3331
10:30:23,47.0,0,3337
10:30:50,49.0,0,3344
10:31:17,47.0,0.5,3342
10:31:40,49.0,0,3350
10:32:02,49.0,0.5,3333
10:32:30,48.0,0,3347
10:33:01,48.0,0.5,3351
10:33:26,48.0,0,3332
10:33:49,49.0,0.5,3344
10:34:16,48.0,0.5,3345
10:34:40,48.0,0,3350
