Time,Total_Dur,Load_Dur,Prompt_Eval_Count,Eval_Count,TPS
12:38:39,18610009831,1335020942,26,397,23.58
12:38:58,25274527800,26376182,26,577,22.93
12:39:23,29751959863,35387300,26,663,22.38
12:39:53,15926208269,30334513,26,374,23.64
12:40:10,20206571424,31322008,26,476,23.69
12:40:30,22116979970,21578121,26,516,23.44
12:40:52,16665737459,25548085,26,392,23.67
12:41:09,20732211483,21983564,26,480,23.26
12:41:30,17769445796,19818833,26,416,23.54
12:41:48,16495482818,24194193,26,390,23.78
12:42:05,26579217612,18451704,26,600,22.66
12:42:32,21969831725,19580744,26,506,23.13
12:42:54,20017889572,22372667,26,464,23.29
12:43:14,22021832558,24347295,26,508,23.19
12:43:37,22240109208,26565788,26,506,22.86
12:43:59,24782924496,17836890,26,562,22.77
12:44:24,22150376548,17105165,26,511,23.17
12:44:47,26551524140,28060313,26,598,22.62
12:45:13,20715617490,20495418,26,486,23.58
12:45:34,15962399015,23130294,26,378,23.81
12:45:51,36177070220,22361144,26,791,21.94
12:46:27,23473796490,20476016,26,538,23.02
12:46:51,24082949507,20628400,26,550,22.94
12:47:15,25248325599,31785349,26,575,22.88
12:47:41,16471961438,18420341,26,390,23.80
12:47:57,17576878118,23458032,26,412,23.58
12:48:15,19074745880,23856859,26,447,23.56
12:48:34,24189132247,24917498,26,555,23.05
