Time,Watts
12:38:39,32
12:38:40,55
12:38:41,61
12:38:42,61
12:38:43,153
12:38:44,146
12:38:45,146
12:38:46,147
12:38:47,147
12:38:48,147
12:38:49,145
12:38:50,146
12:38:51,146
12:38:52,146
12:38:53,146
12:38:54,146
12:38:55,143
12:38:56,144
12:38:57,144
12:38:58,144
12:38:59,114
12:39:00,149
12:39:01,149
12:39:02,146
12:39:03,147
12:39:04,147
12:39:05,149
12:39:06,147
12:39:07,147
12:39:08,147
12:39:09,147
12:39:10,147
12:39:11,150
12:39:12,149
12:39:13,149
12:39:14,148
12:39:15,148
12:39:16,148
12:39:17,147
12:39:18,149
12:39:19,149
12:39:20,148
12:39:21,148
12:39:22,148
12:39:23,147
12:39:25,115
12:39:26,115
12:39:27,150
12:39:28,149
12:39:29,149
12:39:30,152
12:39:31,150
12:39:32,150
12:39:33,149
12:39:34,149
12:39:35,149
12:39:36,150
12:39:37,147
12:39:38,147
12:39:39,150
12:39:40,147
12:39:41,147
12:39:42,146
12:39:43,147
12:39:44,147
12:39:45,146
12:39:46,145
12:39:47,146
12:39:48,146
12:39:49,147
12:39:50,145
12:39:51,145
12:39:52,148
12:39:53,146
12:39:54,146
12:39:55,112
12:39:56,152
12:39:57,152
12:39:58,152
12:39:59,151
12:40:00,151
12:40:01,149
12:40:02,150
12:40:03,150
12:40:04,149
12:40:05,149
12:40:06,149
12:40:07,148
12:40:08,146
12:40:09,146
12:40:10,150
12:40:11,118
12:40:12,118
12:40:13,153
12:40:14,153
12:40:15,153
12:40:16,152
12:40:17,152
12:40:18,152
12:40:19,152
12:40:20,156
12:40:21,156
12:40:22,151
12:40:23,151
12:40:24,151
12:40:25,151
12:40:26,151
12:40:27,151
12:40:28,150
12:40:29,150
12:40:30,150
12:40:31,147
12:40:32,149
12:40:33,155
12:40:34,155
12:40:35,154
12:40:36,154
12:40:37,154
12:40:38,155
12:40:39,155
12:40:40,155
12:40:41,151
12:40:42,150
12:40:43,150
12:40:44,149
12:40:45,148
12:40:46,148
12:40:47,152
12:40:48,149
12:40:49,149
12:40:50,151
12:40:51,148
12:40:52,148
12:40:53,147
12:40:54,154
12:40:56,154
12:40:57,151
12:40:58,153
12:40:59,153
12:41:00,150
12:41:01,152
12:41:02,152
12:41:03,151
12:41:04,150
12:41:05,150
12:41:06,148
12:41:07,150
12:41:08,150
12:41:09,149
12:41:10,148
12:41:11,148
12:41:12,122
12:41:13,150
12:41:14,150
12:41:15,151
12:41:16,152
12:41:17,152
12:41:18,154
12:41:19,152
12:41:20,151
12:41:21,151
12:41:22,152
12:41:23,149
12:41:24,149
12:41:25,150
12:41:26,148
12:41:27,148
12:41:28,147
12:41:29,147
12:41:30,147
12:41:31,146
12:41:32,121
12:41:33,121
12:41:34,154
12:41:35,151
12:41:36,151
12:41:37,154
12:41:38,152
12:41:39,152
12:41:40,153
