timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,watts_mean,inference_duration_s,prefill_dur_s,decode_dur_s,tokens_per_joule,eco_efficiency_ce,response_time_s
1777639711,llama3.1:8b,33.0,1103,33.94,12.29,114.69662921348315,91.0,66.80813324680943,24.19186675319057,0.10715223354231974,964.3701018808777,91.0
1777639802,llama3.1:8b,47.0,6475,295.66,12.33,147.60416666666666,48.0,46.07837916815481,1.9216208318451897,0.08353422724064927,751.8080451658434,48.0
1777639850,llama3.1:8b,46.0,6477,299.41,12.29,147.8125,49.0,47.06798203400706,1.9320179659929415,0.08314587737843551,748.3128964059196,49.0
1777639899,llama3.1:8b,51.0,6488,290.86,12.28,148.0701754385965,57.0,54.6909678696312,2.3090321303688066,0.08293364928909952,746.4028436018957,57.00000000000001
1777639956,llama3.1:8b,51.0,6489,293.16,12.25,148.10714285714286,57.0,54.713729085491636,2.2862709145083655,0.08271039305522064,744.3935374969858,57.0
1777640013,llama3.1:8b,46.0,6471,292.71,12.33,147.51162790697674,43.0,41.26190007867821,1.7380999213217943,0.08358663093173577,752.279678385622,43.00000000000001
1777640056,llama3.1:8b,46.0,6473,300.27,12.36,149.59259259259258,55.0,52.825544573457435,2.174455426542558,0.08262441198316416,743.6197078484774,54.99999999999999
1777640111,llama3.1:8b,51.0,6487,298.13,12.2,147.61818181818182,56.0,53.79847259369059,2.201527406309413,0.08264564601551914,743.8108141396723,56.0
1777640167,llama3.1:8b,48.0,6489,294.36,12.31,146.225,40.0,38.394365278638276,1.6056347213617241,0.0841853308257822,757.6679774320397,40.0
1777640207,llama3.1:8b,46.0,6504,294.17,12.29,147.88235294117646,52.0,49.9146381256934,2.0853618743065976,0.0831066030230708,747.9594272076372,52.0
1777640259,llama3.1:8b,46.0,6503,296.45,12.35,149.28301886792454,53.0,50.8803432642487,2.119656735751295,0.08272876643073811,744.5588978766431,52.99999999999999
1777640312,llama3.1:8b,49.0,6500,295.26,12.28,147.33333333333334,49.0,47.04344150354426,1.9565584964557456,0.08334841628959275,750.1357466063347,49.00000000000001
1777640361,llama3.1:8b,49.0,6514,291.83,12.35,147.85365853658536,41.0,39.335360641725295,1.6646393582747057,0.08352853843615969,751.7568459254372,41.0
1777640402,llama3.1:8b,51.0,6504,291.36,12.21,147.1153846153846,53.0,50.868267615377015,2.1317323846229868,0.08299607843137255,746.964705882353,53.0
1777640455,llama3.1:8b,49.0,6522,305.02,12.21,147.74545454545455,56.0,53.8445922516786,2.155407748321408,0.08264213635244894,743.7792271720405,56.00000000000001
1777640511,llama3.1:8b,49.0,6515,293.05,12.22,146.82692307692307,52.0,49.91843286271169,2.081567137288302,0.0832272429600524,749.0451866404717,51.99999999999999
1777640563,llama3.1:8b,51.0,6509,287.91,12.3,147.3095238095238,43.0,41.23823323673429,1.761766763265714,0.08349765637627284,751.4789073864555,43.0
1777640606,llama3.1:8b,51.0,6489,291.57,12.28,146.8095238095238,42.0,40.30258351160112,1.6974164883988812,0.08364579954589686,752.8121959130717,42.0
1777640648,llama3.1:8b,49.0,6493,283.07,12.21,146.6122448979592,50.0,47.9324708751016,2.067529124898402,0.08328090200445434,749.528118040089,50.0
