timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps
1777990721,phi3:mini,27.0,1197,31.93,23.70
1777990743,phi3:mini,38.0,4809,584.48,23.80
1777990760,phi3:mini,44.0,4815,574.85,22.96
1777990785,phi3:mini,42.0,4804,600.48,23.31
1777990807,phi3:mini,48.0,4799,653.61,23.13
1777990832,phi3:mini,47.0,4802,611.96,23.24
1777990855,phi3:mini,48.0,4810,573.62,22.49
1777990886,phi3:mini,47.0,4813,641.62,22.87
1777990913,phi3:mini,48.0,4803,579.63,23.66
1777990931,phi3:mini,49.0,4805,623.06,23.06
1777990958,phi3:mini,48.0,4804,567.23,23.99
1777990974,phi3:mini,49.0,4801,579.46,23.38
1777990994,phi3:mini,51.0,4809,657.38,23.51
1777991016,phi3:mini,48.0,4810,681.27,23.54
1777991038,phi3:mini,49.0,4808,631.77,23.28
1777991061,phi3:mini,48.0,4801,573.48,23.30
1777991083,phi3:mini,49.0,4798,631.02,24.22
1777991096,phi3:mini,47.0,4809,583.45,22.03
1777991133,phi3:mini,51.0,4810,621.23,23.51
1777991156,phi3:mini,49.0,4807,651.03,24.02
1777991173,phi3:mini,45.0,4812,669.24,23.32
1777991194,phi3:mini,48.0,4821,572.22,23.63
1777991215,phi3:mini,45.0,4815,651.06,23.36
1777991236,phi3:mini,49.0,4818,624.72,23.61
1777991253,phi3:mini,44.0,4816,624.32,23.97
1777991269,phi3:mini,48.0,4823,607.59,22.89
1777991294,phi3:mini,48.0,4822,610.93,23.00
1777991318,phi3:mini,49.0,4816,626.10,23.44
