timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps
1778512660,phi3:mini,27.0,1364,34.44,20.16
1778512724,phi3:mini,47.0,4985,586.31,23.56
1778512743,phi3:mini,49.0,4992,598.65,22.60
1778512770,phi3:mini,48.0,4999,596.65,23.29
1778512789,phi3:mini,48.0,4984,614.26,22.96
1778512812,phi3:mini,51.0,5002,647.39,20.73
1778512862,phi3:mini,47.0,5000,645.19,22.64
1778512889,phi3:mini,48.0,4992,625.75,23.23
1778512909,phi3:mini,51.0,5000,671.61,23.67
1778512927,phi3:mini,45.0,5004,631.73,23.43
1778512945,phi3:mini,49.0,5002,631.93,23.38
1778512963,phi3:mini,49.0,5011,601.96,23.05
1778512987,phi3:mini,49.0,5011,621.59,18.80
1778513073,phi3:mini,47.0,4995,631.12,23.36
1778513093,phi3:mini,49.0,4999,662.72,23.01
1778513116,phi3:mini,48.0,4994,623.62,23.61
1778513135,phi3:mini,45.0,4994,644.54,22.60
1778513161,phi3:mini,48.0,4990,652.84,23.21
1778513183,phi3:mini,51.0,4989,636.99,22.93
1778513207,phi3:mini,49.0,4999,638.75,23.20
1778513228,phi3:mini,48.0,5002,588.01,23.99
1778513244,phi3:mini,46.0,5001,637.84,23.73
