timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,watts_mean,inference_duration_s,prefill_dur_s,decode_dur_s,tokens_per_joule,eco_efficiency_ce,response_time_s
1778513272,phi3:mini,33.0,1140,57.26,22.47,109.5,42.0,30.163301141352065,11.836698858647937,0.20520547945205478,1846.849315068493,42.0
1778513314,phi3:mini,43.0,4829,642.41,23.13,147.85714285714286,21.0,20.27017158998708,0.7298284100129219,0.15643478260869564,1407.9130434782608,21.0
1778513335,phi3:mini,47.0,4833,638.48,22.88,148.9047619047619,21.0,20.27349703640982,0.7265029635901777,0.15365526063319476,1382.8973456987528,21.0
1778513356,phi3:mini,48.0,4833,607.67,23.31,149.68421052631578,19.0,18.29809185711116,0.7019081428888396,0.15572784810126583,1401.5506329113925,19.0
1778513375,phi3:mini,48.0,4837,630.49,22.66,148.58333333333334,25.0,24.13266477838169,0.8673352216183113,0.1525070106561974,1372.5630959057767,25.000000000000004
1778513400,phi3:mini,48.0,4838,583.68,22.21,148.83870967741936,31.0,29.863638614269913,1.136361385730083,0.14922193324664065,1342.9973992197658,30.999999999999996
1778513431,phi3:mini,48.0,4837,651.78,22.3,148.20689655172413,29.0,28.040618324234515,0.959381675765488,0.15046533271288973,1354.1879944160073,29.000000000000004
1778513460,phi3:mini,45.0,4832,612.26,23.05,149.05263157894737,20.0,19.27436999260204,0.7256300073979632,0.1546433615819209,1391.790254237288,20.000000000000004
1778513480,phi3:mini,48.0,4834,618.9,22.66,148.8846153846154,26.0,25.081675914957295,0.9183240850427085,0.15219839834668045,1369.785585120124,26.000000000000004
1778513506,phi3:mini,49.0,4837,597.19,22.93,149.47619047619048,21.0,20.223489002128623,0.7765109978713798,0.15340235743867472,1380.6212169480725,21.000000000000004
1778513527,phi3:mini,49.0,4828,584.47,23.07,149.45,20.0,19.240543832504855,0.7594561674951443,0.1543660086985614,1389.2940782870528,20.0
1778513547,phi3:mini,48.0,4833,634.45,22.43,149.28571428571428,29.0,28.00975825112654,0.9902417488734624,0.15024880382775122,1352.239234449761,29.000000000000004
1778513576,phi3:mini,48.0,4836,654.01,19.16,144.78947368421052,77.0,74.80839906710044,2.191600932899565,0.13233006179571066,1190.970556161396,77.0
1778513653,phi3:mini,45.0,4835,622.64,22.73,147.65217391304347,23.0,22.189937555200892,0.8100624447991075,0.15394287396937575,1385.485865724382,23.0
1778513676,phi3:mini,49.0,4845,589.46,22.85,149.0,23.0,22.14169293331809,0.8583070666819095,0.1533557046979866,1380.2013422818793,23.0
1778513699,phi3:mini,47.0,4843,575.67,22.56,148.69230769230768,26.0,25.019507547264432,0.9804924527355701,0.151722710812209,1365.5043973098811,26.000000000000004
1778513725,phi3:mini,49.0,4846,549.22,23.48,150.41176470588235,18.0,17.26202200104767,0.737977998952331,0.15610481032459914,1404.9432929213922,18.0
1778513743,phi3:mini,48.0,4853,650.58,23.2,149.52631578947367,19.0,18.34578052183205,0.6542194781679478,0.1551566349876804,1396.4097148891235,19.0
1778513762,phi3:mini,48.0,4850,685.46,23.06,151.08,25.0,24.186332072489133,0.8136679275108676,0.1526343658988615,1373.7092930897534,25.0
1778513787,phi3:mini,49.0,4840,670.38,18.67,144.11764705882354,86.0,83.66980625498876,2.3301937450112478,0.1295469387755102,1165.9224489795918,86.0
1778513873,phi3:mini,49.0,4848,587.73,23.18,148.3684210526316,19.0,18.279075477566256,0.7209245224337464,0.15623270663355798,1406.0943597020218,19.000000000000004
1778513892,phi3:mini,49.0,4851,589.64,23.07,149.9090909090909,22.0,21.171647271955734,0.8283527280442623,0.15389326864766525,1385.0394178289873,21.999999999999996
1778513914,phi3:mini,47.0,4850,588.54,23.1,150.0,19.0,18.282421031979595,0.7175789680204043,0.154,1386.0,19.0
1778513933,phi3:mini,49.0,4849,624.29,23.3,148.8235294117647,17.0,16.388347565589342,0.6116524344106612,0.1565612648221344,1409.0513833992095,17.000000000000004
1778513950,phi3:mini,51.0,4852,641.26,23.76,150.8,15.0,14.464076268382907,0.5359237316170942,0.15755968169761272,1418.0371352785144,15.000000000000002
1778513965,phi3:mini,46.0,4854,652.57,24.14,152.93333333333334,15.0,14.464911114066586,0.5350888859334131,0.157846556233653,1420.619006102877,15.0
1778513980,phi3:mini,51.0,4850,634.32,21.74,149.52631578947367,39.0,37.707648690668535,1.2923513093314634,0.1453924674410419,1308.532206969377,39.0
1778514019,phi3:mini,51.0,4849,644.84,23.24,149.66666666666666,21.0,20.26948868398994,0.7305113160100586,0.1552783964365256,1397.5055679287304,21.0
1778514040,phi3:mini,52.0,4849,601.88,22.78,150.15384615384616,26.0,25.051836198892197,0.9481638011078029,0.15171106557377048,1365.3995901639344,26.0
1778514066,phi3:mini,49.0,4853,574.02,21.74,148.57142857142858,36.0,34.686316637572176,1.3136833624278232,0.14632692307692305,1316.9423076923076,36.0
1778514102,phi3:mini,48.0,4857,558.65,22.61,148.72,25.0,24.027543612152908,0.9724563878470908,0.15203066164604626,1368.275954814416,25.0
1778514127,phi3:mini,48.0,4853,588.67,23.42,150.1578947368421,19.0,18.27301540623111,0.7269845937688904,0.15596915527514899,1403.722397476341,19.0
1778514146,phi3:mini,49.0,4847,558.43,23.33,149.83333333333334,18.0,17.278155940594058,0.7218440594059405,0.15570634037819797,1401.3570634037817,18.0
1778514164,phi3:mini,51.0,4847,641.9,22.8,147.65,21.0,20.279675041372048,0.7203249586279525,0.15441923467660007,1389.7731120894005,21.0
1778514185,phi3:mini,49.0,4851,629.56,23.65,150.58823529411765,17.0,16.38450115583044,0.6154988441695627,0.15705078125,1413.45703125,17.0
1778514202,phi3:mini,45.0,4848,586.3,23.04,149.1904761904762,21.0,20.205960547477602,0.7940394525224014,0.1544334503670603,1389.9010533035428,21.000000000000004
1778514223,phi3:mini,44.0,4853,658.62,23.02,147.94736842105263,19.0,18.358341646616985,0.6416583533830174,0.15559587335467806,1400.3628601921027,19.000000000000004
1778514242,phi3:mini,51.0,4858,519.88,22.93,149.54545454545453,23.0,22.028407730144988,0.9715922698550139,0.15333130699088146,1379.9817629179333,23.0
1778514265,phi3:mini,49.0,4846,667.26,22.95,149.22727272727272,22.0,21.26848350502021,0.7315164949797888,0.1537922631739263,1384.1303685653368,22.0
1778514287,phi3:mini,48.0,4849,626.09,22.64,148.52,25.0,24.127526089436284,0.8724739105637168,0.1524373821707514,1371.9364395367625,25.0
1778514312,phi3:mini,49.0,4851,621.59,23.18,149.65,20.0,19.280983916745505,0.7190160832544938,0.15489475442699632,1394.0527898429668,20.0
1778514332,phi3:mini,51.0,4847,656.26,23.44,150.94736842105263,20.0,19.31028394880094,0.6897160511990584,0.15528591352859136,1397.5732217573222,20.0
1778514352,phi3:mini,56.0,4850,624.05,22.81,150.29166666666666,24.0,23.15369631759577,0.8463036824042298,0.15177155530912115,1365.9439977820905,24.0
1778514376,phi3:mini,51.0,4850,622.22,23.08,149.63636363636363,22.0,21.213141174647447,0.786858825352549,0.15424058323207776,1388.1652490887,21.999999999999996
