timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1779608646,llama3.1:8b,33.0,1105,31.79,12.12,.723488,63.102955
1779608739,llama3.1:8b,41.0,6523,282.73,12.21,.081349,53.313818
1779608792,llama3.1:8b,47.0,6528,296.02,12.18,.077697,55.658978
1779608848,llama3.1:8b,46.0,6531,291.19,12.12,.078986,49.568518
1779608898,llama3.1:8b,42.0,6529,281.73,12.15,.081638,57.032541
1779608956,llama3.1:8b,47.0,6542,283.35,12.07,.081170,60.521887
1779609017,llama3.1:8b,46.0,6536,291.65,12.07,.078861,57.303567
1779609074,llama3.1:8b,47.0,6536,277.19,12.10,.082973,56.191279
1779609131,llama3.1:8b,46.0,6548,293.11,12.16,.078468,47.412154
1779609179,llama3.1:8b,42.0,6553,287.78,12.08,.079920,56.935875
1779609236,llama3.1:8b,47.0,6559,292.10,12.20,.078738,42.044996
1779609278,llama3.1:8b,46.0,6563,275.92,12.15,.083357,48.715659
1779609327,llama3.1:8b,46.0,6548,295.39,12.18,.077862,43.340803
1779609371,llama3.1:8b,46.0,6556,292.64,12.23,.078594,43.385526
1779609415,llama3.1:8b,42.0,6573,276.83,12.14,.083081,50.475430
1779609466,llama3.1:8b,47.0,6564,284.21,12.15,.080924,46.490305
1779609512,llama3.1:8b,49.0,6557,299.53,12.11,.076785,53.398412
1779609566,llama3.1:8b,47.0,6556,293.50,12.14,.078362,48.331595
1779609615,llama3.1:8b,41.0,6559,291.94,12.10,.078781,54.018131
1779609669,llama3.1:8b,47.0,6553,287.25,12.12,.080067,52.880010
1779609722,llama3.1:8b,48.0,6554,295.32,12.16,.077879,52.204170
1779609775,llama3.1:8b,46.0,6560,288.67,12.17,.079673,52.311933
1779609828,llama3.1:8b,51.0,6564,290.03,12.09,.079299,58.027645
1779609886,llama3.1:8b,46.0,6563,277.35,12.16,.082924,45.537628
1779609932,llama3.1:8b,44.0,6560,290.56,12.12,.079155,43.531047
1779609976,llama3.1:8b,42.0,6563,277.79,12.22,.082794,48.650886
1779610025,llama3.1:8b,44.0,6568,297.08,12.14,.077417,55.100551
1779610080,llama3.1:8b,46.0,6559,281.72,12.12,.081640,50.389803
1779610131,llama3.1:8b,42.0,6552,281.36,12.05,.081743,56.472480
1779610188,llama3.1:8b,46.0,6569,285.00,12.14,.080700,49.969951
1779610238,llama3.1:8b,47.0,6569,279.51,12.28,.082284,32.389768
1779610271,llama3.1:8b,48.0,6574,297.99,12.25,.077182,57.597379
1779610329,llama3.1:8b,47.0,6561,294.39,12.11,.078125,56.960157
1779610386,llama3.1:8b,44.0,6567,295.35,12.03,.077871,59.812300
1779610446,llama3.1:8b,46.0,6562,285.87,12.05,.080454,56.078947
1779610503,llama3.1:8b,46.0,6563,279.66,12.10,.082241,50.883286
1779610554,llama3.1:8b,47.0,6566,291.19,12.11,.078983,58.931999
1779610613,llama3.1:8b,46.0,6567,295.27,12.08,.077893,53.800582
1779610668,llama3.1:8b,46.0,6566,288.21,12.23,.079801,43.551886
1779610712,llama3.1:8b,47.0,6568,291.00,12.20,.079035,48.816989
1779610761,llama3.1:8b,45.0,6568,293.40,12.10,.078390,54.462392
1779610816,llama3.1:8b,46.0,6562,281.68,12.07,.081650,57.245661
1779610873,llama3.1:8b,42.0,6566,295.40,12.11,.077860,48.773825
1779610922,llama3.1:8b,47.0,6564,285.49,12.02,.080563,62.633356
1779610985,llama3.1:8b,47.0,6563,289.57,12.19,.079427,43.455746
1779611029,llama3.1:8b,44.0,6570,294.62,12.21,.078064,46.927490
1779611076,llama3.1:8b,49.0,6563,286.99,12.22,.080140,46.961565
1779611124,llama3.1:8b,46.0,6566,290.73,12.08,.079111,53.125911
1779611177,llama3.1:8b,44.0,6570,273.38,12.00,.084130,61.468193
1779611239,llama3.1:8b,47.0,6564,290.75,12.15,.079103,47.386457
1779611287,llama3.1:8b,46.0,6558,292.94,12.08,.078511,57.437678
1779611345,llama3.1:8b,46.0,6564,276.60,12.04,.083151,61.211702
1779611406,llama3.1:8b,47.0,6557,294.37,12.19,.078130,54.779649
1779611461,llama3.1:8b,47.0,6563,280.47,12.18,.082004,52.697255
1779611514,llama3.1:8b,47.0,6562,291.42,12.05,.078922,55.913823
1779611571,llama3.1:8b,47.0,6569,292.86,12.23,.078534,49.523797
1779611621,llama3.1:8b,48.0,6561,292.04,12.14,.078755,50.726767
1779611672,llama3.1:8b,47.0,6571,278.48,12.17,.082590,44.598719
1779611717,llama3.1:8b,47.0,6567,292.68,12.11,.078582,49.537030
1779611766,llama3.1:8b,42.0,6567,292.25,12.10,.078698,51.389999
1779611818,llama3.1:8b,46.0,6565,292.72,12.09,.078571,50.613635
1779611869,llama3.1:8b,47.0,6568,276.96,12.21,.083043,41.259989
1779611911,llama3.1:8b,48.0,6561,292.02,12.01,.078759,60.669599
1779611972,llama3.1:8b,46.0,6566,291.12,12.13,.079004,45.578377
1779612018,llama3.1:8b,42.0,6563,293.87,12.15,.078263,52.237263
1779612070,llama3.1:8b,46.0,6563,280.87,11.95,.081885,75.371264
1779612146,llama3.1:8b,46.0,6560,294.62,12.22,.078064,45.654557
1779612192,llama3.1:8b,46.0,6554,300.33,12.18,.076580,55.660755
1779612248,llama3.1:8b,47.0,6570,285.34,12.07,.080604,54.837169
1779612303,llama3.1:8b,47.0,6561,289.68,12.06,.079395,59.986527
1779612364,llama3.1:8b,46.0,6561,277.63,12.31,.082841,47.658268
1779612412,llama3.1:8b,42.0,6567,295.32,12.10,.077879,51.959172
1779612464,llama3.1:8b,47.0,6554,279.09,12.12,.082407,51.367731
1779612516,llama3.1:8b,46.0,6559,284.37,12.04,.080878,56.535219
1779612573,llama3.1:8b,46.0,6558,299.62,12.03,.076762,58.519925
1779612632,llama3.1:8b,42.0,6567,293.58,12.08,.078342,50.326613
1779612682,llama3.1:8b,47.0,6567,287.52,12.09,.079992,51.440726
1779612734,llama3.1:8b,47.0,6558,289.83,11.96,.079356,65.047180
1779612799,llama3.1:8b,46.0,6558,277.33,12.10,.082930,47.087814
1779612847,llama3.1:8b,47.0,6566,294.50,11.91,.078098,69.067424
1779612916,llama3.1:8b,47.0,6565,278.85,12.19,.082479,41.822053
1779612959,llama3.1:8b,49.0,6576,284.91,12.21,.080725,51.729328
1779613011,llama3.1:8b,47.0,6576,273.61,12.11,.084058,52.342421
1779613063,llama3.1:8b,44.0,6572,279.60,11.98,.082259,65.722691
1779613129,llama3.1:8b,46.0,6580,287.08,12.11,.080116,54.578628
1779613184,llama3.1:8b,46.0,6573,289.67,11.99,.079398,61.462257
1779613246,llama3.1:8b,46.0,6609,294.57,12.13,.078077,48.036387
1779613295,llama3.1:8b,46.0,6605,294.06,12.20,.078213,47.621503
1779613343,llama3.1:8b,47.0,6604,294.19,11.92,.078180,71.103508
1779613414,llama3.1:8b,42.0,6572,289.79,12.10,.079367,53.772460
1779613468,llama3.1:8b,47.0,6588,290.66,12.13,.079129,52.321335
1779613521,llama3.1:8b,47.0,6580,296.51,12.20,.077567,41.868301
1779613563,llama3.1:8b,46.0,6581,274.99,12.17,.083637,59.290504
1779613623,llama3.1:8b,47.0,6585,296.39,12.10,.077600,46.332026
1779613669,llama3.1:8b,42.0,6587,276.20,12.13,.083271,49.696603
1779613720,llama3.1:8b,47.0,6576,283.87,12.04,.081022,54.284033
1779613774,llama3.1:8b,44.0,6583,292.60,12.21,.078604,45.429279
1779613820,llama3.1:8b,44.0,6579,296.02,12.27,.077695,53.526453
1779613874,llama3.1:8b,47.0,6568,292.84,12.10,.078540,55.932579
