Time,Watts
1779782250,50
1779782251,48
1779782252,48
1779782253,44
1779782254,52
1779782255,52
1779782256,68
1779782257,114
1779782258,114
1779782259,115
1779782260,114
1779782261,114
1779782262,115
1779782263,113
1779782264,113
1779782265,114
1779782266,115
1779782267,115
1779782268,115
1779782269,113
1779782270,118
1779782271,118
1779782272,116
1779782273,117
1779782274,117
1779782275,117
1779782276,112
1779782277,112
1779782278,117
1779782279,118
1779782280,118
1779782281,116
1779782282,114
1779782283,114
1779782284,115
1779782285,117
1779782287,117
1779782288,115
1779782289,115
1779782290,115
1779782291,117
1779782292,115
1779782293,115
1779782294,112
1779782295,120
1779782296,120
1779782297,120
1779782298,118
1779782299,118
1779782300,118
1779782301,114
1779782302,114
1779782303,116
1779782304,117
1779782305,117
1779782306,116
1779782307,115
1779782308,115
1779782309,118
1779782310,111
1779782311,111
1779782312,115
1779782313,114
1779782314,114
1779782315,116
1779782316,114
1779782317,116
1779782318,116
1779782319,117
1779782320,115
1779782321,115
1779782322,116
1779782323,116
1779782324,116
1779782325,117
1779782326,115
1779782327,115
1779782328,115
1779782329,116
1779782330,116
1779782331,118
1779782332,117
1779782333,117
1779782334,118
1779782335,117
1779782336,117
1779782337,117
1779782338,115
1779782339,115
1779782340,119
1779782341,115
1779782342,115
1779782343,110
1779782344,117
1779782345,117
1779782346,120
1779782347,119
1779782348,119
1779782349,117
1779782350,116
1779782351,116
1779782352,115
1779782353,116
1779782354,116
1779782355,114
1779782356,115
1779782357,115
1779782358,118
1779782359,113
1779782360,118
1779782361,118
1779782362,116
1779782363,115
1779782364,115
1779782365,117
1779782366,117
1779782367,117
1779782368,115
1779782369,110
1779782370,110
1779782372,114
1779782373,115
1779782374,115
1779782375,115
1779782376,113
1779782377,113
1779782378,117
1779782379,120
1779782380,120
1779782381,116
1779782382,115
1779782383,115
1779782384,114
1779782385,114
1779782386,114
1779782387,115
1779782388,117
1779782389,117
1779782390,115
1779782391,115
1779782392,115
1779782393,118
1779782394,116
1779782395,116
1779782396,118
1779782397,114
1779782398,114
1779782399,116
1779782400,117
1779782401,117
1779782402,116
1779782403,116
1779782404,116
1779782405,116
1779782406,114
1779782407,114
1779782408,114
1779782409,106
1779782410,115
1779782411,115
1779782412,114
1779782413,118
1779782414,118
1779782415,117
1779782416,115
1779782417,115
1779782418,117
1779782419,117
1779782420,117
1779782421,117
1779782422,116
1779782423,116
1779782424,117
1779782425,118
1779782426,118
1779782427,109
1779782428,117
1779782429,117
1779782430,118
1779782431,118
1779782432,118
1779782433,116
1779782434,115
1779782435,115
1779782436,117
1779782437,114
1779782438,114
1779782439,115
1779782440,115
1779782441,115
1779782442,115
1779782443,116
1779782444,116
1779782445,108
1779782446,115
1779782447,115
1779782448,115
1779782449,116
1779782450,116
1779782451,116
1779782452,114
1779782453,116
1779782454,116
1779782455,117
1779782456,114
1779782457,114
1779782458,117
1779782459,117
1779782460,117
1779782462,116
1779782463,120
1779782464,120
1779782465,117
1779782466,112
1779782467,112
1779782468,118
1779782469,117
1779782470,117
1779782471,118
1779782472,118
1779782473,118
1779782474,117
1779782475,117
1779782476,117
1779782477,118
1779782478,116
1779782479,116
1779782480,116
1779782481,109
1779782482,109
1779782483,116
1779782484,120
1779782485,120
1779782486,118
1779782487,117
1779782488,117
1779782489,118
1779782490,117
1779782491,117
1779782492,118
1779782493,108
1779782494,108
1779782495,115
1779782496,117
1779782497,117
1779782498,118
1779782499,119
1779782500,117
1779782501,117
1779782502,115
1779782503,116
1779782504,116
1779782505,119
1779782506,116
1779782507,116
1779782508,112
1779782509,115
1779782510,115
1779782511,116
1779782512,116
1779782513,116
1779782514,117
1779782515,116
1779782516,116
1779782517,116
1779782518,116
1779782519,116
1779782520,116
1779782521,115
1779782522,115
1779782523,115
1779782524,114
1779782525,114
1779782526,112
1779782527,116
1779782528,116
1779782529,116
1779782530,117
1779782531,117
1779782532,116
1779782533,116
1779782534,116
1779782535,117
1779782536,114
1779782537,114
1779782538,115
1779782539,114
1779782540,114
1779782541,116
1779782542,106
1779782543,106
1779782544,117
1779782545,115
