timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1780603394,deepseek-v2:lite,26.0,1107,45.37,23.01,.440756,19.070656
1780603462,deepseek-v2:lite,28.0,10845,479.79,22.97,.041684,15.666921
1780603478,deepseek-v2:lite,31.0,10852,432.65,22.39,.046226,25.090238
1780603503,deepseek-v2:lite,31.0,10851,461.11,23.34,.043373,19.963363
1780603523,deepseek-v2:lite,32.0,10854,460.45,22.98,.043434,20.447622
1780603544,deepseek-v2:lite,33.0,10853,482.64,23.52,.041438,13.472715
1780603558,deepseek-v2:lite,33.0,10860,453.01,23.09,.044148,23.032458
1780603581,deepseek-v2:lite,33.0,10860,464.79,22.47,.043029,27.317291
1780603609,deepseek-v2:lite,32.0,10859,440.66,22.46,.045385,28.224076
1780603638,deepseek-v2:lite,32.0,10857,464.60,23.40,.043047,16.618641
1780603654,deepseek-v2:lite,34.0,10865,440.50,23.09,.045402,21.649962
1780603676,deepseek-v2:lite,32.0,10859,430.98,22.64,.046404,26.586256
1780603703,deepseek-v2:lite,33.0,10870,452.78,22.95,.044171,17.689594
1780603721,deepseek-v2:lite,33.0,10867,432.08,22.94,.046287,20.442775
1780603742,deepseek-v2:lite,32.0,10860,443.97,22.77,.045047,22.915256
1780603765,deepseek-v2:lite,30.0,10875,453.23,22.91,.044127,21.030820
1780603787,deepseek-v2:lite,30.0,10864,431.40,23.35,.046360,15.070120
1780603802,deepseek-v2:lite,34.0,10872,560.47,22.49,.035683,29.601463
1780603832,deepseek-v2:lite,33.0,10876,464.01,23.35,.043102,15.371369
1780603848,deepseek-v2:lite,32.0,10881,545.18,22.80,.036684,22.097109
1780603870,deepseek-v2:lite,33.0,10869,441.56,22.52,.045293,23.128171
1780603894,deepseek-v2:lite,34.0,10889,481.76,23.12,.041514,16.518853
1780603910,deepseek-v2:lite,32.0,10886,453.07,22.98,.044142,18.230709
1780603929,deepseek-v2:lite,34.0,10883,453.96,23.34,.044056,13.492743
1780603943,deepseek-v2:lite,33.0,10882,540.38,22.94,.037010,22.792124
1780603966,deepseek-v2:lite,32.0,10883,493.04,23.65,.040564,12.554112
1780603979,deepseek-v2:lite,33.0,10886,477.73,22.99,.041864,22.658344
1780604002,deepseek-v2:lite,32.0,10882,435.49,22.48,.045924,26.813611
1780604029,deepseek-v2:lite,33.0,10866,438.17,21.68,.045644,37.531498
1780604067,deepseek-v2:lite,32.0,10886,526.64,22.99,.037975,18.306512
1780604085,deepseek-v2:lite,30.0,10894,461.10,22.78,.043374,19.132724
1780604105,deepseek-v2:lite,32.0,10887,449.37,22.99,.044506,12.222362
1780604117,deepseek-v2:lite,29.0,10881,471.50,23.33,.042417,12.211400
1780604130,deepseek-v2:lite,32.0,10882,446.49,22.83,.044793,19.703333
1780604150,deepseek-v2:lite,33.0,10877,438.06,22.76,.045655,22.839184
1780604173,deepseek-v2:lite,33.0,10883,451.06,23.26,.044339,17.409507
1780604191,deepseek-v2:lite,33.0,10885,455.52,23.40,.043905,19.484753
1780604210,deepseek-v2:lite,33.0,10886,454.95,23.64,.043960,13.066061
1780604224,deepseek-v2:lite,32.0,10893,463.52,23.16,.043147,15.410944
1780604239,deepseek-v2:lite,32.0,10885,439.31,23.29,.045525,14.293957
1780604254,deepseek-v2:lite,32.0,10887,438.92,23.15,.045565,17.925742
1780604272,deepseek-v2:lite,33.0,10894,419.04,23.02,.047727,17.545064
1780604290,deepseek-v2:lite,32.0,10887,453.44,23.20,.044106,20.123471
1780604311,deepseek-v2:lite,32.0,10899,472.93,22.96,.042288,19.464877
1780604330,deepseek-v2:lite,32.0,10894,537.75,23.04,.037191,19.481017
1780604350,deepseek-v2:lite,32.0,10893,460.62,22.60,.043419,28.979120
1780604379,deepseek-v2:lite,33.0,10895,475.57,23.13,.042054,17.811699
1780604398,deepseek-v2:lite,32.0,10897,448.77,23.29,.044565,18.371761
1780604416,deepseek-v2:lite,32.0,10894,574.35,22.87,.034821,24.957431
1780604442,deepseek-v2:lite,33.0,10894,459.23,22.43,.043550,28.798395
1780604471,deepseek-v2:lite,33.0,10889,459.33,23.64,.043541,5.794369
1780604477,deepseek-v2:lite,32.0,10879,484.84,22.76,.041250,19.460143
1780604496,deepseek-v2:lite,34.0,10886,456.67,23.03,.043794,20.233789
1780604517,deepseek-v2:lite,33.0,10887,445.86,23.12,.044856,22.576377
1780604540,deepseek-v2:lite,32.0,10893,459.92,22.82,.043485,20.940182
1780604561,deepseek-v2:lite,32.0,10891,456.21,23.20,.043839,17.969890
1780604579,deepseek-v2:lite,32.0,10898,461.28,22.64,.043356,20.182292
1780604600,deepseek-v2:lite,34.0,10894,451.23,23.29,.044322,14.166870
1780604614,deepseek-v2:lite,33.0,10884,555.82,23.50,.035982,17.908605
1780604633,deepseek-v2:lite,30.0,10889,428.37,22.64,.046688,22.037496
