timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1780081066,qwen2.5:0.5b,25.0,1068,198.73,86.25,.211331,3.269332
1780081074,qwen2.5:0.5b,27.0,1643,3398.63,83.88,.012357,4.816379
1780081079,qwen2.5:0.5b,29.0,1643,2527.96,79.19,.016614,12.348924
1780081092,qwen2.5:0.5b,29.0,1638,3669.96,83.25,.011444,4.912698
1780081097,qwen2.5:0.5b,31.0,1648,3055.41,84.02,.013746,5.558121
1780081103,qwen2.5:0.5b,31.0,1650,3551.92,82.90,.011824,5.862048
1780081109,qwen2.5:0.5b,31.0,1655,3339.30,83.85,.012577,5.819564
1780081115,qwen2.5:0.5b,31.0,1641,3577.63,83.24,.011739,4.721158
1780081120,qwen2.5:0.5b,32.0,1649,3001.47,78.14,.013993,11.478063
1780081132,qwen2.5:0.5b,32.0,1662,3487.80,82.83,.012041,5.469020
1780081138,qwen2.5:0.5b,32.0,1671,2841.50,82.12,.014780,5.905678
1780081145,qwen2.5:0.5b,30.0,1653,3329.55,82.91,.012614,4.957118
1780081150,qwen2.5:0.5b,32.0,1662,3682.94,82.88,.011403,4.946468
1780081155,qwen2.5:0.5b,32.0,1664,3341.50,81.77,.012569,6.321993
1780081162,qwen2.5:0.5b,32.0,1673,3457.49,83.75,.012147,5.444733
1780081168,qwen2.5:0.5b,33.0,1673,3367.12,84.24,.012473,6.564103
1780081175,qwen2.5:0.5b,33.0,1677,3302.08,83.59,.012719,4.282759
1780081179,qwen2.5:0.5b,32.0,1660,3642.36,83.96,.011530,3.989783
1780081184,qwen2.5:0.5b,34.0,1677,3165.19,82.54,.013269,5.354789
1780081189,qwen2.5:0.5b,32.0,1677,3316.10,82.11,.012665,6.685592
1780081196,qwen2.5:0.5b,33.0,1682,3809.09,82.47,.011026,6.183735
1780081203,qwen2.5:0.5b,33.0,1684,3725.28,80.02,.011274,8.871712
1780081212,qwen2.5:0.5b,32.0,1682,3287.01,84.39,.012777,4.004808
1780081217,qwen2.5:0.5b,33.0,1681,3345.86,85.83,.012552,3.914606
1780081221,qwen2.5:0.5b,30.0,1693,3172.05,82.54,.013240,5.100540
1780081226,qwen2.5:0.5b,32.0,1675,3310.00,82.58,.012688,6.090639
1780081233,qwen2.5:0.5b,32.0,1693,3076.33,81.34,.013652,7.031816
1780081240,qwen2.5:0.5b,33.0,1673,3330.05,79.67,.012612,9.375262
1780081250,qwen2.5:0.5b,33.0,1685,3151.93,84.40,.013325,3.897749
1780081254,qwen2.5:0.5b,33.0,1693,3333.75,84.14,.012598,3.862370
1780081258,qwen2.5:0.5b,34.0,1693,2957.16,78.46,.014202,11.024418
1780081270,qwen2.5:0.5b,34.0,1683,3653.62,80.57,.011495,7.856261
